,category,score
22,airplane,0.54
24,airplane,0.52
25,airplane,0.61
26,airplane,0.55
28,airplane,0.5
30,chair,0.56
31,chair,0.54
32,chair,0.58
33,chair,0.61
34,chair,0.5
35,car,0.66
36,car,0.6
37,chair,0.66
38,car,0.59
39,suitcase,0.56
40,airplane,0.59
41,chair,0.63
43,suitcase,0.56
44,chair,0.55
45,suitcase,0.57
46,airplane,0.67
47,airplane,0.53
48,airplane,0.66
49,airplane,0.64
50,airplane,0.65
51,airplane,0.6
52,airplane,0.6
53,airplane,0.65
54,airplane,0.61
55,airplane,0.54
56,suitcase,0.52
58,airplane,0.55
59,suitcase,0.52
60,car,0.59
61,airplane,0.64
62,airplane,0.56
63,car,0.58
64,car,0.59
65,airplane,0.65
66,airplane,0.6
67,airplane,0.51
68,airplane,0.59
69,airplane,0.62
70,airplane,0.64
71,airplane,0.5
72,airplane,0.69
73,airplane,0.69
74,airplane,0.61
75,airplane,0.67
76,airplane,0.67
77,airplane,0.74
78,airplane,0.71
79,airplane,0.67
80,airplane,0.65
81,airplane,0.63
83,airplane,0.56
84,airplane,0.57
85,airplane,0.56
86,airplane,0.63
87,airplane,0.67
88,airplane,0.68
89,airplane,0.7
90,airplane,0.69
91,airplane,0.71
92,airplane,0.68
93,airplane,0.62
94,airplane,0.58
95,airplane,0.6
96,airplane,0.61
97,airplane,0.57
98,airplane,0.59
105,airplane,0.54
106,airplane,0.57
107,airplane,0.56
108,airplane,0.61
109,airplane,0.56
110,airplane,0.62
111,airplane,0.62
112,airplane,0.69
113,airplane,0.73
114,airplane,0.68
115,airplane,0.7
116,airplane,0.7
117,airplane,0.66
118,airplane,0.7
119,airplane,0.65
120,airplane,0.68
121,airplane,0.56
125,chair,0.55
126,airplane,0.65
127,airplane,0.64
128,airplane,0.69
129,airplane,0.66
130,airplane,0.74
131,airplane,0.71
132,airplane,0.73
134,airplane,0.71
135,car,0.63
136,car,0.57
137,airplane,0.67
138,airplane,0.69
139,chair,0.53
140,suitcase,0.55
141,airplane,0.57
142,airplane,0.59
143,airplane,0.61
144,airplane,0.68
145,airplane,0.55
146,airplane,0.62
147,airplane,0.66
148,airplane,0.6
149,car,0.58
150,airplane,0.68
151,car,0.56
152,airplane,0.52
155,suitcase,0.51
156,airplane,0.57
157,airplane,0.67
158,airplane,0.51
159,suitcase,0.51
160,airplane,0.58
161,airplane,0.59
162,airplane,0.64
163,suitcase,0.52
164,chair,0.58
165,airplane,0.63
166,airplane,0.62
170,airplane,0.52
171,chair,0.57
172,chair,0.56
173,chair,0.62
174,chair,0.66
175,airplane,0.54
176,chair,0.53
177,chair,0.56
178,chair,0.62
179,chair,0.57
180,chair,0.57
183,airplane,0.59
184,airplane,0.56
188,airplane,0.52
225,airplane,0.56
226,airplane,0.5
228,airplane,0.51
231,airplane,0.53
232,airplane,0.54
233,airplane,0.58
236,car,0.54
237,chair,0.51
238,chair,0.55
239,chair,0.59
240,chair,0.57
241,chair,0.6
242,chair,0.56
243,chair,0.59
244,airplane,0.61
245,airplane,0.6
246,chair,0.61
247,chair,0.58
248,airplane,0.58
249,car,0.57
250,chair,0.6
251,airplane,0.55
252,airplane,0.52
253,suitcase,0.54
254,airplane,0.57
255,airplane,0.5
256,airplane,0.53
258,airplane,0.62
259,airplane,0.58
260,airplane,0.68
261,airplane,0.62
262,airplane,0.63
263,airplane,0.62
264,airplane,0.55
265,airplane,0.55
266,airplane,0.55
267,suitcase,0.53
271,suitcase,0.54
272,car,0.57
273,airplane,0.67
274,airplane,0.61
275,airplane,0.58
276,airplane,0.61
277,airplane,0.52
278,airplane,0.64
279,chair,0.58
280,airplane,0.55
281,airplane,0.67
282,chair,0.51
283,airplane,0.65
284,airplane,0.6
285,airplane,0.71
286,airplane,0.65
287,airplane,0.68
288,airplane,0.73
289,airplane,0.64
290,airplane,0.71
291,airplane,0.63
292,chair,0.53
294,airplane,0.62
295,airplane,0.57
296,airplane,0.64
297,airplane,0.65
298,airplane,0.69
299,airplane,0.7
300,airplane,0.68
301,airplane,0.68
302,airplane,0.63
303,airplane,0.54
304,airplane,0.61
305,airplane,0.55
306,airplane,0.56
307,airplane,0.56
308,airplane,0.61
309,airplane,0.58
310,airplane,0.56
311,airplane,0.6
312,airplane,0.63
313,airplane,0.68
314,airplane,0.69
315,airplane,0.68
316,airplane,0.7
317,airplane,0.69
318,airplane,0.69
319,airplane,0.66
320,airplane,0.7
321,airplane,0.61
322,airplane,0.69
323,airplane,0.54
325,airplane,0.5
327,airplane,0.53
328,airplane,0.57
329,chair,0.52
330,chair,0.57
331,airplane,0.66
332,airplane,0.64
333,airplane,0.68
334,airplane,0.74
335,airplane,0.68
336,airplane,0.58
337,car,0.51
338,airplane,0.67
339,airplane,0.67
340,airplane,0.68
341,airplane,0.65
342,airplane,0.69
343,airplane,0.68
344,chair,0.51
346,airplane,0.67
347,airplane,0.56
348,chair,0.58
349,chair,0.61
350,suitcase,0.5
351,car,0.62
352,airplane,0.56
353,airplane,0.62
354,car,0.56
355,airplane,0.62
356,car,0.6
357,airplane,0.65
358,car,0.59
360,airplane,0.51
362,airplane,0.58
363,airplane,0.55
364,suitcase,0.5
365,airplane,0.63
366,parking meter,0.53
367,airplane,0.61
368,airplane,0.7
369,airplane,0.58
370,airplane,0.66
371,airplane,0.59
372,suitcase,0.51
374,suitcase,0.53
376,suitcase,0.54
378,chair,0.52
379,airplane,0.57
380,car,0.62
381,airplane,0.58
382,chair,0.59
383,chair,0.61
384,chair,0.61
385,chair,0.58
387,car,0.5
389,airplane,0.6
390,airplane,0.54
393,airplane,0.54
394,airplane,0.52
