,category,score
0,tv,0.62
1,tv,0.61
2,tv,0.62
3,tv,0.62
4,tv,0.59
5,tv,0.63
6,tv,0.63
7,tv,0.66
8,tv,0.71
9,tv,0.66
10,clock,0.59
11,clock,0.64
12,clock,0.63
13,car,0.52
16,traffic light,0.54
17,traffic light,0.51
18,car,0.53
19,bus,0.52
20,car,0.54
22,car,0.6
23,car,0.59
24,bus,0.55
25,bus,0.52
26,bus,0.52
29,bus,0.55
31,bus,0.5
47,bus,0.51
50,bus,0.59
52,bus,0.51
54,bus,0.64
56,bus,0.56
57,bus,0.56
58,bus,0.5
59,bus,0.61
61,bus,0.58
62,bus,0.54
63,bus,0.62
64,bus,0.53
65,car,0.51
66,car,0.59
67,car,0.56
68,bus,0.64
69,bus,0.64
70,car,0.65
71,car,0.64
72,car,0.65
73,car,0.62
74,car,0.6
75,car,0.61
76,bus,0.57
77,bus,0.62
78,bus,0.62
79,bus,0.62
80,bus,0.61
81,car,0.58
82,car,0.62
83,car,0.63
84,bus,0.66
85,bus,0.6
86,bus,0.59
87,bus,0.63
88,bus,0.52
89,bus,0.52
90,bus,0.57
91,bus,0.56
92,bus,0.61
93,bus,0.51
94,car,0.53
95,car,0.52
97,car,0.57
98,car,0.54
99,car,0.57
100,car,0.56
101,car,0.56
102,car,0.58
103,car,0.62
104,car,0.54
105,car,0.51
106,car,0.56
107,car,0.64
108,car,0.64
109,car,0.63
110,car,0.67
111,car,0.7
112,car,0.63
113,car,0.67
114,car,0.67
115,car,0.66
116,car,0.59
117,car,0.6
118,car,0.64
119,car,0.58
120,car,0.59
121,car,0.6
122,car,0.6
123,car,0.56
124,car,0.62
125,traffic light,0.57
126,car,0.59
127,car,0.6
128,car,0.69
129,car,0.66
130,car,0.69
131,car,0.62
132,car,0.71
133,car,0.63
134,car,0.67
135,car,0.64
136,car,0.61
137,car,0.57
138,car,0.53
140,car,0.6
141,car,0.55
142,car,0.62
143,car,0.58
144,car,0.57
145,car,0.53
146,car,0.55
147,car,0.61
149,car,0.53
151,car,0.52
153,bus,0.59
154,bus,0.5
155,bus,0.51
157,bus,0.63
158,bus,0.58
159,car,0.58
160,car,0.59
161,bus,0.6
162,car,0.6
163,car,0.6
164,bus,0.61
165,car,0.6
166,bus,0.6
167,bus,0.68
168,car,0.58
169,bus,0.61
170,car,0.58
171,car,0.57
172,car,0.58
173,car,0.6
174,car,0.66
175,car,0.64
176,car,0.65
177,bus,0.66
178,car,0.64
179,car,0.58
180,car,0.55
181,bus,0.51
182,bus,0.54
183,bus,0.6
184,bus,0.54
185,bus,0.61
187,bus,0.54
188,bus,0.56
189,bus,0.58
194,bus,0.53
195,bus,0.58
196,suitcase,0.55
197,bus,0.59
205,bus,0.53
218,bus,0.53
221,bus,0.54
222,car,0.54
223,car,0.5
224,car,0.54
231,car,0.53
232,clock,0.61
233,tv,0.56
234,tv,0.67
235,tv,0.72
236,tv,0.64
237,tv,0.61
238,tv,0.68
239,tv,0.65
240,tv,0.57
241,tv,0.7
242,tv,0.65
243,tv,0.66
244,tv,0.72
245,tv,0.65
246,clock,0.54
247,clock,0.63
254,car,0.58
255,car,0.53
256,car,0.56
257,bus,0.58
258,bus,0.54
259,bus,0.55
260,bus,0.55
262,bus,0.54
266,bus,0.53
267,bus,0.5
268,bus,0.51
285,bus,0.52
286,suitcase,0.5
287,clock,0.51
288,bus,0.55
289,bus,0.57
291,bus,0.55
294,bus,0.56
295,bus,0.55
296,bus,0.55
297,bus,0.52
298,bus,0.59
299,bus,0.57
300,bus,0.62
