,category,score
33,traffic light,0.57
34,traffic light,0.53
38,airplane,0.59
39,traffic light,0.62
40,traffic light,0.55
41,airplane,0.72
42,airplane,0.63
43,airplane,0.67
44,airplane,0.7
45,traffic light,0.64
46,traffic light,0.61
47,traffic light,0.7
48,traffic light,0.74
49,traffic light,0.67
50,traffic light,0.68
51,traffic light,0.73
52,airplane,0.74
53,airplane,0.74
54,airplane,0.65
55,airplane,0.74
56,airplane,0.72
57,airplane,0.67
58,airplane,0.59
59,traffic light,0.59
60,airplane,0.66
61,airplane,0.69
62,airplane,0.65
63,airplane,0.79
64,airplane,0.81
65,airplane,0.8
66,airplane,0.75
67,airplane,0.8
68,airplane,0.74
69,airplane,0.74
70,airplane,0.73
71,airplane,0.71
72,airplane,0.76
73,airplane,0.74
74,airplane,0.7
75,airplane,0.73
76,airplane,0.62
77,airplane,0.63
78,airplane,0.62
79,airplane,0.57
80,airplane,0.59
81,traffic light,0.54
82,traffic light,0.59
83,traffic light,0.55
84,traffic light,0.62
85,traffic light,0.67
86,airplane,0.64
87,traffic light,0.6
88,airplane,0.68
89,airplane,0.68
90,traffic light,0.67
91,airplane,0.7
92,traffic light,0.67
93,traffic light,0.66
94,airplane,0.7
95,airplane,0.71
96,airplane,0.71
97,airplane,0.75
98,airplane,0.74
99,airplane,0.73
100,airplane,0.74
101,airplane,0.74
102,airplane,0.76
103,airplane,0.71
104,airplane,0.77
105,traffic light,0.74
106,airplane,0.69
107,traffic light,0.69
108,airplane,0.68
109,airplane,0.73
110,airplane,0.69
111,airplane,0.67
112,airplane,0.66
113,airplane,0.68
114,airplane,0.71
115,airplane,0.71
116,airplane,0.66
117,traffic light,0.65
118,traffic light,0.67
119,traffic light,0.56
120,traffic light,0.64
121,traffic light,0.55
122,airplane,0.61
123,traffic light,0.52
124,airplane,0.74
125,airplane,0.72
126,airplane,0.7
127,airplane,0.68
128,airplane,0.72
129,airplane,0.71
130,airplane,0.7
131,airplane,0.72
132,airplane,0.71
133,airplane,0.74
134,airplane,0.67
135,airplane,0.71
136,airplane,0.72
137,airplane,0.77
138,airplane,0.8
139,airplane,0.78
140,airplane,0.8
141,airplane,0.66
142,airplane,0.73
143,airplane,0.71
144,airplane,0.69
145,traffic light,0.58
146,airplane,0.72
147,airplane,0.67
148,airplane,0.74
149,airplane,0.75
150,airplane,0.71
151,airplane,0.74
152,traffic light,0.72
153,traffic light,0.71
154,airplane,0.69
155,traffic light,0.73
156,traffic light,0.73
157,traffic light,0.67
158,traffic light,0.65
159,airplane,0.68
160,airplane,0.6
161,airplane,0.66
162,traffic light,0.64
163,airplane,0.57
164,airplane,0.5
166,traffic light,0.51
223,traffic light,0.51
224,traffic light,0.56
229,airplane,0.62
230,traffic light,0.59
231,traffic light,0.58
232,airplane,0.56
233,airplane,0.7
234,airplane,0.71
235,airplane,0.66
236,airplane,0.66
237,airplane,0.67
238,traffic light,0.67
239,traffic light,0.69
240,traffic light,0.72
241,traffic light,0.77
242,traffic light,0.75
243,airplane,0.64
244,traffic light,0.72
245,traffic light,0.68
246,traffic light,0.71
247,airplane,0.74
248,airplane,0.73
249,airplane,0.63
250,airplane,0.75
251,airplane,0.69
252,airplane,0.71
253,airplane,0.72
254,airplane,0.67
255,traffic light,0.58
256,airplane,0.74
257,airplane,0.73
258,airplane,0.7
259,airplane,0.81
260,airplane,0.81
261,airplane,0.76
262,airplane,0.79
263,airplane,0.65
264,airplane,0.72
265,airplane,0.73
266,airplane,0.7
267,airplane,0.7
268,airplane,0.69
269,airplane,0.74
270,airplane,0.63
271,airplane,0.57
272,airplane,0.69
273,traffic light,0.53
274,airplane,0.61
275,traffic light,0.6
276,airplane,0.55
277,traffic light,0.64
278,traffic light,0.62
279,airplane,0.69
280,airplane,0.68
281,airplane,0.62
282,airplane,0.72
283,traffic light,0.67
284,airplane,0.73
285,traffic light,0.67
286,traffic light,0.67
287,airplane,0.73
288,airplane,0.71
289,airplane,0.67
290,airplane,0.7
291,airplane,0.71
292,airplane,0.71
293,airplane,0.71
294,airplane,0.69
295,traffic light,0.65
296,traffic light,0.61
297,traffic light,0.67
298,traffic light,0.58
299,traffic light,0.59
300,traffic light,0.6
301,traffic light,0.56
302,airplane,0.62
303,traffic light,0.54
304,traffic light,0.57
305,airplane,0.58
306,airplane,0.66
307,airplane,0.69
308,airplane,0.74
309,airplane,0.7
310,airplane,0.73
311,airplane,0.75
312,airplane,0.65
313,airplane,0.76
314,airplane,0.71
315,airplane,0.73
316,airplane,0.66
317,airplane,0.74
318,airplane,0.8
319,airplane,0.79
320,airplane,0.81
321,airplane,0.79
322,airplane,0.77
323,airplane,0.7
324,airplane,0.7
325,airplane,0.77
326,airplane,0.67
327,airplane,0.68
328,airplane,0.65
329,airplane,0.66
330,airplane,0.74
331,airplane,0.72
332,airplane,0.72
333,airplane,0.76
334,traffic light,0.74
335,traffic light,0.71
336,traffic light,0.71
337,traffic light,0.77
338,traffic light,0.68
339,traffic light,0.65
340,airplane,0.66
341,airplane,0.66
342,airplane,0.7
343,airplane,0.63
344,traffic light,0.61
345,airplane,0.54
347,traffic light,0.55
