,category,score
22,kite,0.59
23,kite,0.58
24,kite,0.58
25,kite,0.6
26,kite,0.64
27,kite,0.67
28,kite,0.66
29,kite,0.68
30,kite,0.67
31,kite,0.63
32,kite,0.58
33,airplane,0.62
34,airplane,0.62
35,airplane,0.56
36,airplane,0.52
37,airplane,0.61
38,airplane,0.57
39,kite,0.52
40,kite,0.57
41,kite,0.56
42,kite,0.59
46,skateboard,0.57
48,kite,0.51
49,kite,0.58
50,skateboard,0.59
52,kite,0.51
54,kite,0.55
55,kite,0.6
56,kite,0.5
57,kite,0.51
58,kite,0.51
61,kite,0.54
62,motorcycle,0.52
63,kite,0.62
64,kite,0.6
65,kite,0.64
66,kite,0.62
67,kite,0.63
69,motorcycle,0.53
74,kite,0.53
75,kite,0.51
76,car,0.58
77,kite,0.63
78,kite,0.56
84,kite,0.62
85,car,0.53
86,kite,0.53
87,kite,0.57
88,airplane,0.58
89,airplane,0.67
90,airplane,0.62
91,airplane,0.62
92,airplane,0.62
93,kite,0.57
94,airplane,0.67
95,airplane,0.61
96,airplane,0.61
97,airplane,0.68
98,airplane,0.65
99,airplane,0.57
100,kite,0.65
102,car,0.55
103,kite,0.53
104,kite,0.62
107,kite,0.53
109,kite,0.63
110,kite,0.61
113,kite,0.56
119,kite,0.57
120,kite,0.6
121,kite,0.58
122,kite,0.61
123,kite,0.68
125,kite,0.5
126,kite,0.53
128,car,0.53
131,kite,0.55
133,kite,0.52
134,kite,0.55
136,skateboard,0.5
137,kite,0.5
139,skateboard,0.51
141,kite,0.52
143,kite,0.6
144,kite,0.55
145,kite,0.56
146,airplane,0.53
147,airplane,0.63
148,airplane,0.57
149,airplane,0.61
150,airplane,0.66
151,airplane,0.65
152,kite,0.59
153,kite,0.65
154,kite,0.66
155,kite,0.73
156,kite,0.65
157,kite,0.62
158,kite,0.61
159,kite,0.57
160,kite,0.59
161,kite,0.57
162,kite,0.52
202,kite,0.51
206,kite,0.59
207,kite,0.63
208,kite,0.56
209,kite,0.57
210,kite,0.63
211,kite,0.62
212,kite,0.71
213,kite,0.67
214,kite,0.61
215,kite,0.6
216,airplane,0.61
217,airplane,0.6
218,airplane,0.68
219,airplane,0.59
220,airplane,0.51
221,airplane,0.61
222,kite,0.54
223,kite,0.5
224,kite,0.57
225,kite,0.55
226,kite,0.54
229,skateboard,0.51
230,skateboard,0.53
231,skateboard,0.55
233,kite,0.6
235,kite,0.53
236,kite,0.56
237,kite,0.6
239,kite,0.51
240,kite,0.54
241,motorcycle,0.53
246,kite,0.53
248,motorcycle,0.5
249,kite,0.58
250,motorcycle,0.54
251,kite,0.57
252,kite,0.65
253,kite,0.53
254,kite,0.52
255,kite,0.52
259,kite,0.54
262,kite,0.63
263,kite,0.57
265,kite,0.56
266,kite,0.53
268,kite,0.56
271,kite,0.55
272,airplane,0.54
273,airplane,0.66
274,airplane,0.69
275,airplane,0.62
276,airplane,0.6
277,airplane,0.62
278,airplane,0.54
279,airplane,0.54
280,airplane,0.55
281,airplane,0.6
282,airplane,0.63
283,airplane,0.67
284,airplane,0.63
285,airplane,0.6
286,airplane,0.64
287,airplane,0.67
288,kite,0.58
289,kite,0.58
290,kite,0.58
292,car,0.58
295,kite,0.53
297,kite,0.57
299,kite,0.6
301,car,0.59
303,motorcycle,0.5
304,kite,0.59
310,motorcycle,0.51
311,kite,0.51
312,kite,0.55
313,kite,0.61
314,kite,0.63
315,kite,0.58
316,kite,0.52
317,kite,0.54
321,motorcycle,0.54
322,kite,0.52
323,kite,0.61
324,kite,0.51
326,kite,0.56
328,skateboard,0.51
330,car,0.51
331,skateboard,0.58
334,kite,0.61
335,kite,0.53
336,kite,0.56
337,kite,0.52
338,airplane,0.59
339,airplane,0.52
340,airplane,0.57
341,airplane,0.73
342,airplane,0.6
343,kite,0.59
344,kite,0.61
345,kite,0.63
346,kite,0.66
347,kite,0.68
348,kite,0.64
349,kite,0.61
350,kite,0.58
351,kite,0.58
352,kite,0.59
353,kite,0.5
