,category,score
0,clock,0.6
1,clock,0.58
2,clock,0.59
3,clock,0.6
4,clock,0.58
5,traffic light,0.54
6,clock,0.56
7,traffic light,0.59
8,traffic light,0.61
9,traffic light,0.62
10,clock,0.53
11,traffic light,0.56
12,traffic light,0.62
13,traffic light,0.63
14,traffic light,0.64
15,traffic light,0.61
16,traffic light,0.68
17,traffic light,0.61
18,traffic light,0.67
19,traffic light,0.67
20,traffic light,0.68
21,traffic light,0.64
22,traffic light,0.58
23,traffic light,0.6
24,traffic light,0.63
25,traffic light,0.67
26,traffic light,0.67
27,traffic light,0.7
28,traffic light,0.7
29,traffic light,0.67
30,traffic light,0.64
31,traffic light,0.61
32,traffic light,0.58
33,traffic light,0.58
34,traffic light,0.58
35,traffic light,0.55
36,traffic light,0.59
37,traffic light,0.63
39,traffic light,0.62
40,traffic light,0.61
41,traffic light,0.59
42,traffic light,0.73
43,traffic light,0.58
44,traffic light,0.71
45,traffic light,0.73
46,truck,0.52
47,traffic light,0.71
48,traffic light,0.73
49,traffic light,0.72
50,traffic light,0.71
51,traffic light,0.72
52,traffic light,0.71
53,traffic light,0.63
54,traffic light,0.65
55,traffic light,0.65
56,traffic light,0.67
57,traffic light,0.66
58,traffic light,0.69
59,traffic light,0.67
60,traffic light,0.66
61,traffic light,0.67
62,traffic light,0.67
63,traffic light,0.7
64,traffic light,0.71
65,traffic light,0.66
66,traffic light,0.67
67,traffic light,0.54
68,traffic light,0.62
69,airplane,0.56
70,airplane,0.6
76,traffic light,0.55
78,traffic light,0.54
79,traffic light,0.55
80,traffic light,0.56
81,traffic light,0.61
82,traffic light,0.58
83,airplane,0.6
84,traffic light,0.66
85,traffic light,0.65
86,traffic light,0.59
87,traffic light,0.57
88,traffic light,0.6
89,airplane,0.56
90,traffic light,0.55
91,traffic light,0.53
92,traffic light,0.59
93,traffic light,0.65
94,traffic light,0.63
95,truck,0.58
109,traffic light,0.57
110,traffic light,0.59
111,car,0.63
112,traffic light,0.58
113,traffic light,0.62
114,traffic light,0.55
115,traffic light,0.65
116,traffic light,0.62
117,traffic light,0.65
118,traffic light,0.6
119,traffic light,0.62
120,traffic light,0.61
121,traffic light,0.66
122,traffic light,0.59
123,traffic light,0.55
124,traffic light,0.59
125,traffic light,0.58
126,airplane,0.53
127,airplane,0.54
128,traffic light,0.55
129,traffic light,0.53
130,airplane,0.52
131,traffic light,0.55
132,traffic light,0.66
134,traffic light,0.53
135,traffic light,0.51
136,traffic light,0.53
137,traffic light,0.58
138,traffic light,0.63
139,traffic light,0.58
140,traffic light,0.58
141,traffic light,0.65
142,traffic light,0.7
143,traffic light,0.66
144,traffic light,0.73
145,traffic light,0.69
146,traffic light,0.66
147,traffic light,0.71
148,traffic light,0.69
149,traffic light,0.69
150,traffic light,0.67
151,traffic light,0.65
152,traffic light,0.62
153,traffic light,0.64
154,traffic light,0.66
155,traffic light,0.64
156,traffic light,0.66
157,traffic light,0.71
158,truck,0.55
159,traffic light,0.71
160,traffic light,0.73
161,traffic light,0.67
162,traffic light,0.58
163,traffic light,0.74
164,traffic light,0.59
165,traffic light,0.68
166,traffic light,0.64
167,traffic light,0.68
168,traffic light,0.51
169,traffic light,0.62
170,traffic light,0.62
171,traffic light,0.71
172,traffic light,0.52
173,traffic light,0.57
174,traffic light,0.55
175,traffic light,0.68
176,traffic light,0.61
177,traffic light,0.62
178,traffic light,0.67
179,traffic light,0.68
180,traffic light,0.7
181,traffic light,0.71
182,traffic light,0.64
183,traffic light,0.58
184,traffic light,0.6
185,traffic light,0.66
186,traffic light,0.68
187,traffic light,0.69
188,traffic light,0.66
189,traffic light,0.65
190,traffic light,0.67
191,traffic light,0.61
192,traffic light,0.66
193,traffic light,0.59
195,traffic light,0.52
196,traffic light,0.5
197,traffic light,0.66
198,clock,0.58
199,traffic light,0.53
200,clock,0.63
201,traffic light,0.65
202,clock,0.52
203,traffic light,0.52
204,traffic light,0.57
205,traffic light,0.54
206,traffic light,0.66
