,category,score
25,airplane,0.51
26,airplane,0.52
27,airplane,0.54
28,airplane,0.63
29,airplane,0.52
31,airplane,0.63
33,airplane,0.56
34,airplane,0.51
35,airplane,0.5
38,airplane,0.5
40,airplane,0.51
41,airplane,0.55
42,airplane,0.55
43,airplane,0.5
44,airplane,0.57
45,airplane,0.5
46,airplane,0.54
47,airplane,0.55
48,airplane,0.58
49,airplane,0.56
50,airplane,0.58
51,airplane,0.62
52,airplane,0.57
53,airplane,0.53
54,airplane,0.59
55,airplane,0.5
56,airplane,0.56
57,airplane,0.5
58,airplane,0.6
59,airplane,0.57
60,airplane,0.58
62,airplane,0.58
63,airplane,0.53
64,airplane,0.58
65,airplane,0.54
66,airplane,0.55
67,airplane,0.56
68,airplane,0.6
70,airplane,0.62
71,airplane,0.55
72,airplane,0.55
74,airplane,0.55
75,airplane,0.58
76,airplane,0.57
79,airplane,0.51
92,airplane,0.51
142,airplane,0.5
143,airplane,0.54
157,airplane,0.51
158,airplane,0.55
159,airplane,0.5
160,airplane,0.56
161,airplane,0.6
162,airplane,0.57
164,airplane,0.51
165,airplane,0.52
166,airplane,0.57
167,airplane,0.57
169,airplane,0.58
170,airplane,0.54
171,airplane,0.54
173,airplane,0.59
174,airplane,0.61
176,airplane,0.58
177,airplane,0.58
178,airplane,0.55
179,airplane,0.57
180,airplane,0.57
181,airplane,0.53
183,airplane,0.54
184,airplane,0.58
185,airplane,0.56
186,airplane,0.55
187,airplane,0.6
188,airplane,0.59
189,airplane,0.56
190,airplane,0.52
191,airplane,0.58
192,airplane,0.51
193,airplane,0.5
194,airplane,0.55
196,airplane,0.5
198,airplane,0.57
199,airplane,0.54
201,airplane,0.6
203,airplane,0.63
204,airplane,0.57
241,airplane,0.51
243,airplane,0.53
244,airplane,0.63
245,airplane,0.57
246,airplane,0.53
247,airplane,0.51
248,airplane,0.6
249,airplane,0.53
250,airplane,0.53
251,airplane,0.53
255,airplane,0.51
258,airplane,0.55
259,airplane,0.59
262,airplane,0.61
263,airplane,0.51
264,airplane,0.53
265,airplane,0.57
266,airplane,0.55
267,airplane,0.62
268,airplane,0.56
270,airplane,0.57
271,airplane,0.58
272,airplane,0.61
273,airplane,0.5
274,airplane,0.61
275,airplane,0.62
276,airplane,0.53
277,airplane,0.53
278,airplane,0.51
279,airplane,0.6
280,airplane,0.58
281,airplane,0.56
282,airplane,0.57
283,airplane,0.62
285,airplane,0.5
286,airplane,0.59
288,airplane,0.56
289,airplane,0.54
290,airplane,0.59
291,airplane,0.55
292,airplane,0.5
293,airplane,0.55
294,airplane,0.52
296,airplane,0.55
297,airplane,0.5
350,airplane,0.51
362,airplane,0.51
369,airplane,0.56
370,airplane,0.52
371,airplane,0.54
372,airplane,0.59
374,airplane,0.53
376,airplane,0.58
377,airplane,0.55
378,airplane,0.53
379,airplane,0.51
380,airplane,0.57
381,airplane,0.57
382,airplane,0.57
383,airplane,0.56
384,airplane,0.59
385,airplane,0.57
386,airplane,0.55
387,airplane,0.51
388,airplane,0.62
389,airplane,0.56
390,airplane,0.54
391,airplane,0.57
392,airplane,0.55
393,airplane,0.6
394,airplane,0.52
395,airplane,0.58
398,airplane,0.6
399,airplane,0.58
401,airplane,0.57
402,airplane,0.53
403,airplane,0.55
406,airplane,0.53
409,airplane,0.57
410,airplane,0.52
411,airplane,0.61
413,airplane,0.6
