,category,score
34,airplane,0.52
38,airplane,0.51
41,airplane,0.6
42,airplane,0.52
43,airplane,0.5
44,airplane,0.62
45,airplane,0.61
46,airplane,0.57
48,airplane,0.6
49,airplane,0.55
50,airplane,0.54
52,airplane,0.59
54,airplane,0.57
55,airplane,0.58
56,airplane,0.6
57,airplane,0.58
58,airplane,0.53
60,airplane,0.62
61,airplane,0.54
62,airplane,0.52
63,airplane,0.62
64,airplane,0.61
65,airplane,0.54
67,airplane,0.58
68,airplane,0.6
69,airplane,0.57
71,airplane,0.55
72,airplane,0.66
73,airplane,0.56
74,airplane,0.51
75,airplane,0.6
76,airplane,0.56
77,airplane,0.53
78,airplane,0.58
79,airplane,0.52
80,airplane,0.51
82,airplane,0.54
85,airplane,0.53
91,airplane,0.53
92,airplane,0.56
93,airplane,0.66
94,airplane,0.56
95,airplane,0.55
117,airplane,0.51
118,airplane,0.59
119,airplane,0.66
120,airplane,0.5
121,airplane,0.6
125,airplane,0.53
128,airplane,0.52
132,airplane,0.62
135,airplane,0.54
136,airplane,0.63
137,airplane,0.51
138,airplane,0.53
139,airplane,0.55
140,airplane,0.66
141,airplane,0.52
142,airplane,0.56
143,airplane,0.58
144,airplane,0.65
145,airplane,0.59
146,airplane,0.54
147,airplane,0.59
148,airplane,0.64
150,airplane,0.57
151,airplane,0.54
152,airplane,0.65
154,airplane,0.52
155,airplane,0.56
156,airplane,0.63
158,airplane,0.54
159,airplane,0.58
160,airplane,0.59
161,airplane,0.53
162,airplane,0.53
163,airplane,0.61
164,airplane,0.53
165,airplane,0.52
166,airplane,0.63
167,airplane,0.54
168,airplane,0.55
169,airplane,0.58
170,airplane,0.63
171,airplane,0.53
173,airplane,0.61
176,airplane,0.59
180,airplane,0.5
251,airplane,0.53
255,airplane,0.51
258,airplane,0.56
261,airplane,0.52
262,airplane,0.6
263,airplane,0.52
264,airplane,0.5
266,airplane,0.63
267,airplane,0.57
268,airplane,0.52
269,airplane,0.51
270,airplane,0.64
271,airplane,0.57
272,airplane,0.52
273,airplane,0.55
274,airplane,0.64
275,airplane,0.52
276,airplane,0.54
277,airplane,0.61
278,airplane,0.57
279,airplane,0.57
281,airplane,0.6
282,airplane,0.59
283,airplane,0.5
284,airplane,0.6
285,airplane,0.56
286,airplane,0.52
288,airplane,0.62
289,airplane,0.56
290,airplane,0.53
291,airplane,0.61
292,airplane,0.54
294,airplane,0.59
295,airplane,0.58
296,airplane,0.58
297,airplane,0.54
298,airplane,0.54
300,airplane,0.51
301,airplane,0.55
303,airplane,0.56
305,airplane,0.56
308,airplane,0.57
309,airplane,0.64
310,airplane,0.58
316,airplane,0.54
317,airplane,0.54
318,airplane,0.66
319,airplane,0.57
320,airplane,0.57
324,airplane,0.51
328,airplane,0.54
332,airplane,0.55
333,airplane,0.55
336,airplane,0.55
337,airplane,0.57
339,airplane,0.56
340,airplane,0.53
341,airplane,0.65
342,airplane,0.61
343,airplane,0.51
344,airplane,0.52
345,airplane,0.6
346,airplane,0.64
348,airplane,0.55
349,airplane,0.53
350,airplane,0.65
351,airplane,0.51
352,airplane,0.55
353,airplane,0.56
354,airplane,0.62
356,airplane,0.54
357,airplane,0.6
358,airplane,0.62
360,airplane,0.54
361,airplane,0.63
363,airplane,0.58
364,airplane,0.6
365,airplane,0.61
366,airplane,0.53
367,airplane,0.52
368,airplane,0.6
369,airplane,0.54
370,airplane,0.54
371,airplane,0.5
373,airplane,0.57
376,airplane,0.55
378,airplane,0.51
381,airplane,0.5
