,category,score
31,chair,0.51
32,chair,0.58
35,chair,0.5
38,chair,0.55
41,chair,0.58
42,chair,0.54
45,chair,0.57
49,chair,0.53
53,chair,0.61
54,chair,0.5
60,chair,0.52
63,chair,0.5
64,chair,0.55
65,chair,0.51
67,chair,0.51
68,chair,0.54
72,chair,0.57
78,chair,0.52
82,chair,0.56
85,chair,0.59
88,chair,0.55
114,chair,0.52
117,chair,0.56
120,chair,0.53
121,chair,0.51
124,chair,0.52
127,chair,0.62
131,chair,0.51
135,chair,0.59
139,chair,0.57
142,chair,0.51
143,chair,0.55
146,chair,0.52
147,chair,0.52
154,chair,0.58
161,chair,0.54
164,chair,0.59
170,chair,0.57
173,chair,0.53
244,chair,0.53
251,chair,0.52
255,chair,0.6
259,chair,0.55
266,chair,0.52
267,chair,0.6
274,chair,0.51
278,chair,0.55
284,chair,0.55
291,chair,0.51
294,chair,0.52
297,chair,0.52
299,chair,0.51
301,chair,0.56
328,chair,0.51
329,chair,0.58
332,chair,0.52
336,chair,0.59
339,chair,0.55
340,chair,0.57
347,chair,0.56
351,chair,0.57
355,chair,0.54
356,chair,0.5
359,chair,0.52
362,chair,0.52
363,chair,0.51
365,chair,0.63
368,chair,0.52
374,chair,0.56
375,chair,0.5
383,chair,0.63
