,category,score
30,traffic light,0.55
37,traffic light,0.56
70,traffic light,0.53
80,traffic light,0.56
81,traffic light,0.53
83,traffic light,0.52
84,traffic light,0.6
88,traffic light,0.51
89,airplane,0.52
90,airplane,0.57
91,traffic light,0.62
128,traffic light,0.51
130,traffic light,0.58
131,traffic light,0.55
132,traffic light,0.59
138,traffic light,0.57
139,traffic light,0.53
146,traffic light,0.56
174,traffic light,0.51
184,traffic light,0.51
190,traffic light,0.57
194,traffic light,0.52
195,traffic light,0.53
253,traffic light,0.51
320,traffic light,0.6
322,traffic light,0.54
344,traffic light,0.56
345,traffic light,0.64
346,traffic light,0.55
347,airplane,0.5
348,traffic light,0.59
354,traffic light,0.59
363,traffic light,0.5
