,category,score
25,tv,0.6
26,tv,0.64
27,tv,0.64
28,tv,0.64
29,tv,0.62
30,tv,0.62
31,tv,0.61
32,tv,0.56
33,tv,0.55
34,tv,0.58
35,tv,0.53
36,tv,0.61
37,tv,0.61
38,tv,0.67
39,tv,0.56
40,tv,0.65
41,tv,0.67
42,tv,0.69
43,tv,0.63
44,tv,0.6
45,tv,0.62
46,tv,0.68
47,tv,0.59
48,tv,0.6
49,tv,0.63
50,tv,0.65
51,tv,0.58
52,tv,0.61
53,tv,0.56
54,tv,0.61
55,tv,0.57
56,tv,0.57
57,tv,0.56
58,tv,0.52
59,tv,0.61
60,tv,0.58
61,tv,0.58
62,tv,0.51
63,tv,0.55
64,tv,0.51
65,tv,0.55
66,tv,0.57
67,tv,0.51
68,tv,0.55
69,tv,0.62
70,tv,0.5
71,tv,0.52
72,tv,0.59
73,tv,0.61
74,tv,0.64
76,tv,0.55
77,tv,0.59
78,tv,0.57
79,tv,0.53
80,tv,0.59
81,tv,0.56
82,tv,0.62
83,tv,0.6
84,tv,0.63
85,tv,0.64
86,tv,0.61
87,tv,0.62
88,tv,0.65
89,tv,0.67
90,tv,0.67
91,tv,0.59
92,tv,0.57
96,tv,0.57
97,tv,0.54
98,tv,0.6
99,tv,0.58
100,tv,0.57
101,tv,0.52
130,tv,0.55
131,tv,0.6
132,tv,0.52
133,tv,0.55
134,tv,0.64
135,tv,0.56
137,tv,0.59
138,tv,0.54
141,tv,0.54
142,tv,0.63
143,tv,0.61
144,tv,0.66
145,tv,0.65
146,tv,0.6
147,tv,0.68
148,tv,0.64
149,tv,0.65
150,tv,0.63
151,tv,0.66
152,tv,0.6
153,tv,0.64
154,tv,0.63
155,tv,0.58
156,tv,0.63
157,tv,0.59
158,tv,0.52
159,tv,0.58
160,tv,0.51
161,tv,0.57
162,tv,0.56
163,tv,0.63
164,tv,0.63
165,tv,0.61
167,tv,0.57
168,tv,0.61
169,tv,0.58
170,tv,0.53
171,tv,0.59
172,tv,0.57
173,tv,0.56
174,tv,0.55
175,tv,0.53
176,tv,0.53
177,tv,0.58
178,tv,0.56
179,tv,0.52
180,tv,0.6
181,tv,0.56
182,tv,0.53
183,tv,0.6
184,tv,0.56
185,tv,0.54
186,tv,0.63
187,tv,0.61
188,tv,0.59
189,tv,0.59
190,tv,0.68
191,tv,0.62
192,tv,0.59
193,tv,0.65
194,tv,0.66
195,tv,0.63
196,tv,0.62
197,tv,0.71
198,tv,0.6
199,tv,0.58
200,tv,0.56
201,tv,0.57
202,tv,0.63
203,tv,0.62
204,tv,0.63
205,tv,0.61
206,tv,0.64
207,tv,0.57
258,tv,0.51
259,tv,0.63
260,tv,0.64
261,tv,0.64
262,tv,0.64
263,tv,0.59
264,tv,0.57
265,tv,0.64
266,tv,0.66
267,tv,0.6
268,tv,0.55
269,tv,0.54
270,tv,0.55
271,tv,0.54
272,tv,0.6
273,tv,0.6
274,tv,0.69
275,tv,0.64
276,tv,0.64
277,tv,0.63
278,tv,0.67
279,tv,0.62
280,tv,0.6
281,tv,0.59
282,tv,0.6
283,tv,0.67
284,tv,0.59
285,tv,0.6
286,tv,0.55
287,tv,0.63
288,tv,0.64
289,tv,0.59
290,tv,0.63
291,tv,0.61
292,tv,0.6
293,tv,0.53
294,tv,0.64
295,tv,0.57
296,tv,0.59
298,tv,0.55
299,tv,0.56
300,tv,0.54
301,tv,0.5
302,tv,0.52
303,tv,0.55
304,tv,0.52
305,tv,0.55
306,tv,0.58
307,tv,0.61
308,tv,0.54
309,tv,0.57
310,tv,0.63
311,tv,0.5
312,tv,0.59
313,tv,0.59
314,tv,0.61
316,tv,0.59
317,tv,0.62
318,tv,0.62
319,tv,0.61
320,tv,0.62
321,tv,0.63
322,tv,0.64
323,tv,0.67
324,tv,0.65
325,tv,0.66
326,tv,0.65
327,tv,0.58
330,tv,0.52
331,tv,0.54
332,tv,0.52
333,tv,0.61
334,tv,0.57
335,tv,0.55
351,tv,0.57
352,tv,0.57
353,tv,0.58
354,tv,0.59
355,tv,0.61
356,tv,0.62
357,tv,0.51
358,tv,0.58
359,tv,0.61
364,tv,0.63
365,tv,0.64
366,tv,0.63
367,tv,0.63
368,tv,0.61
369,tv,0.67
370,tv,0.59
371,tv,0.62
372,tv,0.67
373,tv,0.6
374,tv,0.63
375,tv,0.6
376,tv,0.61
377,tv,0.59
378,tv,0.62
379,tv,0.59
380,tv,0.6
381,tv,0.59
382,tv,0.56
383,tv,0.51
384,tv,0.57
385,tv,0.54
389,tv,0.59
390,tv,0.54
391,tv,0.6
392,tv,0.61
393,tv,0.62
394,tv,0.52
395,tv,0.53
396,tv,0.59
397,tv,0.55
398,tv,0.58
399,tv,0.58
400,tv,0.61
401,tv,0.55
402,tv,0.58
403,tv,0.56
404,tv,0.61
405,tv,0.53
406,tv,0.6
407,tv,0.62
408,tv,0.64
409,tv,0.6
410,tv,0.6
411,tv,0.61
412,tv,0.66
413,tv,0.61
414,tv,0.65
415,tv,0.67
416,tv,0.65
417,tv,0.58
418,tv,0.71
419,tv,0.55
420,tv,0.54
421,tv,0.53
422,tv,0.65
423,tv,0.59
424,tv,0.59
425,tv,0.59
426,tv,0.63
