,category,score
43,person,0.52
44,person,0.65
46,person,0.6
47,person,0.65
48,person,0.61
49,person,0.6
50,person,0.6
51,person,0.61
52,person,0.52
53,person,0.57
54,person,0.53
55,person,0.57
56,person,0.53
58,person,0.5
59,person,0.53
60,person,0.53
61,person,0.52
62,person,0.57
64,person,0.51
65,person,0.51
68,person,0.51
69,person,0.53
71,person,0.51
79,person,0.5
83,person,0.51
85,person,0.51
87,person,0.5
90,person,0.55
94,person,0.53
95,person,0.52
97,person,0.57
98,person,0.55
99,person,0.53
100,person,0.55
101,person,0.55
102,person,0.58
103,person,0.53
104,person,0.62
105,person,0.63
106,person,0.61
107,person,0.55
108,person,0.57
109,person,0.54
110,person,0.52
111,person,0.53
112,person,0.52
113,person,0.54
115,person,0.51
116,person,0.56
117,person,0.56
119,person,0.51
121,person,0.54
123,person,0.52
124,person,0.53
128,person,0.51
135,person,0.52
141,person,0.52
142,person,0.52
144,person,0.52
146,person,0.52
148,person,0.54
149,person,0.57
150,person,0.54
151,person,0.51
152,person,0.53
154,person,0.58
155,person,0.56
156,person,0.51
157,person,0.57
158,person,0.64
159,person,0.53
160,person,0.66
161,person,0.67
162,person,0.53
264,person,0.6
265,person,0.59
266,person,0.64
267,person,0.65
268,person,0.66
269,person,0.56
270,person,0.65
271,person,0.62
272,person,0.54
273,person,0.57
274,person,0.58
275,person,0.57
278,person,0.59
279,person,0.5
281,person,0.51
282,person,0.53
283,person,0.5
284,person,0.54
287,person,0.53
288,person,0.51
290,person,0.55
295,person,0.51
297,person,0.5
308,person,0.51
310,person,0.52
312,person,0.51
313,person,0.54
314,person,0.54
315,person,0.5
316,person,0.56
317,person,0.55
318,person,0.55
322,person,0.56
325,person,0.5
327,person,0.52
330,person,0.54
332,person,0.51
334,person,0.52
346,person,0.53
347,person,0.53
348,person,0.57
351,person,0.54
353,person,0.56
355,person,0.57
356,person,0.57
357,person,0.52
358,person,0.55
359,person,0.6
360,person,0.63
361,person,0.68
362,person,0.63
363,person,0.54
