,category,score
26,person,0.58
27,person,0.53
28,person,0.58
29,person,0.64
30,person,0.58
32,person,0.58
33,person,0.54
35,person,0.53
36,person,0.6
37,person,0.57
38,person,0.51
42,person,0.54
46,person,0.5
47,person,0.51
48,person,0.52
52,person,0.51
55,person,0.5
59,person,0.5
65,person,0.52
66,person,0.5
68,person,0.52
72,person,0.52
73,person,0.51
79,person,0.55
80,person,0.53
82,person,0.54
84,person,0.52
85,person,0.57
86,person,0.63
87,person,0.64
88,person,0.59
89,person,0.67
90,person,0.57
91,person,0.53
92,person,0.5
128,person,0.52
129,person,0.58
131,person,0.63
132,person,0.67
133,person,0.62
134,person,0.57
135,person,0.65
136,person,0.62
137,person,0.58
138,person,0.58
139,person,0.54
140,person,0.55
142,person,0.55
143,person,0.5
147,person,0.52
148,person,0.55
154,person,0.51
158,person,0.54
159,person,0.51
162,person,0.51
170,person,0.5
173,person,0.51
174,person,0.5
178,person,0.51
179,person,0.51
180,person,0.53
182,person,0.51
184,person,0.52
185,person,0.5
187,person,0.52
188,person,0.5
189,person,0.56
190,person,0.52
191,person,0.54
192,person,0.63
193,person,0.63
194,person,0.6
244,person,0.56
245,person,0.57
246,person,0.63
247,person,0.64
248,person,0.57
249,person,0.61
250,person,0.53
251,person,0.6
252,person,0.55
253,person,0.56
254,person,0.5
255,person,0.55
256,person,0.58
259,person,0.53
260,person,0.54
261,person,0.53
264,person,0.54
265,person,0.51
268,person,0.53
270,person,0.52
296,person,0.51
298,person,0.52
300,person,0.52
301,person,0.59
302,person,0.54
303,person,0.61
304,person,0.59
305,person,0.66
306,person,0.65
307,person,0.55
308,person,0.55
330,person,0.5
332,person,0.56
334,person,0.66
335,person,0.65
336,person,0.65
337,person,0.58
338,person,0.57
339,person,0.66
340,person,0.56
341,person,0.54
342,person,0.53
343,person,0.55
344,person,0.52
345,person,0.5
346,person,0.54
347,person,0.55
351,person,0.53
352,person,0.51
353,person,0.51
356,person,0.5
358,person,0.5
368,person,0.51
382,person,0.52
385,person,0.5
389,person,0.54
390,person,0.59
393,person,0.58
394,person,0.57
395,person,0.62
396,person,0.6
397,person,0.53
398,person,0.57
