,category,score
26,person,0.51
27,person,0.65
28,person,0.76
29,person,0.79
30,person,0.7
31,person,0.74
32,person,0.79
33,person,0.81
34,person,0.66
35,person,0.76
36,person,0.79
37,person,0.71
38,person,0.6
39,person,0.72
40,person,0.79
41,person,0.66
42,person,0.74
43,person,0.77
44,person,0.68
45,person,0.73
46,person,0.76
47,person,0.77
48,person,0.64
49,person,0.69
50,person,0.78
51,person,0.7
52,person,0.6
53,person,0.75
54,person,0.74
55,person,0.68
56,person,0.67
57,person,0.77
58,person,0.73
59,person,0.69
60,person,0.7
61,person,0.75
62,person,0.75
63,person,0.7
64,person,0.61
65,person,0.74
66,person,0.76
67,person,0.71
68,person,0.7
69,person,0.76
70,person,0.76
71,person,0.67
72,person,0.69
73,person,0.78
74,person,0.72
75,person,0.65
76,person,0.75
77,person,0.77
78,person,0.65
79,person,0.69
80,person,0.77
81,person,0.66
82,person,0.71
83,person,0.78
84,person,0.73
85,person,0.67
86,person,0.76
87,person,0.74
88,person,0.65
89,person,0.74
90,person,0.73
91,person,0.59
92,person,0.52
118,person,0.53
119,person,0.69
120,person,0.74
121,person,0.74
122,person,0.7
123,person,0.79
124,person,0.71
125,person,0.6
126,person,0.78
127,person,0.74
128,person,0.72
129,person,0.68
130,person,0.77
131,person,0.72
132,person,0.64
133,person,0.75
134,person,0.77
135,person,0.69
136,person,0.67
137,person,0.76
138,person,0.75
139,person,0.65
140,person,0.66
141,person,0.75
142,person,0.76
143,person,0.7
144,person,0.69
145,person,0.73
146,person,0.76
147,person,0.66
148,person,0.73
149,person,0.75
150,person,0.7
151,person,0.65
152,person,0.73
153,person,0.77
154,person,0.73
155,person,0.68
156,person,0.74
157,person,0.75
158,person,0.67
159,person,0.71
160,person,0.74
161,person,0.74
162,person,0.66
163,person,0.73
164,person,0.77
165,person,0.74
166,person,0.65
167,person,0.78
168,person,0.76
169,person,0.62
170,person,0.74
171,person,0.78
172,person,0.67
173,person,0.69
174,person,0.8
175,person,0.76
176,person,0.67
177,person,0.81
178,person,0.74
179,person,0.72
180,person,0.78
181,person,0.7
182,person,0.66
183,person,0.59
242,person,0.61
243,person,0.56
244,person,0.66
245,person,0.75
246,person,0.79
247,person,0.74
248,person,0.62
249,person,0.78
250,person,0.8
251,person,0.68
252,person,0.66
253,person,0.76
254,person,0.8
255,person,0.67
256,person,0.74
257,person,0.78
258,person,0.77
259,person,0.63
260,person,0.73
261,person,0.78
262,person,0.75
263,person,0.66
264,person,0.72
265,person,0.76
266,person,0.75
267,person,0.61
268,person,0.74
269,person,0.76
270,person,0.74
271,person,0.64
272,person,0.73
273,person,0.77
274,person,0.72
275,person,0.66
276,person,0.71
277,person,0.77
278,person,0.73
279,person,0.62
280,person,0.74
281,person,0.77
282,person,0.72
283,person,0.67
284,person,0.75
285,person,0.77
286,person,0.72
287,person,0.67
288,person,0.77
289,person,0.74
290,person,0.64
291,person,0.74
292,person,0.76
293,person,0.65
294,person,0.73
295,person,0.77
296,person,0.64
297,person,0.72
298,person,0.78
299,person,0.66
300,person,0.73
301,person,0.79
302,person,0.61
303,person,0.75
304,person,0.78
305,person,0.64
306,person,0.74
307,person,0.66
308,person,0.53
332,person,0.51
333,skis,0.54
334,person,0.65
335,person,0.72
336,person,0.75
337,person,0.6
338,person,0.74
339,person,0.78
340,person,0.73
341,person,0.68
342,person,0.78
343,person,0.75
344,person,0.69
345,person,0.68
346,person,0.76
347,person,0.73
348,person,0.65
349,person,0.75
350,person,0.76
351,person,0.74
352,person,0.61
353,person,0.73
354,person,0.77
355,person,0.72
356,person,0.67
357,person,0.74
358,person,0.78
359,person,0.74
360,person,0.65
361,person,0.74
362,person,0.77
363,person,0.75
364,person,0.64
365,person,0.74
366,person,0.77
367,person,0.67
368,person,0.72
369,person,0.76
370,person,0.75
371,person,0.61
372,person,0.74
373,person,0.76
374,person,0.7
375,person,0.63
376,person,0.74
377,person,0.78
378,person,0.7
379,person,0.71
380,person,0.77
381,person,0.74
382,person,0.66
383,person,0.76
384,person,0.78
385,person,0.72
386,person,0.71
387,person,0.76
388,person,0.65
389,person,0.79
390,person,0.79
391,person,0.63
392,person,0.8
393,person,0.71
394,person,0.76
395,person,0.76
396,person,0.68
397,person,0.6
