,category,score
28,airplane,0.53
42,traffic light,0.53
46,traffic light,0.5
47,traffic light,0.54
48,traffic light,0.58
49,traffic light,0.55
50,traffic light,0.53
51,traffic light,0.61
54,traffic light,0.6
55,traffic light,0.62
57,traffic light,0.54
58,traffic light,0.52
59,traffic light,0.57
64,traffic light,0.5
67,traffic light,0.58
68,traffic light,0.53
70,traffic light,0.54
71,traffic light,0.53
72,traffic light,0.58
74,traffic light,0.51
76,traffic light,0.6
77,traffic light,0.58
78,traffic light,0.52
79,traffic light,0.61
80,traffic light,0.51
81,traffic light,0.54
82,traffic light,0.51
83,traffic light,0.59
84,traffic light,0.56
85,traffic light,0.53
86,traffic light,0.52
87,traffic light,0.57
90,traffic light,0.55
93,traffic light,0.54
94,traffic light,0.62
97,traffic light,0.5
105,airplane,0.58
106,airplane,0.56
135,airplane,0.62
148,traffic light,0.5
149,traffic light,0.51
150,traffic light,0.58
153,traffic light,0.51
154,traffic light,0.57
155,traffic light,0.51
157,traffic light,0.54
158,traffic light,0.59
159,traffic light,0.51
161,traffic light,0.5
162,traffic light,0.61
163,traffic light,0.58
164,traffic light,0.55
165,traffic light,0.52
166,traffic light,0.57
167,traffic light,0.51
168,traffic light,0.55
169,traffic light,0.53
170,traffic light,0.53
171,traffic light,0.59
172,traffic light,0.61
175,traffic light,0.53
177,traffic light,0.53
178,traffic light,0.52
180,traffic light,0.61
181,traffic light,0.55
182,traffic light,0.52
184,traffic light,0.57
185,traffic light,0.61
186,traffic light,0.5
188,traffic light,0.59
189,traffic light,0.51
190,traffic light,0.53
192,traffic light,0.5
195,traffic light,0.56
196,traffic light,0.54
198,traffic light,0.55
199,traffic light,0.54
202,traffic light,0.53
205,traffic light,0.55
262,airplane,0.5
272,traffic light,0.52
280,traffic light,0.58
281,traffic light,0.55
282,traffic light,0.52
285,traffic light,0.58
286,traffic light,0.55
287,traffic light,0.51
289,traffic light,0.59
290,traffic light,0.57
292,traffic light,0.56
293,traffic light,0.57
294,traffic light,0.61
295,traffic light,0.54
298,traffic light,0.56
299,traffic light,0.55
300,traffic light,0.53
301,traffic light,0.52
309,traffic light,0.54
310,traffic light,0.55
312,traffic light,0.57
313,traffic light,0.59
314,traffic light,0.56
315,traffic light,0.51
316,traffic light,0.56
317,traffic light,0.58
318,traffic light,0.54
319,traffic light,0.53
320,traffic light,0.59
321,traffic light,0.55
322,traffic light,0.52
323,traffic light,0.6
325,traffic light,0.56
326,traffic light,0.59
328,traffic light,0.5
329,traffic light,0.55
338,airplane,0.59
339,airplane,0.56
355,airplane,0.55
356,airplane,0.62
357,airplane,0.63
358,airplane,0.54
359,airplane,0.51
372,traffic light,0.5
373,traffic light,0.58
374,traffic light,0.62
378,traffic light,0.59
382,traffic light,0.57
383,traffic light,0.6
385,traffic light,0.53
386,traffic light,0.6
387,traffic light,0.66
388,traffic light,0.54
391,traffic light,0.51
392,traffic light,0.59
393,traffic light,0.59
396,traffic light,0.54
397,traffic light,0.54
398,traffic light,0.54
401,traffic light,0.56
402,traffic light,0.51
405,traffic light,0.55
406,traffic light,0.56
409,traffic light,0.57
410,traffic light,0.51
411,traffic light,0.56
413,traffic light,0.56
414,traffic light,0.55
415,traffic light,0.54
416,traffic light,0.59
417,traffic light,0.56
418,traffic light,0.51
420,traffic light,0.56
423,traffic light,0.53
425,traffic light,0.53
429,traffic light,0.5
