,category,score
32,stop sign,0.54
36,stop sign,0.53
44,suitcase,0.5
78,stop sign,0.54
79,stop sign,0.5
86,stop sign,0.53
89,stop sign,0.58
91,stop sign,0.56
92,stop sign,0.55
93,stop sign,0.55
124,clock,0.54
125,stop sign,0.52
126,stop sign,0.55
127,stop sign,0.6
128,stop sign,0.54
130,stop sign,0.51
132,stop sign,0.5
134,stop sign,0.54
135,stop sign,0.52
184,stop sign,0.54
185,stop sign,0.55
252,stop sign,0.61
296,stop sign,0.51
297,stop sign,0.53
307,stop sign,0.59
308,stop sign,0.58
310,clock,0.52
336,clock,0.5
339,stop sign,0.62
340,stop sign,0.56
341,stop sign,0.53
346,stop sign,0.51
354,stop sign,0.51
396,stop sign,0.59
