,category,score
28,traffic light,0.51
30,traffic light,0.64
31,traffic light,0.61
33,traffic light,0.56
35,traffic light,0.5
49,traffic light,0.52
50,traffic light,0.58
57,traffic light,0.55
66,traffic light,0.51
69,traffic light,0.59
73,traffic light,0.51
76,traffic light,0.55
79,traffic light,0.54
80,traffic light,0.63
83,traffic light,0.53
86,traffic light,0.61
87,traffic light,0.62
88,traffic light,0.52
89,traffic light,0.67
90,traffic light,0.7
91,traffic light,0.67
92,traffic light,0.65
93,traffic light,0.59
94,traffic light,0.55
95,traffic light,0.54
131,traffic light,0.53
132,traffic light,0.55
133,traffic light,0.61
134,traffic light,0.65
135,traffic light,0.63
136,traffic light,0.63
137,traffic light,0.68
138,traffic light,0.63
140,traffic light,0.56
141,traffic light,0.56
142,traffic light,0.53
144,traffic light,0.59
145,traffic light,0.57
148,traffic light,0.56
149,traffic light,0.56
151,traffic light,0.53
152,traffic light,0.53
155,traffic light,0.53
156,traffic light,0.51
171,traffic light,0.5
179,traffic light,0.56
183,traffic light,0.51
192,traffic light,0.56
193,traffic light,0.54
195,traffic light,0.62
196,traffic light,0.62
198,traffic light,0.51
246,traffic light,0.55
248,traffic light,0.59
249,traffic light,0.63
250,traffic light,0.59
254,traffic light,0.55
288,traffic light,0.57
291,traffic light,0.52
295,traffic light,0.54
298,traffic light,0.5
299,traffic light,0.51
301,traffic light,0.56
302,traffic light,0.55
304,traffic light,0.55
305,traffic light,0.59
307,traffic light,0.63
308,traffic light,0.68
309,traffic light,0.61
310,traffic light,0.63
311,traffic light,0.54
312,traffic light,0.55
345,traffic light,0.54
346,traffic light,0.55
347,traffic light,0.61
348,traffic light,0.63
349,traffic light,0.6
350,traffic light,0.63
351,traffic light,0.72
352,traffic light,0.6
354,traffic light,0.5
355,traffic light,0.56
356,traffic light,0.58
359,traffic light,0.56
360,traffic light,0.52
362,traffic light,0.52
363,traffic light,0.55
366,traffic light,0.52
367,traffic light,0.56
370,traffic light,0.56
372,traffic light,0.51
378,traffic light,0.54
386,traffic light,0.54
389,traffic light,0.54
390,traffic light,0.52
397,traffic light,0.51
399,traffic light,0.5
402,traffic light,0.51
404,traffic light,0.59
407,traffic light,0.62
408,traffic light,0.57
