,category,score
4,tvmonitor,0.7
7,bus,0.78
10,bus,0.75
11,bus,0.57
12,bus,0.73
13,bus,0.83
14,bus,0.7
15,bus,0.8
16,bus,0.83
17,bus,0.91
18,bus,0.76
20,bus,0.6
29,car,0.53
30,car,0.6
31,car,0.64
33,car,0.51
36,car,0.52
37,car,0.64
38,car,0.57
39,car,0.62
40,car,0.53
46,car,0.66
48,car,0.52
49,car,0.71
50,car,0.64
51,car,0.54
52,car,0.59
57,car,0.61
61,car,0.52
71,bus,0.68
72,bus,0.94
73,bus,0.9
75,bus,0.86
76,bus,0.82
77,bus,0.7
78,bus,0.62
80,bus,0.67
83,tvmonitor,0.51
84,tvmonitor,0.64
89,tvmonitor,0.62
92,bus,0.71
96,bus,0.77
97,bus,0.81
98,bus,0.68
99,car,0.55
100,car,0.52
101,bus,0.87
102,bus,0.82
103,bus,0.91
104,bus,0.76
105,bus,0.52
115,car,0.54
116,car,0.66
117,car,0.58
121,car,0.54
123,car,0.58
124,car,0.58
125,car,0.6
128,car,0.62
131,car,0.58
133,car,0.51
135,car,0.64
142,bus,0.68
143,car,0.5
145,car,0.62
146,car,0.59
147,car,0.51
156,bus,0.56
158,bus,0.91
159,bus,0.7
160,car,0.54
161,bus,0.73
162,bus,0.81
163,bus,0.77
