,category,score
6,truck,0.73
7,bus,0.53
8,bus,0.56
14,bus,0.65
16,bus,0.9
17,bus,0.83
18,truck,0.64
19,bus,0.86
20,truck,0.65
21,bus,0.94
22,bus,0.87
23,bus,0.82
24,bus,0.55
25,bus,0.5
34,bus,0.56
35,bus,0.6
36,bus,0.87
37,bus,0.92
38,bus,0.95
39,bus,0.91
40,bus,0.97
41,bus,0.94
42,bus,0.88
43,bus,0.53
45,bus,0.82
46,bus,0.54
49,bus,0.87
50,bus,0.78
51,bus,0.81
52,bus,0.9
53,bus,0.92
54,bus,0.95
55,bus,0.9
56,bus,0.93
57,bus,0.97
58,bus,0.81
59,bus,0.84
60,bus,0.64
66,bus,0.61
68,bus,0.61
70,bus,0.69
71,bus,0.8
72,bus,0.86
73,bus,0.9
74,truck,0.58
75,bus,0.83
76,truck,0.66
77,bus,0.92
82,truck,0.6
84,bus,0.85
85,truck,0.72
96,truck,0.77
104,bus,0.55
105,bus,0.89
106,truck,0.77
107,bus,0.75
108,bus,0.91
109,bus,0.93
110,bus,0.79
111,bus,0.85
112,bus,0.65
113,bus,0.54
116,bus,0.6
122,bus,0.8
123,bus,0.86
124,bus,0.97
125,bus,0.83
126,bus,0.97
127,bus,0.94
128,bus,0.91
129,bus,0.62
130,bus,0.55
131,bus,0.86
132,bus,0.53
134,bus,0.53
135,bus,0.88
136,bus,0.63
138,bus,0.87
139,bus,0.91
140,bus,0.97
141,bus,0.93
142,bus,0.91
143,bus,0.98
144,bus,0.92
145,bus,0.81
146,bus,0.72
147,bus,0.66
148,bus,0.51
154,bus,0.53
157,bus,0.73
158,bus,0.74
159,bus,0.89
160,truck,0.55
161,bus,0.83
162,truck,0.61
163,bus,0.83
170,truck,0.61
171,truck,0.61
172,bus,0.51
