,category,score
6,car,0.71
7,car,0.77
8,car,0.98
9,car,0.95
10,car,0.93
11,car,0.97
12,car,0.89
13,car,0.93
14,car,0.97
15,car,0.98
16,car,0.94
17,car,0.94
18,car,0.91
19,car,0.92
20,car,0.95
21,car,0.89
22,car,0.97
23,car,0.87
24,car,0.83
25,car,0.94
26,car,0.97
27,car,0.93
28,car,0.9
29,car,0.96
30,car,0.94
31,car,0.99
32,car,0.97
33,car,0.94
34,car,0.93
35,car,0.98
36,car,0.86
37,car,0.75
46,car,0.83
47,car,0.73
48,car,0.95
49,car,0.97
50,car,0.96
51,car,0.95
52,car,0.94
53,car,0.98
54,car,0.93
55,car,0.93
56,car,0.98
57,car,0.94
58,car,0.94
59,car,0.95
60,car,0.91
61,car,0.86
62,car,0.95
63,car,0.87
64,car,0.9
65,car,0.96
66,car,0.96
67,car,0.94
68,car,0.98
69,car,0.97
70,car,0.99
71,car,0.96
72,car,0.92
73,car,0.97
74,car,0.93
75,car,0.97
76,car,0.98
77,car,0.88
93,car,0.94
94,car,0.95
95,car,0.98
96,car,0.97
97,car,0.97
98,car,0.89
99,car,0.9
100,car,0.96
101,car,0.96
102,car,0.97
103,car,0.96
104,car,0.96
105,car,0.97
106,car,0.97
107,car,0.93
108,car,0.98
109,car,0.92
110,car,0.97
111,car,0.94
112,car,0.95
113,car,0.96
114,car,0.87
115,car,0.91
116,car,0.97
117,car,0.97
118,car,0.97
119,car,0.92
120,car,0.93
121,car,0.96
122,car,0.9
123,car,0.97
124,car,0.94
125,car,0.59
129,car,0.8
130,car,0.78
131,car,0.92
132,car,0.98
133,car,0.94
134,car,0.98
135,car,0.94
136,car,0.95
137,car,0.99
138,car,0.96
139,car,0.99
140,car,0.93
141,car,0.95
142,car,0.96
143,car,0.95
144,car,0.95
145,car,0.92
146,car,0.93
147,car,0.96
148,car,0.81
149,car,0.93
150,car,0.95
151,car,0.86
152,car,0.93
153,car,0.97
154,car,0.98
155,car,0.95
156,car,0.96
157,car,0.91
158,car,0.92
159,car,0.98
160,car,0.97
161,car,0.74
