,category,score
0,car,0.84
1,car,0.82
2,car,0.76
3,car,0.85
5,car,0.5
6,car,0.61
7,car,0.89
8,car,0.98
9,car,0.97
10,car,0.97
11,car,0.99
12,car,0.99
13,car,0.99
14,car,0.99
15,car,1.0
16,car,1.0
17,car,1.0
18,car,1.0
19,car,1.0
20,car,1.0
21,car,0.99
22,car,0.99
23,car,1.0
24,car,0.99
25,car,1.0
26,car,1.0
27,car,1.0
28,car,0.99
29,car,0.99
30,car,0.99
31,car,0.99
32,car,0.96
33,car,1.0
34,car,0.95
35,car,0.99
36,car,0.99
37,car,0.98
38,car,0.99
39,car,0.99
40,car,0.85
41,car,0.9
48,car,0.94
49,car,0.79
50,car,0.99
51,car,0.99
52,car,0.97
53,car,0.99
54,car,0.99
55,car,0.97
56,car,0.98
57,car,0.99
58,car,0.99
59,car,0.99
60,car,0.99
61,car,0.99
62,car,1.0
63,car,0.99
64,car,1.0
65,car,0.99
66,car,1.0
67,car,0.99
68,car,1.0
69,car,1.0
70,car,1.0
71,car,0.99
72,car,1.0
73,car,1.0
74,car,1.0
75,car,1.0
76,car,0.99
77,car,0.99
78,car,0.99
79,car,0.98
80,car,0.95
81,car,0.97
82,car,0.97
83,car,0.91
86,car,0.63
87,car,0.74
91,car,0.82
92,car,0.71
93,car,0.61
95,car,0.9
96,car,0.98
97,car,0.97
98,car,0.98
99,car,0.96
100,car,0.98
101,car,0.99
102,car,0.99
103,car,0.99
104,car,1.0
105,car,1.0
106,car,0.99
107,car,1.0
108,car,1.0
109,car,0.99
110,car,1.0
111,car,0.99
112,car,1.0
113,car,1.0
114,car,0.99
115,car,1.0
116,car,1.0
117,car,0.99
118,car,0.99
119,car,0.99
120,car,1.0
121,car,0.97
122,car,0.99
123,car,0.99
124,car,0.97
125,car,0.98
126,car,0.99
127,car,0.98
128,car,0.99
129,car,0.94
130,car,0.77
136,car,0.79
137,car,0.55
138,car,0.97
139,car,0.98
140,car,0.98
141,car,0.99
142,car,0.99
143,car,0.98
144,car,0.98
145,car,0.99
146,car,0.99
147,car,0.99
148,car,0.97
149,car,0.99
150,car,1.0
151,car,1.0
152,car,0.98
153,car,1.0
154,car,0.99
155,car,1.0
156,car,1.0
157,car,1.0
158,car,1.0
159,car,1.0
160,car,0.99
161,car,1.0
162,car,1.0
163,car,0.99
164,car,0.99
165,car,0.98
166,car,0.99
167,car,0.98
168,car,0.95
169,car,0.98
170,car,0.92
171,car,0.76
172,car,0.56
