,category,score
15,chair,0.55
16,chair,0.55
17,chair,0.86
18,chair,0.78
19,chair,0.69
20,chair,0.74
21,chair,0.81
22,chair,0.5
24,chair,0.5
30,chair,0.64
31,chair,0.59
32,chair,0.8
33,chair,0.56
35,chair,0.62
36,chair,0.7
38,chair,0.62
39,chair,0.7
54,chair,0.56
55,bench,0.55
56,chair,0.79
57,chair,0.74
59,chair,0.83
60,chair,0.75
62,chair,0.58
63,chair,0.92
64,chair,0.9
65,chair,0.81
68,chair,0.64
75,chair,0.72
77,chair,0.94
78,chair,0.7
79,chair,0.82
80,chair,0.69
81,chair,0.62
106,chair,0.56
108,chair,0.94
110,chair,0.88
111,chair,0.84
112,chair,0.62
118,chair,0.52
122,chair,0.74
123,chair,0.57
124,chair,0.83
126,chair,0.91
127,chair,0.56
128,chair,0.81
130,chair,0.68
146,chair,0.68
149,chair,0.69
150,chair,0.66
151,chair,0.6
152,chair,0.52
153,chair,0.68
154,chair,0.87
155,chair,0.92
161,chair,0.61
165,chair,0.73
166,chair,0.79
167,chair,0.74
168,chair,0.76
169,chair,0.9
171,chair,0.6
