,category,score
14,bird,0.77
16,bird,0.58
17,bird,0.55
19,bird,0.82
20,bird,0.86
22,bird,0.85
23,bird,0.75
24,bird,0.92
25,bird,0.84
26,bird,0.81
27,bird,0.52
28,bird,0.64
29,bird,0.9
31,bird,0.64
33,bird,0.55
55,bird,0.74
56,bird,0.68
59,bird,0.82
60,bird,0.72
61,bird,0.78
62,bird,0.88
63,bird,0.69
64,bird,0.91
65,bird,0.63
66,bird,0.91
67,bird,0.87
68,bird,0.62
70,bird,0.84
71,bird,0.75
72,bird,0.68
74,bird,0.6
99,bird,0.58
100,bird,0.69
102,bird,0.7
103,bird,0.72
104,bird,0.62
106,bird,0.83
107,bird,0.55
108,bird,0.74
109,bird,0.87
110,bird,0.68
111,bird,0.73
113,bird,0.64
114,bird,0.59
115,bird,0.91
140,bird,0.67
143,bird,0.74
144,bird,0.83
146,bird,0.71
147,bird,0.81
148,bird,0.8
151,bird,0.76
152,bird,0.74
153,bird,0.81
154,bird,0.74
157,bird,0.73
160,bird,0.65
