,category,score
16,bird,0.69
20,bird,0.73
21,bird,0.77
22,bird,0.75
23,bird,0.78
25,bird,0.88
26,bird,0.55
27,bird,0.8
28,bird,0.87
29,bird,0.84
31,bird,0.75
32,bird,0.84
33,bird,0.82
34,bird,0.77
35,bird,0.7
37,bird,0.65
60,bird,0.63
61,bird,0.74
62,bird,0.68
63,bird,0.76
64,bird,0.73
65,bird,0.81
66,bird,0.88
67,bird,0.69
69,bird,0.85
70,bird,0.51
71,bird,0.82
72,bird,0.77
73,bird,0.77
74,bird,0.85
75,bird,0.88
76,bird,0.91
77,bird,0.8
80,bird,0.71
108,bird,0.52
110,bird,0.57
112,bird,0.68
115,bird,0.52
116,bird,0.89
117,bird,0.62
118,bird,0.86
119,bird,0.72
120,bird,0.7
122,bird,0.67
124,bird,0.91
125,bird,0.86
126,bird,0.81
127,bird,0.64
128,bird,0.69
129,bird,0.57
153,bird,0.56
160,bird,0.72
161,bird,0.81
162,bird,0.51
163,bird,0.81
164,bird,0.9
165,bird,0.9
166,bird,0.85
167,bird,0.71
169,bird,0.79
170,bird,0.63
171,bird,0.7
173,bird,0.73
177,bird,0.52
