,category,score
11,person,0.96
12,person,1.0
13,person,1.0
14,person,1.0
15,person,1.0
16,person,1.0
17,person,1.0
18,person,0.99
19,person,0.99
20,person,1.0
21,person,1.0
22,person,1.0
23,person,0.99
24,person,0.99
25,person,1.0
26,person,1.0
27,person,0.99
28,person,0.99
29,person,0.99
30,person,1.0
31,person,0.99
32,person,1.0
33,person,0.99
34,person,1.0
35,person,1.0
36,person,0.99
37,person,0.99
38,person,1.0
39,person,1.0
40,person,0.9
57,person,0.87
58,person,0.99
59,person,0.99
60,person,0.99
61,person,1.0
62,person,0.99
63,person,1.0
64,person,1.0
65,person,1.0
66,person,0.99
67,person,1.0
68,person,1.0
69,person,0.99
70,person,0.99
71,person,0.99
72,person,0.99
73,person,0.99
74,person,0.99
75,person,0.99
76,person,1.0
77,person,0.99
78,person,1.0
79,person,0.99
80,person,0.99
81,person,1.0
82,person,1.0
83,person,1.0
84,person,1.0
85,person,1.0
86,person,0.98
103,person,0.96
104,person,0.98
105,person,1.0
106,person,1.0
107,person,0.99
108,person,0.99
109,person,1.0
110,person,0.99
111,person,1.0
112,person,0.99
113,person,1.0
114,person,0.99
115,person,0.99
116,person,1.0
117,person,0.99
118,person,0.99
119,person,0.99
120,person,0.99
121,person,1.0
122,person,0.99
123,person,0.99
124,person,1.0
125,person,1.0
126,person,0.99
127,person,1.0
128,person,1.0
129,person,1.0
130,person,1.0
131,person,1.0
132,person,0.99
149,person,0.99
150,person,1.0
151,person,1.0
152,person,1.0
153,person,1.0
154,person,1.0
155,person,1.0
156,person,1.0
157,person,0.99
158,person,0.99
159,person,0.99
160,person,0.99
161,person,1.0
162,person,1.0
163,person,1.0
164,person,0.99
165,person,0.99
166,person,0.99
167,person,0.99
168,person,1.0
169,person,1.0
170,person,0.99
171,person,0.99
172,person,0.99
173,person,1.0
174,person,0.99
175,person,1.0
176,person,1.0
177,person,0.99
178,person,0.92
