,category,score
12,person,0.86
13,person,0.85
14,person,0.93
15,person,0.98
16,person,1.0
17,person,0.98
18,person,0.98
19,person,0.99
20,person,0.81
21,person,0.99
22,person,0.97
23,person,0.97
24,person,0.99
25,person,0.98
26,person,0.99
27,person,0.91
28,person,0.96
29,person,0.86
30,person,0.94
31,person,0.99
32,person,0.91
33,person,0.96
34,person,0.97
35,person,0.98
36,person,0.99
37,person,0.99
38,person,0.92
39,person,0.98
40,person,0.98
41,person,0.96
57,person,0.97
58,person,0.89
59,person,0.96
60,person,0.97
61,person,0.92
62,person,0.99
63,person,0.99
64,person,0.92
65,person,0.98
66,person,0.92
67,person,0.98
68,person,0.98
69,person,0.98
70,person,0.98
71,person,0.94
72,person,0.99
73,person,0.92
74,person,0.99
75,person,0.98
76,person,0.92
77,person,0.98
78,person,0.98
79,person,0.97
80,person,0.99
81,person,0.99
82,person,0.98
83,person,1.0
84,person,0.99
85,person,0.94
86,person,0.97
87,person,0.67
105,person,0.61
106,person,0.96
107,person,0.92
108,person,0.93
109,person,0.93
110,person,0.99
111,person,0.98
112,person,1.0
113,person,0.98
114,person,0.98
115,person,0.98
116,person,0.85
117,person,0.99
118,person,0.99
119,person,0.99
120,person,0.99
121,person,0.85
122,person,0.97
123,person,0.99
124,person,0.98
125,person,0.99
126,person,0.8
127,person,0.96
128,person,0.99
129,person,0.96
130,person,0.98
131,person,0.99
132,person,0.85
133,person,0.98
134,person,0.73
135,person,0.77
149,person,0.97
150,person,0.99
151,person,0.81
152,person,0.99
153,person,0.94
154,person,0.99
155,person,1.0
156,person,0.96
157,person,0.99
158,person,0.82
159,person,0.98
160,person,0.94
161,person,0.99
162,person,0.89
163,person,0.99
164,person,0.98
165,person,0.98
166,person,0.99
167,person,0.96
168,person,0.99
169,person,0.98
170,person,0.88
171,person,0.98
172,person,0.98
173,person,0.99
174,person,0.97
175,person,0.98
176,person,0.98
177,person,0.93
178,person,0.89
