,category,score
13,suitcase,0.57
15,suitcase,0.56
16,suitcase,0.79
23,suitcase,0.62
27,suitcase,0.59
30,suitcase,0.56
31,suitcase,0.56
33,suitcase,0.84
35,suitcase,0.73
36,suitcase,0.57
39,suitcase,0.66
58,suitcase,0.7
61,suitcase,0.54
62,suitcase,0.7
63,suitcase,0.63
65,suitcase,0.58
67,suitcase,0.52
71,suitcase,0.53
80,suitcase,0.79
83,suitcase,0.69
112,suitcase,0.53
113,suitcase,0.54
114,suitcase,0.82
115,suitcase,0.53
124,suitcase,0.55
128,suitcase,0.84
129,suitcase,0.65
152,suitcase,0.75
153,suitcase,0.9
154,suitcase,0.62
159,suitcase,0.76
164,suitcase,0.66
167,suitcase,0.59
172,suitcase,0.71
