,category,score
13,suitcase,0.51
14,suitcase,0.75
15,suitcase,0.52
17,suitcase,0.66
19,suitcase,0.58
20,suitcase,0.79
21,suitcase,0.57
22,suitcase,0.59
23,suitcase,0.52
24,suitcase,0.65
25,suitcase,0.7
27,suitcase,0.86
28,suitcase,0.78
30,suitcase,0.59
31,suitcase,0.5
32,suitcase,0.59
33,suitcase,0.66
34,suitcase,0.86
36,suitcase,0.71
38,suitcase,0.59
39,suitcase,0.58
66,suitcase,0.6
67,suitcase,0.74
68,suitcase,0.6
69,suitcase,0.72
70,suitcase,0.61
71,suitcase,0.58
72,suitcase,0.82
74,suitcase,0.79
75,suitcase,0.54
76,suitcase,0.81
78,suitcase,0.51
79,suitcase,0.62
80,suitcase,0.73
81,suitcase,0.72
84,suitcase,0.53
86,suitcase,0.6
87,suitcase,0.57
88,suitcase,0.55
110,suitcase,0.7
111,suitcase,0.6
112,suitcase,0.55
116,suitcase,0.52
117,suitcase,0.72
118,suitcase,0.56
119,suitcase,0.74
120,suitcase,0.65
121,suitcase,0.72
122,suitcase,0.53
123,suitcase,0.63
124,suitcase,0.62
125,suitcase,0.79
126,suitcase,0.56
128,suitcase,0.77
130,suitcase,0.84
131,suitcase,0.71
133,suitcase,0.69
135,suitcase,0.57
136,suitcase,0.64
158,suitcase,0.69
160,suitcase,0.51
162,suitcase,0.58
163,suitcase,0.81
164,suitcase,0.6
165,suitcase,0.59
167,suitcase,0.88
170,suitcase,0.64
171,suitcase,0.66
172,suitcase,0.62
174,suitcase,0.85
176,suitcase,0.58
177,suitcase,0.61
178,suitcase,0.57
180,suitcase,0.54
181,suitcase,0.68
