,category,score
0,none,0.0
1,none,0.0
2,none,0.0
3,none,0.0
4,none,0.0
5,none,0.0
6,none,0.0
7,none,0.0
8,none,0.0
9,none,0.0
10,none,0.0
11,none,0.0
12,none,0.0
13,none,0.0
14,none,0.0
15,none,0.0
16,none,0.0
17,none,0.0
18,none,0.0
19,none,0.0
20,none,0.0
21,none,0.0
22,none,0.0
23,none,0.0
24,none,0.0
25,none,0.0
26,none,0.0
27,none,0.0
28,none,0.0
29,none,0.0
30,none,0.0
31,none,0.0
32,tv,0.56
33,tv,0.53
34,tv,0.54
35,tv,0.51
36,tv,0.55
37,tv,0.58
38,tv,0.53
39,tv,0.63
40,tv,0.65
41,tv,0.55
42,none,0.0
43,tv,0.54
44,tv,0.51
45,none,0.0
46,none,0.0
47,tv,0.53
48,tv,0.53
49,none,0.0
50,none,0.0
51,tv,0.52
52,none,0.0
53,none,0.0
54,tv,0.54
55,none,0.0
56,none,0.0
57,none,0.0
58,tv,0.56
59,none,0.0
60,none,0.0
61,none,0.0
62,none,0.0
63,suitcase,0.53
64,none,0.0
65,none,0.0
66,none,0.0
67,suitcase,0.5
68,none,0.0
69,none,0.0
70,tv,0.51
71,none,0.0
72,none,0.0
73,none,0.0
74,none,0.0
75,none,0.0
76,none,0.0
77,none,0.0
78,none,0.0
79,none,0.0
80,tv,0.57
81,none,0.0
82,tv,0.51
83,tv,0.55
84,tv,0.61
85,tv,0.64
86,tv,0.59
87,tv,0.52
88,tv,0.58
89,tv,0.54
90,none,0.0
91,none,0.0
92,none,0.0
93,none,0.0
94,none,0.0
95,none,0.0
96,none,0.0
97,none,0.0
98,none,0.0
99,none,0.0
100,airplane,0.56
101,airplane,0.59
102,none,0.0
103,none,0.0
104,airplane,0.54
105,airplane,0.53
106,airplane,0.54
107,airplane,0.51
108,none,0.0
109,none,0.0
110,none,0.0
111,airplane,0.54
112,airplane,0.51
113,none,0.0
114,airplane,0.51
115,none,0.0
116,none,0.0
117,none,0.0
118,none,0.0
119,none,0.0
120,tv,0.52
121,none,0.0
122,none,0.0
123,none,0.0
124,tv,0.54
125,none,0.0
126,tv,0.6
127,tv,0.63
128,tv,0.54
129,tv,0.56
130,tv,0.53
131,tv,0.65
132,tv,0.63
133,tv,0.55
134,tv,0.51
135,tv,0.54
136,tv,0.59
137,none,0.0
138,none,0.0
139,tv,0.54
140,tv,0.5
141,none,0.0
142,none,0.0
143,tv,0.5
144,none,0.0
145,none,0.0
146,none,0.0
147,none,0.0
148,none,0.0
149,none,0.0
150,none,0.0
151,none,0.0
152,none,0.0
153,none,0.0
154,none,0.0
155,none,0.0
156,none,0.0
157,none,0.0
158,none,0.0
159,none,0.0
160,none,0.0
161,none,0.0
162,none,0.0
163,tv,0.54
164,none,0.0
165,none,0.0
166,tv,0.52
167,none,0.0
168,none,0.0
169,none,0.0
170,tv,0.53
171,none,0.0
172,none,0.0
173,tv,0.55
174,none,0.0
175,tv,0.52
176,tv,0.66
177,tv,0.64
178,tv,0.52
179,tv,0.6
180,tv,0.54
181,tv,0.51
182,none,0.0
183,tv,0.54
184,tv,0.51
185,none,0.0
186,tv,0.51
187,none,0.0
188,none,0.0
189,none,0.0
190,none,0.0
191,none,0.0
192,none,0.0
193,none,0.0
194,none,0.0
195,none,0.0
196,none,0.0
197,none,0.0
198,none,0.0
199,none,0.0
200,none,0.0
201,none,0.0
202,none,0.0
203,none,0.0
204,none,0.0
205,none,0.0
206,none,0.0
207,none,0.0
208,none,0.0
209,none,0.0
210,none,0.0
211,none,0.0
212,none,0.0
213,none,0.0
214,none,0.0
215,none,0.0
216,none,0.0
217,none,0.0
218,none,0.0
219,none,0.0
220,none,0.0
221,none,0.0
222,none,0.0
223,none,0.0
224,none,0.0
225,none,0.0
226,none,0.0
227,none,0.0
228,none,0.0
229,none,0.0
230,none,0.0
231,none,0.0
232,none,0.0
233,none,0.0
234,none,0.0
235,none,0.0
236,none,0.0
237,none,0.0
238,none,0.0
239,none,0.0
240,none,0.0
241,none,0.0
242,none,0.0
243,none,0.0
244,none,0.0
245,none,0.0
246,none,0.0
247,none,0.0
248,none,0.0
249,none,0.0
250,none,0.0
251,none,0.0
252,tv,0.52
253,tv,0.51
254,none,0.0
255,none,0.0
256,none,0.0
257,tv,0.53
258,tv,0.56
259,tv,0.52
260,tv,0.57
261,tv,0.58
262,tv,0.59
263,tv,0.58
264,tv,0.6
265,tv,0.53
266,tv,0.66
267,tv,0.6
268,tv,0.62
269,tv,0.51
270,tv,0.56
271,tv,0.59
272,tv,0.54
273,none,0.0
274,none,0.0
275,tv,0.54
276,tv,0.51
277,none,0.0
278,none,0.0
279,tv,0.55
280,none,0.0
281,none,0.0
282,none,0.0
283,tv,0.52
284,none,0.0
285,none,0.0
286,none,0.0
287,tv,0.51
