,category,score
0,none,0.0
1,none,0.0
2,none,0.0
3,none,0.0
4,none,0.0
5,none,0.0
6,none,0.0
7,car,0.62
8,car,0.62
9,car,0.63
10,traffic light,0.58
11,car,0.6
12,car,0.57
13,traffic light,0.6
14,car,0.62
15,car,0.64
16,car,0.67
17,car,0.66
18,car,0.71
19,car,0.69
20,car,0.7
21,car,0.64
22,car,0.7
23,car,0.63
24,car,0.61
25,car,0.59
26,car,0.6
27,car,0.6
28,bus,0.57
29,car,0.58
30,car,0.53
31,bus,0.51
32,bus,0.58
33,bus,0.55
34,bus,0.55
35,bus,0.52
36,bus,0.57
37,bus,0.62
38,bus,0.63
39,bus,0.55
40,bus,0.52
41,bus,0.53
42,bus,0.5
43,truck,0.58
44,bus,0.61
45,bus,0.68
46,bus,0.62
47,bus,0.59
48,bus,0.58
49,bus,0.61
50,bus,0.62
51,bus,0.64
52,bus,0.58
53,bus,0.58
54,none,0.0
55,none,0.0
56,car,0.51
57,car,0.54
58,car,0.54
59,suitcase,0.54
60,car,0.52
61,bus,0.57
62,bus,0.54
63,car,0.56
64,car,0.62
65,bus,0.58
66,bus,0.59
67,bus,0.64
68,bus,0.61
69,bus,0.53
70,none,0.0
71,bus,0.53
72,bus,0.52
73,suitcase,0.54
74,bus,0.55
75,bus,0.57
76,bus,0.52
77,bus,0.55
78,bus,0.64
79,bus,0.56
80,bus,0.5
81,bus,0.55
82,bus,0.55
83,none,0.0
84,bus,0.51
85,bus,0.54
86,none,0.0
87,none,0.0
88,none,0.0
89,none,0.0
90,none,0.0
91,none,0.0
92,none,0.0
93,none,0.0
94,none,0.0
95,none,0.0
96,none,0.0
97,bus,0.52
98,none,0.0
99,none,0.0
100,bus,0.55
101,bus,0.53
102,bus,0.53
103,bus,0.57
104,bus,0.58
105,bus,0.58
106,none,0.0
107,bus,0.54
108,bus,0.58
109,car,0.56
110,bus,0.54
111,bus,0.51
112,clock,0.57
113,car,0.54
114,clock,0.61
115,none,0.0
116,clock,0.6
117,none,0.0
118,none,0.0
119,clock,0.53
120,clock,0.53
121,clock,0.64
122,car,0.56
123,bus,0.55
124,car,0.55
125,traffic light,0.52
126,car,0.56
127,car,0.57
128,car,0.54
129,bus,0.58
130,none,0.0
131,bus,0.59
132,bus,0.59
133,bus,0.55
134,bus,0.55
135,bus,0.55
136,bus,0.56
137,bus,0.5
138,bus,0.51
139,bus,0.53
140,none,0.0
141,none,0.0
142,none,0.0
143,none,0.0
144,bus,0.54
145,none,0.0
146,none,0.0
147,none,0.0
148,bus,0.51
149,none,0.0
150,none,0.0
151,none,0.0
152,none,0.0
153,bus,0.57
154,bus,0.53
155,none,0.0
156,bus,0.51
157,bus,0.55
158,bus,0.51
159,bus,0.56
160,bus,0.59
161,bus,0.65
162,bus,0.55
163,bus,0.57
164,none,0.0
165,suitcase,0.55
166,none,0.0
167,bus,0.53
168,none,0.0
169,none,0.0
170,bus,0.58
171,bus,0.63
172,bus,0.66
173,bus,0.6
174,car,0.6
175,car,0.58
176,bus,0.59
177,bus,0.59
178,car,0.54
179,suitcase,0.53
180,none,0.0
181,car,0.54
182,car,0.58
183,none,0.0
184,none,0.0
185,none,0.0
186,bus,0.55
187,bus,0.66
188,bus,0.58
189,bus,0.58
190,bus,0.63
191,bus,0.65
192,bus,0.67
193,bus,0.65
194,bus,0.56
195,bus,0.53
196,bus,0.56
197,bus,0.58
198,bus,0.58
199,bus,0.59
200,bus,0.64
201,bus,0.64
202,bus,0.53
203,bus,0.54
204,none,0.0
205,car,0.54
206,car,0.58
207,car,0.58
208,car,0.58
209,car,0.59
210,car,0.64
211,car,0.6
212,car,0.7
213,car,0.66
214,car,0.65
215,car,0.7
216,car,0.68
217,car,0.7
218,car,0.65
219,car,0.56
220,car,0.59
221,traffic light,0.6
222,car,0.56
223,car,0.58
224,car,0.6
225,car,0.62
226,car,0.62
227,car,0.54
228,car,0.51
229,none,0.0
230,none,0.0
231,none,0.0
232,car,0.55
233,car,0.56
234,car,0.62
235,car,0.64
236,traffic light,0.58
237,car,0.57
238,car,0.56
239,traffic light,0.59
240,car,0.56
241,car,0.65
242,car,0.62
243,car,0.72
244,car,0.64
245,car,0.69
246,car,0.69
247,car,0.63
248,car,0.65
249,bus,0.59
250,car,0.62
251,car,0.58
252,car,0.58
253,car,0.64
254,car,0.56
255,car,0.62
256,car,0.54
257,car,0.52
258,car,0.51
259,car,0.52
260,bus,0.55
261,bus,0.55
262,bus,0.63
263,bus,0.64
264,bus,0.62
265,bus,0.58
266,bus,0.59
267,bus,0.51
268,bus,0.56
269,bus,0.56
270,bus,0.63
271,bus,0.63
272,bus,0.66
273,bus,0.62
274,bus,0.63
275,bus,0.6
276,truck,0.57
277,bus,0.53
278,bus,0.65
279,bus,0.53
280,bus,0.5
