,category,score
0,none,0.0
1,none,0.0
2,none,0.0
3,none,0.0
4,none,0.0
5,none,0.0
6,none,0.0
7,none,0.0
8,none,0.0
9,none,0.0
10,none,0.0
11,none,0.0
12,none,0.0
13,none,0.0
14,none,0.0
15,none,0.0
16,none,0.0
17,none,0.0
18,none,0.0
19,none,0.0
20,none,0.0
21,none,0.0
22,none,0.0
23,none,0.0
24,none,0.0
25,kite,0.53
26,kite,0.57
27,kite,0.52
28,airplane,0.55
29,airplane,0.57
30,airplane,0.62
31,airplane,0.6
32,airplane,0.61
33,airplane,0.69
34,kite,0.54
35,kite,0.65
36,airplane,0.64
37,airplane,0.64
38,kite,0.62
39,kite,0.69
40,airplane,0.54
41,kite,0.53
42,none,0.0
43,kite,0.57
44,airplane,0.52
45,kite,0.59
46,kite,0.6
47,kite,0.53
48,none,0.0
49,airplane,0.54
50,airplane,0.53
51,airplane,0.52
52,airplane,0.6
53,airplane,0.54
54,airplane,0.55
55,kite,0.57
56,kite,0.59
57,kite,0.53
58,none,0.0
59,kite,0.53
60,kite,0.76
61,kite,0.57
62,kite,0.61
63,kite,0.62
64,none,0.0
65,none,0.0
66,airplane,0.64
67,none,0.0
68,airplane,0.52
69,kite,0.57
70,none,0.0
71,airplane,0.51
72,kite,0.55
73,kite,0.62
74,none,0.0
75,airplane,0.55
76,airplane,0.56
77,airplane,0.52
78,airplane,0.52
79,none,0.0
80,none,0.0
81,kite,0.51
82,airplane,0.53
83,airplane,0.68
84,airplane,0.63
85,airplane,0.65
86,airplane,0.64
87,traffic light,0.55
88,airplane,0.67
89,airplane,0.56
90,airplane,0.6
91,airplane,0.66
92,kite,0.51
93,kite,0.5
94,none,0.0
95,none,0.0
96,none,0.0
97,none,0.0
98,none,0.0
99,none,0.0
100,none,0.0
101,none,0.0
102,none,0.0
103,none,0.0
104,none,0.0
105,none,0.0
106,kite,0.52
107,kite,0.51
108,kite,0.53
109,airplane,0.59
110,airplane,0.6
111,airplane,0.64
112,airplane,0.55
113,airplane,0.66
114,airplane,0.72
115,airplane,0.7
116,airplane,0.66
117,airplane,0.71
118,airplane,0.67
119,airplane,0.68
120,airplane,0.61
121,airplane,0.51
122,none,0.0
123,none,0.0
124,none,0.0
125,none,0.0
126,none,0.0
127,airplane,0.54
128,none,0.0
129,none,0.0
130,none,0.0
131,airplane,0.64
132,none,0.0
133,none,0.0
134,airplane,0.58
135,airplane,0.54
136,kite,0.71
137,kite,0.51
138,airplane,0.54
139,airplane,0.53
140,none,0.0
141,kite,0.6
142,kite,0.63
143,kite,0.72
144,kite,0.61
145,kite,0.55
146,none,0.0
147,airplane,0.55
148,kite,0.58
149,airplane,0.51
150,none,0.0
151,airplane,0.58
152,airplane,0.55
153,none,0.0
154,airplane,0.51
155,airplane,0.52
156,kite,0.63
157,kite,0.53
158,none,0.0
159,kite,0.59
160,kite,0.62
161,airplane,0.52
162,none,0.0
163,airplane,0.61
164,kite,0.61
165,airplane,0.69
166,kite,0.62
167,kite,0.59
168,airplane,0.63
169,airplane,0.54
170,airplane,0.6
171,airplane,0.57
172,kite,0.55
173,kite,0.58
174,kite,0.51
175,none,0.0
176,none,0.0
177,none,0.0
178,none,0.0
179,none,0.0
180,none,0.0
181,none,0.0
182,none,0.0
183,none,0.0
184,none,0.0
185,none,0.0
186,none,0.0
187,none,0.0
188,none,0.0
189,none,0.0
190,none,0.0
191,none,0.0
192,none,0.0
193,none,0.0
194,none,0.0
195,none,0.0
196,none,0.0
197,none,0.0
198,none,0.0
199,none,0.0
200,none,0.0
201,none,0.0
202,none,0.0
203,none,0.0
204,none,0.0
205,none,0.0
206,none,0.0
207,none,0.0
208,none,0.0
209,none,0.0
210,none,0.0
211,none,0.0
212,none,0.0
213,none,0.0
214,none,0.0
215,none,0.0
216,none,0.0
217,none,0.0
218,none,0.0
219,kite,0.54
220,kite,0.55
221,kite,0.57
222,kite,0.58
223,kite,0.52
224,kite,0.52
225,airplane,0.61
226,airplane,0.6
227,airplane,0.56
228,airplane,0.54
229,airplane,0.69
230,kite,0.54
231,kite,0.53
232,kite,0.59
233,airplane,0.67
234,kite,0.61
235,airplane,0.65
236,airplane,0.59
237,kite,0.59
238,none,0.0
239,none,0.0
240,none,0.0
241,kite,0.51
242,kite,0.57
243,none,0.0
244,airplane,0.57
245,airplane,0.51
246,none,0.0
247,airplane,0.51
248,none,0.0
249,airplane,0.58
250,none,0.0
251,airplane,0.57
252,kite,0.55
253,airplane,0.56
254,none,0.0
255,kite,0.55
256,none,0.0
257,none,0.0
258,kite,0.54
259,kite,0.6
260,kite,0.73
261,airplane,0.51
262,kite,0.58
263,none,0.0
264,airplane,0.57
265,airplane,0.52
266,airplane,0.55
267,airplane,0.59
268,none,0.0
269,airplane,0.56
270,airplane,0.52
