,category,score
0,none,0.0
1,none,0.0
2,none,0.0
3,none,0.0
4,none,0.0
5,none,0.0
6,none,0.0
7,none,0.0
8,none,0.0
9,none,0.0
10,none,0.0
11,none,0.0
12,none,0.0
13,kite,0.54
14,kite,0.51
15,kite,0.52
16,kite,0.55
17,traffic light,0.5
18,none,0.0
19,none,0.0
20,none,0.0
21,none,0.0
22,none,0.0
23,none,0.0
24,airplane,0.54
25,airplane,0.51
26,airplane,0.58
27,airplane,0.55
28,car,0.64
29,car,0.62
30,car,0.59
31,car,0.62
32,car,0.6
33,car,0.64
34,none,0.0
35,traffic light,0.54
36,airplane,0.53
37,airplane,0.63
38,car,0.59
39,airplane,0.64
40,airplane,0.61
41,car,0.7
42,car,0.76
43,none,0.0
44,car,0.73
45,car,0.63
46,car,0.74
47,car,0.72
48,airplane,0.67
49,car,0.62
50,traffic light,0.51
51,car,0.59
52,car,0.77
53,car,0.72
54,car,0.72
55,car,0.75
56,car,0.83
57,car,0.82
58,car,0.62
59,car,0.73
60,car,0.74
61,car,0.74
62,car,0.63
63,car,0.63
64,car,0.74
65,car,0.68
66,car,0.52
67,car,0.66
68,car,0.73
69,car,0.72
70,traffic light,0.51
71,airplane,0.53
72,car,0.54
73,traffic light,0.55
74,none,0.0
75,car,0.7
76,car,0.63
77,airplane,0.51
78,airplane,0.54
79,car,0.61
80,airplane,0.6
81,airplane,0.73
82,airplane,0.72
83,airplane,0.67
84,airplane,0.63
85,airplane,0.63
86,traffic light,0.6
87,car,0.63
88,traffic light,0.59
89,airplane,0.51
90,car,0.62
91,car,0.56
92,airplane,0.59
93,airplane,0.57
94,airplane,0.58
95,traffic light,0.54
96,none,0.0
97,none,0.0
98,traffic light,0.58
99,none,0.0
100,traffic light,0.54
101,traffic light,0.59
102,none,0.0
103,none,0.0
104,none,0.0
105,none,0.0
106,kite,0.56
107,kite,0.53
108,none,0.0
109,none,0.0
110,none,0.0
111,none,0.0
112,none,0.0
113,none,0.0
114,none,0.0
115,none,0.0
116,kite,0.51
117,none,0.0
118,kite,0.53
119,none,0.0
120,none,0.0
121,none,0.0
122,traffic light,0.58
123,traffic light,0.53
124,none,0.0
125,traffic light,0.64
126,none,0.0
127,none,0.0
128,none,0.0
129,airplane,0.54
130,airplane,0.58
131,none,0.0
132,airplane,0.54
133,car,0.56
134,car,0.57
135,airplane,0.53
136,car,0.56
137,traffic light,0.54
138,traffic light,0.66
139,airplane,0.54
140,airplane,0.71
141,airplane,0.62
142,airplane,0.7
143,airplane,0.63
144,airplane,0.65
145,car,0.69
146,car,0.56
147,traffic light,0.56
148,traffic light,0.55
149,car,0.65
150,car,0.57
151,car,0.5
152,airplane,0.54
153,car,0.7
154,car,0.53
155,car,0.67
156,traffic light,0.5
157,car,0.72
158,car,0.51
159,car,0.51
160,traffic light,0.53
161,car,0.79
162,car,0.58
163,car,0.56
164,car,0.72
165,car,0.73
166,car,0.65
167,car,0.82
168,car,0.83
169,airplane,0.5
170,car,0.7
171,car,0.74
172,car,0.54
173,none,0.0
174,car,0.55
175,car,0.67
176,airplane,0.6
177,airplane,0.63
178,car,0.68
179,car,0.69
180,car,0.66
181,car,0.73
182,car,0.65
183,airplane,0.58
184,airplane,0.57
185,car,0.62
186,car,0.62
187,car,0.55
188,car,0.62
189,car,0.54
190,car,0.6
191,car,0.64
192,car,0.62
193,car,0.6
194,airplane,0.52
195,airplane,0.56
196,airplane,0.52
197,airplane,0.54
198,none,0.0
199,none,0.0
200,none,0.0
201,none,0.0
202,kite,0.51
203,traffic light,0.53
204,none,0.0
205,kite,0.51
206,none,0.0
207,none,0.0
208,none,0.0
209,none,0.0
210,none,0.0
211,none,0.0
212,none,0.0
213,none,0.0
214,none,0.0
215,none,0.0
216,none,0.0
217,none,0.0
218,none,0.0
219,none,0.0
220,none,0.0
221,none,0.0
222,none,0.0
223,none,0.0
224,none,0.0
225,none,0.0
226,kite,0.53
227,none,0.0
228,none,0.0
229,none,0.0
230,none,0.0
231,none,0.0
232,none,0.0
233,none,0.0
234,none,0.0
235,airplane,0.54
236,airplane,0.51
237,airplane,0.56
238,car,0.6
239,airplane,0.56
240,car,0.65
241,car,0.63
242,car,0.69
243,car,0.52
244,none,0.0
245,car,0.53
246,car,0.73
247,car,0.63
248,airplane,0.52
249,airplane,0.6
250,airplane,0.6
251,car,0.63
252,airplane,0.6
253,car,0.69
254,car,0.71
255,car,0.78
256,car,0.57
257,car,0.65
258,car,0.75
259,car,0.72
260,airplane,0.6
261,airplane,0.64
262,airplane,0.62
263,none,0.0
264,car,0.6
265,none,0.0
266,car,0.57
267,car,0.79
268,car,0.81
269,none,0.0
270,car,0.7
271,car,0.75
272,car,0.74
273,car,0.78
274,car,0.74
275,car,0.79
276,none,0.0
277,car,0.62
