,category,score
0,none,0.0
1,none,0.0
2,none,0.0
3,none,0.0
4,none,0.0
5,none,0.0
6,none,0.0
7,none,0.0
8,none,0.0
9,none,0.0
10,none,0.0
11,none,0.0
12,none,0.0
13,none,0.0
14,none,0.0
15,none,0.0
16,none,0.0
17,none,0.0
18,none,0.0
19,none,0.0
20,airplane,0.52
21,airplane,0.62
22,none,0.0
23,none,0.0
24,none,0.0
25,none,0.0
26,airplane,0.58
27,airplane,0.64
28,airplane,0.66
29,airplane,0.63
30,airplane,0.66
31,airplane,0.65
32,airplane,0.61
33,airplane,0.67
34,airplane,0.66
35,airplane,0.54
36,airplane,0.61
37,airplane,0.66
38,airplane,0.54
39,airplane,0.52
40,airplane,0.55
41,airplane,0.61
42,none,0.0
43,airplane,0.51
44,airplane,0.6
45,airplane,0.57
46,none,0.0
47,bench,0.54
48,none,0.0
49,none,0.0
50,none,0.0
51,none,0.0
52,bench,0.5
53,none,0.0
54,none,0.0
55,none,0.0
56,none,0.0
57,bench,0.51
58,none,0.0
59,none,0.0
60,none,0.0
61,none,0.0
62,none,0.0
63,none,0.0
64,none,0.0
65,none,0.0
66,none,0.0
67,none,0.0
68,none,0.0
69,none,0.0
70,none,0.0
71,none,0.0
72,bench,0.5
73,none,0.0
74,none,0.0
75,none,0.0
76,none,0.0
77,none,0.0
78,none,0.0
79,bench,0.5
80,none,0.0
81,none,0.0
82,none,0.0
83,none,0.0
84,none,0.0
85,airplane,0.52
86,airplane,0.51
87,none,0.0
88,none,0.0
89,none,0.0
90,none,0.0
91,airplane,0.52
92,airplane,0.57
93,none,0.0
94,none,0.0
95,none,0.0
96,none,0.0
97,none,0.0
98,none,0.0
99,none,0.0
100,none,0.0
101,none,0.0
102,none,0.0
103,none,0.0
104,none,0.0
105,none,0.0
106,none,0.0
107,none,0.0
108,none,0.0
109,none,0.0
110,none,0.0
111,none,0.0
112,none,0.0
113,none,0.0
114,none,0.0
115,none,0.0
116,none,0.0
117,none,0.0
118,none,0.0
119,none,0.0
120,none,0.0
121,none,0.0
122,none,0.0
123,none,0.0
124,none,0.0
125,none,0.0
126,none,0.0
127,none,0.0
128,none,0.0
129,none,0.0
130,none,0.0
131,none,0.0
132,none,0.0
133,none,0.0
134,none,0.0
135,none,0.0
136,none,0.0
137,none,0.0
138,none,0.0
139,none,0.0
140,none,0.0
141,none,0.0
142,none,0.0
143,none,0.0
144,airplane,0.5
145,airplane,0.58
146,airplane,0.52
147,none,0.0
148,airplane,0.52
149,airplane,0.55
150,none,0.0
151,none,0.0
152,none,0.0
153,none,0.0
154,none,0.0
155,none,0.0
156,none,0.0
157,none,0.0
158,none,0.0
159,none,0.0
160,airplane,0.55
161,none,0.0
162,airplane,0.55
163,none,0.0
164,none,0.0
165,bench,0.51
166,none,0.0
167,bench,0.51
168,none,0.0
169,none,0.0
170,none,0.0
171,none,0.0
172,none,0.0
173,none,0.0
174,none,0.0
175,none,0.0
176,none,0.0
177,none,0.0
178,none,0.0
179,bench,0.51
180,none,0.0
181,none,0.0
182,none,0.0
183,none,0.0
184,none,0.0
185,none,0.0
186,none,0.0
187,none,0.0
188,none,0.0
189,bench,0.5
190,none,0.0
191,airplane,0.56
192,airplane,0.57
193,airplane,0.51
194,none,0.0
195,airplane,0.54
196,airplane,0.51
197,airplane,0.51
198,airplane,0.58
199,airplane,0.62
200,airplane,0.55
201,airplane,0.66
202,airplane,0.62
203,airplane,0.66
204,airplane,0.64
205,airplane,0.65
206,airplane,0.65
207,airplane,0.6
208,none,0.0
209,none,0.0
210,none,0.0
211,none,0.0
212,airplane,0.62
213,airplane,0.53
214,none,0.0
215,none,0.0
216,none,0.0
217,none,0.0
218,none,0.0
219,none,0.0
220,none,0.0
221,none,0.0
222,none,0.0
223,none,0.0
224,none,0.0
225,none,0.0
226,none,0.0
227,none,0.0
228,none,0.0
229,none,0.0
230,none,0.0
231,none,0.0
232,none,0.0
233,none,0.0
234,none,0.0
235,none,0.0
236,none,0.0
237,none,0.0
238,none,0.0
239,none,0.0
240,none,0.0
241,none,0.0
242,none,0.0
243,none,0.0
244,none,0.0
245,none,0.0
246,none,0.0
247,none,0.0
248,none,0.0
249,none,0.0
250,none,0.0
251,none,0.0
252,none,0.0
253,none,0.0
254,none,0.0
255,none,0.0
256,none,0.0
257,none,0.0
258,airplane,0.54
259,airplane,0.62
260,airplane,0.66
261,none,0.0
262,none,0.0
263,none,0.0
264,none,0.0
265,none,0.0
266,airplane,0.53
267,airplane,0.58
268,airplane,0.64
269,airplane,0.67
270,airplane,0.63
271,airplane,0.64
272,airplane,0.6
273,airplane,0.65
274,airplane,0.69
275,airplane,0.62
276,airplane,0.56
277,airplane,0.64
278,airplane,0.61
279,none,0.0
280,bench,0.53
281,airplane,0.59
282,none,0.0
