,category,score
0,none,0.0
1,none,0.0
2,none,0.0
3,none,0.0
4,none,0.0
5,none,0.0
6,none,0.0
7,none,0.0
8,none,0.0
9,none,0.0
10,none,0.0
11,none,0.0
12,none,0.0
13,none,0.0
14,none,0.0
15,none,0.0
16,none,0.0
17,none,0.0
18,none,0.0
19,none,0.0
20,none,0.0
21,none,0.0
22,none,0.0
23,none,0.0
24,none,0.0
25,none,0.0
26,none,0.0
27,none,0.0
28,none,0.0
29,none,0.0
30,none,0.0
31,none,0.0
32,none,0.0
33,none,0.0
34,airplane,0.52
35,none,0.0
36,none,0.0
37,none,0.0
38,airplane,0.51
39,none,0.0
40,none,0.0
41,airplane,0.6
42,airplane,0.52
43,airplane,0.5
44,airplane,0.62
45,airplane,0.61
46,airplane,0.57
47,none,0.0
48,airplane,0.6
49,airplane,0.55
50,airplane,0.54
51,none,0.0
52,airplane,0.59
53,none,0.0
54,airplane,0.57
55,airplane,0.58
56,airplane,0.6
57,airplane,0.58
58,airplane,0.53
59,none,0.0
60,airplane,0.62
61,airplane,0.54
62,airplane,0.52
63,airplane,0.62
64,airplane,0.61
65,airplane,0.54
66,none,0.0
67,airplane,0.58
68,airplane,0.6
69,airplane,0.57
70,none,0.0
71,airplane,0.55
72,airplane,0.66
73,airplane,0.56
74,airplane,0.51
75,airplane,0.6
76,airplane,0.56
77,airplane,0.53
78,airplane,0.58
79,airplane,0.52
80,airplane,0.51
81,none,0.0
82,airplane,0.54
83,none,0.0
84,none,0.0
85,airplane,0.53
86,none,0.0
87,none,0.0
88,none,0.0
89,none,0.0
90,none,0.0
91,airplane,0.53
92,airplane,0.56
93,airplane,0.66
94,airplane,0.56
95,airplane,0.55
96,none,0.0
97,none,0.0
98,none,0.0
99,none,0.0
100,none,0.0
101,none,0.0
102,none,0.0
103,none,0.0
104,none,0.0
105,none,0.0
106,none,0.0
107,none,0.0
108,none,0.0
109,none,0.0
110,none,0.0
111,none,0.0
112,none,0.0
113,none,0.0
114,none,0.0
115,none,0.0
116,none,0.0
117,airplane,0.51
118,airplane,0.59
119,airplane,0.66
120,airplane,0.5
121,airplane,0.6
122,none,0.0
123,none,0.0
124,none,0.0
125,airplane,0.53
126,none,0.0
127,none,0.0
128,airplane,0.52
129,none,0.0
130,none,0.0
131,none,0.0
132,airplane,0.62
133,none,0.0
134,none,0.0
135,airplane,0.54
136,airplane,0.63
137,airplane,0.51
138,airplane,0.53
139,airplane,0.55
140,airplane,0.66
141,airplane,0.52
142,airplane,0.56
143,airplane,0.58
144,airplane,0.65
145,airplane,0.59
146,airplane,0.54
147,airplane,0.59
148,airplane,0.64
149,none,0.0
150,airplane,0.57
151,airplane,0.54
152,airplane,0.65
153,none,0.0
154,airplane,0.52
155,airplane,0.56
156,airplane,0.63
157,none,0.0
158,airplane,0.54
159,airplane,0.58
160,airplane,0.59
161,airplane,0.53
162,airplane,0.53
163,airplane,0.61
164,airplane,0.53
165,airplane,0.52
166,airplane,0.63
167,airplane,0.54
168,airplane,0.55
169,airplane,0.58
170,airplane,0.63
171,airplane,0.53
172,none,0.0
173,airplane,0.61
174,none,0.0
175,none,0.0
176,airplane,0.59
177,none,0.0
178,none,0.0
179,none,0.0
180,airplane,0.5
181,none,0.0
182,none,0.0
183,none,0.0
184,none,0.0
185,none,0.0
186,none,0.0
187,none,0.0
188,none,0.0
189,none,0.0
190,none,0.0
191,none,0.0
192,none,0.0
193,none,0.0
194,none,0.0
195,none,0.0
196,none,0.0
197,none,0.0
198,none,0.0
199,none,0.0
200,none,0.0
201,none,0.0
202,none,0.0
203,none,0.0
204,none,0.0
205,none,0.0
206,none,0.0
207,none,0.0
208,none,0.0
209,none,0.0
210,none,0.0
211,none,0.0
212,none,0.0
213,none,0.0
214,none,0.0
215,none,0.0
216,none,0.0
217,none,0.0
218,none,0.0
219,none,0.0
220,none,0.0
221,none,0.0
222,none,0.0
223,none,0.0
224,none,0.0
225,none,0.0
226,none,0.0
227,none,0.0
228,none,0.0
229,none,0.0
230,none,0.0
231,none,0.0
232,none,0.0
233,none,0.0
234,none,0.0
235,none,0.0
236,none,0.0
237,none,0.0
238,none,0.0
239,none,0.0
240,none,0.0
241,none,0.0
242,none,0.0
243,none,0.0
244,none,0.0
245,none,0.0
246,none,0.0
247,none,0.0
248,none,0.0
249,none,0.0
250,none,0.0
251,airplane,0.53
252,none,0.0
253,none,0.0
254,none,0.0
255,airplane,0.51
256,none,0.0
257,none,0.0
258,airplane,0.56
259,none,0.0
260,none,0.0
261,airplane,0.52
262,airplane,0.6
263,airplane,0.52
264,airplane,0.5
265,none,0.0
266,airplane,0.63
267,airplane,0.57
268,airplane,0.52
269,airplane,0.51
270,airplane,0.64
271,airplane,0.57
272,airplane,0.52
273,airplane,0.55
274,airplane,0.64
