,category,score
0,none,0.0
1,none,0.0
2,none,0.0
3,none,0.0
4,none,0.0
5,none,0.0
6,none,0.0
7,none,0.0
8,none,0.0
9,none,0.0
10,none,0.0
11,none,0.0
12,none,0.0
13,none,0.0
14,none,0.0
15,none,0.0
16,none,0.0
17,none,0.0
18,none,0.0
19,none,0.0
20,none,0.0
21,none,0.0
22,none,0.0
23,none,0.0
24,none,0.0
25,none,0.0
26,none,0.0
27,none,0.0
28,none,0.0
29,none,0.0
30,none,0.0
31,none,0.0
32,none,0.0
33,none,0.0
34,none,0.0
35,none,0.0
36,none,0.0
37,none,0.0
38,none,0.0
39,none,0.0
40,none,0.0
41,none,0.0
42,none,0.0
43,person,0.52
44,person,0.65
45,none,0.0
46,person,0.6
47,person,0.65
48,person,0.61
49,person,0.6
50,person,0.6
51,person,0.61
52,person,0.52
53,person,0.57
54,person,0.53
55,person,0.57
56,person,0.53
57,none,0.0
58,person,0.5
59,person,0.53
60,person,0.53
61,person,0.52
62,person,0.57
63,none,0.0
64,person,0.51
65,person,0.51
66,none,0.0
67,none,0.0
68,person,0.51
69,person,0.53
70,none,0.0
71,person,0.51
72,none,0.0
73,none,0.0
74,none,0.0
75,none,0.0
76,none,0.0
77,none,0.0
78,none,0.0
79,person,0.5
80,none,0.0
81,none,0.0
82,none,0.0
83,person,0.51
84,none,0.0
85,person,0.51
86,none,0.0
87,person,0.5
88,none,0.0
89,none,0.0
90,person,0.55
91,none,0.0
92,none,0.0
93,none,0.0
94,person,0.53
95,person,0.52
96,none,0.0
97,person,0.57
98,person,0.55
99,person,0.53
100,person,0.55
101,person,0.55
102,person,0.58
103,person,0.53
104,person,0.62
105,person,0.63
106,person,0.61
107,person,0.55
108,person,0.57
109,person,0.54
110,person,0.52
111,person,0.53
112,person,0.52
113,person,0.54
114,none,0.0
115,person,0.51
116,person,0.56
117,person,0.56
118,none,0.0
119,person,0.51
120,none,0.0
121,person,0.54
122,none,0.0
123,person,0.52
124,person,0.53
125,none,0.0
126,none,0.0
127,none,0.0
128,person,0.51
129,none,0.0
130,none,0.0
131,none,0.0
132,none,0.0
133,none,0.0
134,none,0.0
135,person,0.52
136,none,0.0
137,none,0.0
138,none,0.0
139,none,0.0
140,none,0.0
141,person,0.52
142,person,0.52
143,none,0.0
144,person,0.52
145,none,0.0
146,person,0.52
147,none,0.0
148,person,0.54
149,person,0.57
150,person,0.54
151,person,0.51
152,person,0.53
153,none,0.0
154,person,0.58
155,person,0.56
156,person,0.51
157,person,0.57
158,person,0.64
159,person,0.53
160,person,0.66
161,person,0.67
162,person,0.53
163,none,0.0
164,none,0.0
165,none,0.0
166,none,0.0
167,none,0.0
168,none,0.0
169,none,0.0
170,none,0.0
171,none,0.0
172,none,0.0
173,none,0.0
174,none,0.0
175,none,0.0
176,none,0.0
177,none,0.0
178,none,0.0
179,none,0.0
180,none,0.0
181,none,0.0
182,none,0.0
183,none,0.0
184,none,0.0
185,none,0.0
186,none,0.0
187,none,0.0
188,none,0.0
189,none,0.0
190,none,0.0
191,none,0.0
192,none,0.0
193,none,0.0
194,none,0.0
195,none,0.0
196,none,0.0
197,none,0.0
198,none,0.0
199,none,0.0
200,none,0.0
201,none,0.0
202,none,0.0
203,none,0.0
204,none,0.0
205,none,0.0
206,none,0.0
207,none,0.0
208,none,0.0
209,none,0.0
210,none,0.0
211,none,0.0
212,none,0.0
213,none,0.0
214,none,0.0
215,none,0.0
216,none,0.0
217,none,0.0
218,none,0.0
219,none,0.0
220,none,0.0
221,none,0.0
222,none,0.0
223,none,0.0
224,none,0.0
225,none,0.0
226,none,0.0
227,none,0.0
228,none,0.0
229,none,0.0
230,none,0.0
231,none,0.0
232,none,0.0
233,none,0.0
234,none,0.0
235,none,0.0
236,none,0.0
237,none,0.0
238,none,0.0
239,none,0.0
240,none,0.0
241,none,0.0
242,none,0.0
243,none,0.0
244,none,0.0
245,none,0.0
246,none,0.0
247,none,0.0
248,none,0.0
249,none,0.0
250,none,0.0
251,none,0.0
252,none,0.0
253,none,0.0
254,none,0.0
255,none,0.0
256,none,0.0
257,none,0.0
258,none,0.0
259,none,0.0
260,none,0.0
261,none,0.0
262,none,0.0
263,none,0.0
264,person,0.6
265,person,0.59
266,person,0.64
267,person,0.65
268,person,0.66
269,person,0.56
270,person,0.65
271,person,0.62
272,person,0.54
273,person,0.57
274,person,0.58
275,person,0.57
276,none,0.0
277,none,0.0
278,person,0.59
279,person,0.5
280,none,0.0
281,person,0.51
282,person,0.53
283,person,0.5
284,person,0.54
285,none,0.0
286,none,0.0
287,person,0.53
288,person,0.51
289,none,0.0
290,person,0.55
291,none,0.0
292,none,0.0
293,none,0.0
294,none,0.0
295,person,0.51
296,none,0.0
297,person,0.5
298,none,0.0
299,none,0.0
300,none,0.0
