,category,score
0,none,0.0
1,none,0.0
2,none,0.0
3,none,0.0
4,none,0.0
5,none,0.0
6,none,0.0
7,none,0.0
8,none,0.0
9,none,0.0
10,none,0.0
11,none,0.0
12,none,0.0
13,none,0.0
14,none,0.0
15,none,0.0
16,none,0.0
17,none,0.0
18,none,0.0
19,none,0.0
20,none,0.0
21,none,0.0
22,none,0.0
23,none,0.0
24,none,0.0
25,none,0.0
26,person,0.58
27,person,0.53
28,person,0.58
29,person,0.64
30,person,0.58
31,none,0.0
32,person,0.58
33,person,0.54
34,none,0.0
35,person,0.53
36,person,0.6
37,person,0.57
38,person,0.51
39,none,0.0
40,none,0.0
41,none,0.0
42,person,0.54
43,none,0.0
44,none,0.0
45,none,0.0
46,person,0.5
47,person,0.51
48,person,0.52
49,none,0.0
50,none,0.0
51,none,0.0
52,person,0.51
53,none,0.0
54,none,0.0
55,person,0.5
56,none,0.0
57,none,0.0
58,none,0.0
59,person,0.5
60,none,0.0
61,none,0.0
62,none,0.0
63,none,0.0
64,none,0.0
65,person,0.52
66,person,0.5
67,none,0.0
68,person,0.52
69,none,0.0
70,none,0.0
71,none,0.0
72,person,0.52
73,person,0.51
74,none,0.0
75,none,0.0
76,none,0.0
77,none,0.0
78,none,0.0
79,person,0.55
80,person,0.53
81,none,0.0
82,person,0.54
83,none,0.0
84,person,0.52
85,person,0.57
86,person,0.63
87,person,0.64
88,person,0.59
89,person,0.67
90,person,0.57
91,person,0.53
92,person,0.5
93,none,0.0
94,none,0.0
95,none,0.0
96,none,0.0
97,none,0.0
98,none,0.0
99,none,0.0
100,none,0.0
101,none,0.0
102,none,0.0
103,none,0.0
104,none,0.0
105,none,0.0
106,none,0.0
107,none,0.0
108,none,0.0
109,none,0.0
110,none,0.0
111,none,0.0
112,none,0.0
113,none,0.0
114,none,0.0
115,none,0.0
116,none,0.0
117,none,0.0
118,none,0.0
119,none,0.0
120,none,0.0
121,none,0.0
122,none,0.0
123,none,0.0
124,none,0.0
125,none,0.0
126,none,0.0
127,none,0.0
128,person,0.52
129,person,0.58
130,none,0.0
131,person,0.63
132,person,0.67
133,person,0.62
134,person,0.57
135,person,0.65
136,person,0.62
137,person,0.58
138,person,0.58
139,person,0.54
140,person,0.55
141,none,0.0
142,person,0.55
143,person,0.5
144,none,0.0
145,none,0.0
146,none,0.0
147,person,0.52
148,person,0.55
149,none,0.0
150,none,0.0
151,none,0.0
152,none,0.0
153,none,0.0
154,person,0.51
155,none,0.0
156,none,0.0
157,none,0.0
158,person,0.54
159,person,0.51
160,none,0.0
161,none,0.0
162,person,0.51
163,none,0.0
164,none,0.0
165,none,0.0
166,none,0.0
167,none,0.0
168,none,0.0
169,none,0.0
170,person,0.5
171,none,0.0
172,none,0.0
173,person,0.51
174,person,0.5
175,none,0.0
176,none,0.0
177,none,0.0
178,person,0.51
179,person,0.51
180,person,0.53
181,none,0.0
182,person,0.51
183,none,0.0
184,person,0.52
185,person,0.5
186,none,0.0
187,person,0.52
188,person,0.5
189,person,0.56
190,person,0.52
191,person,0.54
192,person,0.63
193,person,0.63
194,person,0.6
195,none,0.0
196,none,0.0
197,none,0.0
198,none,0.0
199,none,0.0
200,none,0.0
201,none,0.0
202,none,0.0
203,none,0.0
204,none,0.0
205,none,0.0
206,none,0.0
207,none,0.0
208,none,0.0
209,none,0.0
210,none,0.0
211,none,0.0
212,none,0.0
213,none,0.0
214,none,0.0
215,none,0.0
216,none,0.0
217,none,0.0
218,none,0.0
219,none,0.0
220,none,0.0
221,none,0.0
222,none,0.0
223,none,0.0
224,none,0.0
225,none,0.0
226,none,0.0
227,none,0.0
228,none,0.0
229,none,0.0
230,none,0.0
231,none,0.0
232,none,0.0
233,none,0.0
234,none,0.0
235,none,0.0
236,none,0.0
237,none,0.0
238,none,0.0
239,none,0.0
240,none,0.0
241,none,0.0
242,none,0.0
243,none,0.0
244,person,0.56
245,person,0.57
246,person,0.63
247,person,0.64
248,person,0.57
249,person,0.61
250,person,0.53
251,person,0.6
252,person,0.55
253,person,0.56
254,person,0.5
255,person,0.55
256,person,0.58
257,none,0.0
258,none,0.0
259,person,0.53
260,person,0.54
261,person,0.53
262,none,0.0
263,none,0.0
264,person,0.54
265,person,0.51
266,none,0.0
267,none,0.0
268,person,0.53
269,none,0.0
270,person,0.52
271,none,0.0
272,none,0.0
273,none,0.0
274,none,0.0
275,none,0.0
276,none,0.0
277,none,0.0
278,none,0.0
279,none,0.0
280,none,0.0
281,none,0.0
282,none,0.0
283,none,0.0
284,none,0.0
285,none,0.0
286,none,0.0
287,none,0.0
288,none,0.0
289,none,0.0
290,none,0.0
291,none,0.0
292,none,0.0
293,none,0.0
294,none,0.0
295,none,0.0
296,person,0.51
297,none,0.0
298,person,0.52
299,none,0.0
300,person,0.52
