,category,score
0,none,0.0
1,none,0.0
2,none,0.0
3,none,0.0
4,none,0.0
5,none,0.0
6,none,0.0
7,none,0.0
8,none,0.0
9,none,0.0
10,none,0.0
11,none,0.0
12,none,0.0
13,none,0.0
14,none,0.0
15,none,0.0
16,none,0.0
17,none,0.0
18,none,0.0
19,none,0.0
20,none,0.0
21,none,0.0
22,none,0.0
23,none,0.0
24,none,0.0
25,none,0.0
26,person,0.5
27,person,0.63
28,person,0.62
29,person,0.63
30,person,0.68
31,person,0.78
32,person,0.78
33,person,0.71
34,person,0.77
35,person,0.78
36,person,0.72
37,person,0.71
38,person,0.72
39,person,0.71
40,person,0.57
41,person,0.7
42,person,0.66
43,person,0.64
44,person,0.52
45,person,0.66
46,person,0.65
47,person,0.56
48,person,0.51
49,person,0.65
50,person,0.64
51,person,0.51
52,person,0.64
53,person,0.66
54,person,0.55
55,person,0.51
56,person,0.66
57,person,0.59
58,person,0.56
59,none,0.0
60,person,0.53
61,person,0.61
62,person,0.57
63,person,0.52
64,person,0.59
65,person,0.62
66,person,0.53
67,person,0.53
68,none,0.0
69,person,0.59
70,person,0.58
71,person,0.52
72,person,0.7
73,person,0.63
74,person,0.63
75,person,0.53
76,person,0.66
77,person,0.59
78,person,0.62
79,person,0.62
80,person,0.67
81,person,0.67
82,person,0.65
83,person,0.73
84,person,0.65
85,person,0.61
86,person,0.51
87,person,0.75
88,person,0.7
89,person,0.71
90,person,0.78
91,person,0.76
92,person,0.72
93,person,0.76
94,person,0.72
95,person,0.67
96,person,0.61
97,none,0.0
98,none,0.0
99,none,0.0
100,none,0.0
101,none,0.0
102,none,0.0
103,none,0.0
104,none,0.0
105,none,0.0
106,none,0.0
107,none,0.0
108,none,0.0
109,none,0.0
110,none,0.0
111,none,0.0
112,none,0.0
113,none,0.0
114,none,0.0
115,none,0.0
116,none,0.0
117,none,0.0
118,none,0.0
119,none,0.0
120,none,0.0
121,none,0.0
122,none,0.0
123,none,0.0
124,none,0.0
125,none,0.0
126,none,0.0
127,none,0.0
128,none,0.0
129,none,0.0
130,none,0.0
131,none,0.0
132,none,0.0
133,none,0.0
134,none,0.0
135,none,0.0
136,none,0.0
137,none,0.0
138,none,0.0
139,person,0.61
140,person,0.52
141,person,0.76
142,person,0.8
143,person,0.71
144,person,0.7
145,person,0.73
146,person,0.75
147,person,0.71
148,person,0.69
149,person,0.76
150,person,0.52
151,person,0.69
152,person,0.68
153,person,0.73
154,person,0.6
155,person,0.62
156,person,0.6
157,person,0.68
158,person,0.53
159,person,0.53
160,person,0.65
161,person,0.63
162,person,0.54
163,person,0.61
164,person,0.63
165,person,0.62
166,person,0.56
167,person,0.59
168,person,0.6
169,none,0.0
170,person,0.54
171,person,0.57
172,person,0.59
173,none,0.0
174,none,0.0
175,person,0.55
176,person,0.57
177,person,0.53
178,none,0.0
179,person,0.56
180,person,0.56
181,none,0.0
182,none,0.0
183,person,0.61
184,person,0.61
185,person,0.56
186,person,0.53
187,person,0.66
188,person,0.57
189,person,0.59
190,person,0.66
191,person,0.61
192,person,0.6
193,person,0.64
194,person,0.71
195,person,0.65
196,person,0.71
197,person,0.72
198,person,0.71
199,person,0.71
200,person,0.76
201,person,0.68
202,person,0.77
203,person,0.75
204,person,0.71
205,person,0.62
206,person,0.6
207,person,0.54
208,none,0.0
209,none,0.0
210,none,0.0
211,none,0.0
212,none,0.0
213,none,0.0
214,none,0.0
215,none,0.0
216,none,0.0
217,none,0.0
218,none,0.0
219,none,0.0
220,none,0.0
221,none,0.0
222,none,0.0
223,none,0.0
224,none,0.0
225,none,0.0
226,none,0.0
227,none,0.0
228,none,0.0
229,none,0.0
230,none,0.0
231,none,0.0
232,none,0.0
233,none,0.0
234,none,0.0
235,none,0.0
236,none,0.0
237,none,0.0
238,none,0.0
239,none,0.0
240,none,0.0
241,none,0.0
242,none,0.0
243,none,0.0
244,none,0.0
245,person,0.58
246,person,0.59
247,person,0.63
248,person,0.71
249,person,0.74
250,person,0.72
251,person,0.73
252,person,0.73
253,person,0.76
254,person,0.74
255,person,0.65
256,person,0.74
257,person,0.68
258,person,0.68
259,person,0.51
260,person,0.7
261,person,0.65
262,person,0.53
263,person,0.56
264,person,0.63
265,person,0.65
266,none,0.0
267,person,0.54
268,person,0.59
269,person,0.66
270,none,0.0
271,person,0.57
272,person,0.55
273,person,0.59
274,none,0.0
275,none,0.0
276,person,0.55
277,person,0.58
278,person,0.51
279,none,0.0
280,person,0.54
281,person,0.54
282,person,0.51
283,person,0.61
284,person,0.6
285,person,0.57
286,none,0.0
287,person,0.61
288,person,0.56
289,person,0.56
290,person,0.61
291,person,0.63
292,person,0.58
293,person,0.56
294,person,0.68
295,person,0.68
296,person,0.58
297,person,0.71
298,person,0.69
299,person,0.64
300,person,0.72
