,category,score
0,none,0.0
1,none,0.0
2,none,0.0
3,none,0.0
4,none,0.0
5,none,0.0
6,none,0.0
7,none,0.0
8,none,0.0
9,none,0.0
10,none,0.0
11,none,0.0
12,none,0.0
13,none,0.0
14,none,0.0
15,none,0.0
16,none,0.0
17,none,0.0
18,none,0.0
19,none,0.0
20,airplane,0.55
21,airplane,0.53
22,none,0.0
23,none,0.0
24,none,0.0
25,none,0.0
26,none,0.0
27,none,0.0
28,none,0.0
29,none,0.0
30,none,0.0
31,none,0.0
32,none,0.0
33,none,0.0
34,none,0.0
35,none,0.0
36,none,0.0
37,none,0.0
38,none,0.0
39,none,0.0
40,none,0.0
41,none,0.0
42,none,0.0
43,traffic light,0.53
44,traffic light,0.52
45,none,0.0
46,traffic light,0.53
47,traffic light,0.56
48,traffic light,0.53
49,traffic light,0.53
50,traffic light,0.57
51,none,0.0
52,none,0.0
53,none,0.0
54,none,0.0
55,none,0.0
56,none,0.0
57,traffic light,0.52
58,none,0.0
59,traffic light,0.51
60,none,0.0
61,traffic light,0.53
62,none,0.0
63,none,0.0
64,none,0.0
65,none,0.0
66,traffic light,0.5
67,none,0.0
68,traffic light,0.56
69,traffic light,0.55
70,none,0.0
71,traffic light,0.52
72,traffic light,0.51
73,none,0.0
74,none,0.0
75,traffic light,0.52
76,none,0.0
77,none,0.0
78,none,0.0
79,none,0.0
80,none,0.0
81,none,0.0
82,none,0.0
83,none,0.0
84,none,0.0
85,none,0.0
86,none,0.0
87,none,0.0
88,none,0.0
89,none,0.0
90,none,0.0
91,none,0.0
92,airplane,0.57
93,none,0.0
94,none,0.0
95,none,0.0
96,none,0.0
97,none,0.0
98,none,0.0
99,none,0.0
100,none,0.0
101,none,0.0
102,none,0.0
103,none,0.0
104,none,0.0
105,none,0.0
106,none,0.0
107,none,0.0
108,none,0.0
109,none,0.0
110,none,0.0
111,none,0.0
112,none,0.0
113,airplane,0.53
114,none,0.0
115,none,0.0
116,none,0.0
117,none,0.0
118,none,0.0
119,none,0.0
120,none,0.0
121,traffic light,0.55
122,none,0.0
123,none,0.0
124,none,0.0
125,none,0.0
126,traffic light,0.52
127,none,0.0
128,traffic light,0.58
129,none,0.0
130,none,0.0
131,none,0.0
132,none,0.0
133,none,0.0
134,traffic light,0.52
135,traffic light,0.51
136,traffic light,0.55
137,none,0.0
138,traffic light,0.55
139,none,0.0
140,none,0.0
141,traffic light,0.52
142,none,0.0
143,none,0.0
144,none,0.0
145,none,0.0
146,none,0.0
147,traffic light,0.52
148,traffic light,0.51
149,traffic light,0.52
150,none,0.0
151,traffic light,0.51
152,none,0.0
153,none,0.0
154,traffic light,0.53
155,none,0.0
156,none,0.0
157,none,0.0
158,traffic light,0.53
159,none,0.0
160,none,0.0
161,traffic light,0.56
162,none,0.0
163,none,0.0
164,traffic light,0.54
165,none,0.0
166,traffic light,0.51
167,traffic light,0.5
168,none,0.0
169,none,0.0
170,none,0.0
171,none,0.0
172,none,0.0
173,none,0.0
174,none,0.0
175,none,0.0
176,none,0.0
177,none,0.0
178,none,0.0
179,none,0.0
180,none,0.0
181,none,0.0
182,airplane,0.53
183,airplane,0.55
184,none,0.0
185,none,0.0
186,none,0.0
187,none,0.0
188,none,0.0
189,none,0.0
190,none,0.0
191,none,0.0
192,none,0.0
193,none,0.0
194,none,0.0
195,none,0.0
196,none,0.0
197,none,0.0
198,none,0.0
199,none,0.0
200,none,0.0
201,none,0.0
202,none,0.0
203,none,0.0
204,none,0.0
205,none,0.0
206,none,0.0
207,none,0.0
208,none,0.0
209,none,0.0
210,none,0.0
211,none,0.0
212,none,0.0
213,none,0.0
214,none,0.0
215,none,0.0
216,none,0.0
217,none,0.0
218,none,0.0
219,none,0.0
220,none,0.0
221,none,0.0
222,none,0.0
223,none,0.0
224,none,0.0
225,none,0.0
226,none,0.0
227,none,0.0
228,airplane,0.56
229,airplane,0.54
230,airplane,0.54
231,none,0.0
232,none,0.0
233,none,0.0
234,none,0.0
235,none,0.0
236,none,0.0
237,none,0.0
238,none,0.0
239,none,0.0
240,none,0.0
241,none,0.0
242,none,0.0
243,none,0.0
244,none,0.0
245,none,0.0
246,none,0.0
247,none,0.0
248,none,0.0
249,none,0.0
250,none,0.0
251,none,0.0
252,none,0.0
253,none,0.0
254,none,0.0
255,none,0.0
256,none,0.0
257,traffic light,0.53
258,none,0.0
259,traffic light,0.52
260,traffic light,0.55
261,traffic light,0.52
262,none,0.0
263,traffic light,0.54
264,none,0.0
265,traffic light,0.54
266,none,0.0
267,traffic light,0.52
268,none,0.0
269,none,0.0
270,none,0.0
271,none,0.0
272,none,0.0
273,traffic light,0.51
274,none,0.0
275,none,0.0
276,none,0.0
277,none,0.0
278,traffic light,0.54
279,none,0.0
280,none,0.0
281,none,0.0
