,category,score
0,none,0.0
1,none,0.0
2,none,0.0
3,none,0.0
4,none,0.0
5,none,0.0
6,none,0.0
7,none,0.0
8,none,0.0
9,none,0.0
10,none,0.0
11,none,0.0
12,none,0.0
13,none,0.0
14,none,0.0
15,none,0.0
16,none,0.0
17,none,0.0
18,none,0.0
19,none,0.0
20,none,0.0
21,none,0.0
22,none,0.0
23,none,0.0
24,none,0.0
25,none,0.0
26,none,0.0
27,none,0.0
28,airplane,0.53
29,none,0.0
30,none,0.0
31,none,0.0
32,none,0.0
33,none,0.0
34,none,0.0
35,none,0.0
36,none,0.0
37,none,0.0
38,none,0.0
39,none,0.0
40,none,0.0
41,none,0.0
42,traffic light,0.53
43,none,0.0
44,none,0.0
45,none,0.0
46,traffic light,0.5
47,traffic light,0.54
48,traffic light,0.58
49,traffic light,0.55
50,traffic light,0.53
51,traffic light,0.61
52,none,0.0
53,none,0.0
54,traffic light,0.6
55,traffic light,0.62
56,none,0.0
57,traffic light,0.54
58,traffic light,0.52
59,traffic light,0.57
60,none,0.0
61,none,0.0
62,none,0.0
63,none,0.0
64,traffic light,0.5
65,none,0.0
66,none,0.0
67,traffic light,0.58
68,traffic light,0.53
69,none,0.0
70,traffic light,0.54
71,traffic light,0.53
72,traffic light,0.58
73,none,0.0
74,traffic light,0.51
75,none,0.0
76,traffic light,0.6
77,traffic light,0.58
78,traffic light,0.52
79,traffic light,0.61
80,traffic light,0.51
81,traffic light,0.54
82,traffic light,0.51
83,traffic light,0.59
84,traffic light,0.56
85,traffic light,0.53
86,traffic light,0.52
87,traffic light,0.57
88,none,0.0
89,none,0.0
90,traffic light,0.55
91,none,0.0
92,none,0.0
93,traffic light,0.54
94,traffic light,0.62
95,none,0.0
96,none,0.0
97,traffic light,0.5
98,none,0.0
99,none,0.0
100,none,0.0
101,none,0.0
102,none,0.0
103,none,0.0
104,none,0.0
105,airplane,0.58
106,airplane,0.56
107,none,0.0
108,none,0.0
109,none,0.0
110,none,0.0
111,none,0.0
112,none,0.0
113,none,0.0
114,none,0.0
115,none,0.0
116,none,0.0
117,none,0.0
118,none,0.0
119,none,0.0
120,none,0.0
121,none,0.0
122,none,0.0
123,none,0.0
124,none,0.0
125,none,0.0
126,none,0.0
127,none,0.0
128,none,0.0
129,none,0.0
130,none,0.0
131,none,0.0
132,none,0.0
133,none,0.0
134,none,0.0
135,airplane,0.62
136,none,0.0
137,none,0.0
138,none,0.0
139,none,0.0
140,none,0.0
141,none,0.0
142,none,0.0
143,none,0.0
144,none,0.0
145,none,0.0
146,none,0.0
147,none,0.0
148,traffic light,0.5
149,traffic light,0.51
150,traffic light,0.58
151,none,0.0
152,none,0.0
153,traffic light,0.51
154,traffic light,0.57
155,traffic light,0.51
156,none,0.0
157,traffic light,0.54
158,traffic light,0.59
159,traffic light,0.51
160,none,0.0
161,traffic light,0.5
162,traffic light,0.61
163,traffic light,0.58
164,traffic light,0.55
165,traffic light,0.52
166,traffic light,0.57
167,traffic light,0.51
168,traffic light,0.55
169,traffic light,0.53
170,traffic light,0.53
171,traffic light,0.59
172,traffic light,0.61
173,none,0.0
174,none,0.0
175,traffic light,0.53
176,none,0.0
177,traffic light,0.53
178,traffic light,0.52
179,none,0.0
180,traffic light,0.61
181,traffic light,0.55
182,traffic light,0.52
183,none,0.0
184,traffic light,0.57
185,traffic light,0.61
186,traffic light,0.5
187,none,0.0
188,traffic light,0.59
189,traffic light,0.51
190,traffic light,0.53
191,none,0.0
192,traffic light,0.5
193,none,0.0
194,none,0.0
195,traffic light,0.56
196,traffic light,0.54
197,none,0.0
198,traffic light,0.55
199,traffic light,0.54
200,none,0.0
201,none,0.0
202,traffic light,0.53
203,none,0.0
204,none,0.0
205,traffic light,0.55
206,none,0.0
207,none,0.0
208,none,0.0
209,none,0.0
210,none,0.0
211,none,0.0
212,none,0.0
213,none,0.0
214,none,0.0
215,none,0.0
216,none,0.0
217,none,0.0
218,none,0.0
219,none,0.0
220,none,0.0
221,none,0.0
222,none,0.0
223,none,0.0
224,none,0.0
225,none,0.0
226,none,0.0
227,none,0.0
228,none,0.0
229,none,0.0
230,none,0.0
231,none,0.0
232,none,0.0
233,none,0.0
234,none,0.0
235,none,0.0
236,none,0.0
237,none,0.0
238,none,0.0
239,none,0.0
240,none,0.0
241,none,0.0
242,none,0.0
243,none,0.0
244,none,0.0
245,none,0.0
246,none,0.0
247,none,0.0
248,none,0.0
249,none,0.0
250,none,0.0
251,none,0.0
252,none,0.0
253,none,0.0
254,none,0.0
255,none,0.0
256,none,0.0
257,none,0.0
258,none,0.0
259,none,0.0
260,none,0.0
261,none,0.0
262,airplane,0.5
263,none,0.0
264,none,0.0
265,none,0.0
266,none,0.0
267,none,0.0
268,none,0.0
269,none,0.0
270,none,0.0
