,category,score
0,none,0.0
1,none,0.0
2,none,0.0
3,none,0.0
4,none,0.0
5,none,0.0
6,none,0.0
7,none,0.0
8,none,0.0
9,none,0.0
10,none,0.0
11,none,0.0
12,none,0.0
13,none,0.0
14,none,0.0
15,none,0.0
16,none,0.0
17,none,0.0
18,none,0.0
19,none,0.0
20,none,0.0
21,none,0.0
22,none,0.0
23,none,0.0
24,none,0.0
25,none,0.0
26,none,0.0
27,none,0.0
28,traffic light,0.51
29,none,0.0
30,traffic light,0.64
31,traffic light,0.61
32,none,0.0
33,traffic light,0.56
34,none,0.0
35,traffic light,0.5
36,none,0.0
37,none,0.0
38,none,0.0
39,none,0.0
40,none,0.0
41,none,0.0
42,none,0.0
43,none,0.0
44,none,0.0
45,none,0.0
46,none,0.0
47,none,0.0
48,none,0.0
49,traffic light,0.52
50,traffic light,0.58
51,none,0.0
52,none,0.0
53,none,0.0
54,none,0.0
55,none,0.0
56,none,0.0
57,traffic light,0.55
58,none,0.0
59,none,0.0
60,none,0.0
61,none,0.0
62,none,0.0
63,none,0.0
64,none,0.0
65,none,0.0
66,traffic light,0.51
67,none,0.0
68,none,0.0
69,traffic light,0.59
70,none,0.0
71,none,0.0
72,none,0.0
73,traffic light,0.51
74,none,0.0
75,none,0.0
76,traffic light,0.55
77,none,0.0
78,none,0.0
79,traffic light,0.54
80,traffic light,0.63
81,none,0.0
82,none,0.0
83,traffic light,0.53
84,none,0.0
85,none,0.0
86,traffic light,0.61
87,traffic light,0.62
88,traffic light,0.52
89,traffic light,0.67
90,traffic light,0.7
91,traffic light,0.67
92,traffic light,0.65
93,traffic light,0.59
94,traffic light,0.55
95,traffic light,0.54
96,none,0.0
97,none,0.0
98,none,0.0
99,none,0.0
100,none,0.0
101,none,0.0
102,none,0.0
103,none,0.0
104,none,0.0
105,none,0.0
106,none,0.0
107,none,0.0
108,none,0.0
109,none,0.0
110,none,0.0
111,none,0.0
112,none,0.0
113,none,0.0
114,none,0.0
115,none,0.0
116,none,0.0
117,none,0.0
118,none,0.0
119,none,0.0
120,none,0.0
121,none,0.0
122,none,0.0
123,none,0.0
124,none,0.0
125,none,0.0
126,none,0.0
127,none,0.0
128,none,0.0
129,none,0.0
130,none,0.0
131,traffic light,0.53
132,traffic light,0.55
133,traffic light,0.61
134,traffic light,0.65
135,traffic light,0.63
136,traffic light,0.63
137,traffic light,0.68
138,traffic light,0.63
139,none,0.0
140,traffic light,0.56
141,traffic light,0.56
142,traffic light,0.53
143,none,0.0
144,traffic light,0.59
145,traffic light,0.57
146,none,0.0
147,none,0.0
148,traffic light,0.56
149,traffic light,0.56
150,none,0.0
151,traffic light,0.53
152,traffic light,0.53
153,none,0.0
154,none,0.0
155,traffic light,0.53
156,traffic light,0.51
157,none,0.0
158,none,0.0
159,none,0.0
160,none,0.0
161,none,0.0
162,none,0.0
163,none,0.0
164,none,0.0
165,none,0.0
166,none,0.0
167,none,0.0
168,none,0.0
169,none,0.0
170,none,0.0
171,traffic light,0.5
172,none,0.0
173,none,0.0
174,none,0.0
175,none,0.0
176,none,0.0
177,none,0.0
178,none,0.0
179,traffic light,0.56
180,none,0.0
181,none,0.0
182,none,0.0
183,traffic light,0.51
184,none,0.0
185,none,0.0
186,none,0.0
187,none,0.0
188,none,0.0
189,none,0.0
190,none,0.0
191,none,0.0
192,traffic light,0.56
193,traffic light,0.54
194,none,0.0
195,traffic light,0.62
196,traffic light,0.62
197,none,0.0
198,traffic light,0.51
199,none,0.0
200,none,0.0
201,none,0.0
202,none,0.0
203,none,0.0
204,none,0.0
205,none,0.0
206,none,0.0
207,none,0.0
208,none,0.0
209,none,0.0
210,none,0.0
211,none,0.0
212,none,0.0
213,none,0.0
214,none,0.0
215,none,0.0
216,none,0.0
217,none,0.0
218,none,0.0
219,none,0.0
220,none,0.0
221,none,0.0
222,none,0.0
223,none,0.0
224,none,0.0
225,none,0.0
226,none,0.0
227,none,0.0
228,none,0.0
229,none,0.0
230,none,0.0
231,none,0.0
232,none,0.0
233,none,0.0
234,none,0.0
235,none,0.0
236,none,0.0
237,none,0.0
238,none,0.0
239,none,0.0
240,none,0.0
241,none,0.0
242,none,0.0
243,none,0.0
244,none,0.0
245,none,0.0
246,traffic light,0.55
247,none,0.0
248,traffic light,0.59
249,traffic light,0.63
250,traffic light,0.59
251,none,0.0
252,none,0.0
253,none,0.0
254,traffic light,0.55
255,none,0.0
256,none,0.0
257,none,0.0
258,none,0.0
259,none,0.0
260,none,0.0
261,none,0.0
262,none,0.0
263,none,0.0
264,none,0.0
265,none,0.0
266,none,0.0
267,none,0.0
268,none,0.0
269,none,0.0
270,none,0.0
271,none,0.0
272,none,0.0
273,none,0.0
274,none,0.0
275,none,0.0
276,none,0.0
277,none,0.0
278,none,0.0
