,category,score
0,none,0.0
1,none,0.0
2,none,0.0
3,none,0.0
4,none,0.0
5,none,0.0
6,none,0.0
7,none,0.0
8,none,0.0
9,truck,0.57
10,truck,0.57
11,car,0.7
12,truck,0.68
13,car,0.82
14,car,0.81
15,car,0.69
16,none,0.0
17,none,0.0
18,none,0.0
19,none,0.0
20,none,0.0
21,none,0.0
22,none,0.0
23,none,0.0
24,none,0.0
25,none,0.0
26,none,0.0
27,none,0.0
28,none,0.0
29,none,0.0
30,none,0.0
31,none,0.0
32,none,0.0
33,none,0.0
34,none,0.0
35,none,0.0
36,none,0.0
37,none,0.0
38,car,0.59
39,car,0.57
40,truck,0.75
41,none,0.0
42,truck,0.59
43,none,0.0
44,none,0.0
45,none,0.0
46,none,0.0
47,none,0.0
48,none,0.0
49,none,0.0
50,none,0.0
51,none,0.0
52,none,0.0
53,traffic light,0.67
54,none,0.0
55,truck,0.71
56,none,0.0
57,car,0.74
58,car,0.5
59,none,0.0
60,none,0.0
61,none,0.0
62,none,0.0
63,none,0.0
64,none,0.0
65,none,0.0
66,none,0.0
67,none,0.0
68,none,0.0
69,none,0.0
70,none,0.0
71,none,0.0
72,none,0.0
73,none,0.0
74,none,0.0
75,none,0.0
76,none,0.0
77,none,0.0
78,none,0.0
79,none,0.0
80,none,0.0
81,none,0.0
82,car,0.65
83,car,0.91
84,truck,0.73
85,car,0.64
86,truck,0.56
87,none,0.0
88,none,0.0
89,none,0.0
90,none,0.0
91,none,0.0
92,none,0.0
93,none,0.0
94,none,0.0
95,none,0.0
96,none,0.0
97,none,0.0
98,none,0.0
99,none,0.0
100,none,0.0
101,traffic light,0.52
102,none,0.0
103,none,0.0
104,truck,0.64
105,car,0.58
106,car,0.76
107,car,0.9
108,car,0.62
109,truck,0.56
110,car,0.51
111,none,0.0
112,none,0.0
113,none,0.0
114,car,0.69
115,none,0.0
116,none,0.0
117,none,0.0
118,none,0.0
119,none,0.0
120,none,0.0
121,none,0.0
122,none,0.0
123,none,0.0
124,none,0.0
125,none,0.0
126,none,0.0
127,none,0.0
128,none,0.0
129,none,0.0
130,none,0.0
131,none,0.0
132,car,0.55
133,car,0.85
134,truck,0.72
135,truck,0.64
136,none,0.0
137,none,0.0
138,none,0.0
139,none,0.0
140,none,0.0
141,none,0.0
142,none,0.0
143,traffic light,0.76
144,none,0.0
145,truck,0.6
146,truck,0.77
147,car,0.57
148,car,0.81
149,car,0.55
150,car,0.62
151,none,0.0
152,none,0.0
153,none,0.0
154,none,0.0
155,none,0.0
156,none,0.0
157,none,0.0
158,none,0.0
159,none,0.0
160,none,0.0
161,none,0.0
162,none,0.0
163,none,0.0
164,none,0.0
165,none,0.0
166,none,0.0
167,none,0.0
168,none,0.0
169,none,0.0
170,none,0.0
171,none,0.0
172,none,0.0
173,none,0.0
174,car,0.88
175,car,0.66
176,truck,0.63
177,none,0.0
178,none,0.0
179,none,0.0
