,category,score
0,none,0.0
1,none,0.0
2,none,0.0
3,none,0.0
4,tvmonitor,0.7
5,none,0.0
6,none,0.0
7,bus,0.78
8,none,0.0
9,none,0.0
10,bus,0.75
11,bus,0.57
12,bus,0.73
13,bus,0.83
14,bus,0.7
15,bus,0.8
16,bus,0.83
17,bus,0.91
18,bus,0.76
19,none,0.0
20,bus,0.6
21,none,0.0
22,none,0.0
23,none,0.0
24,none,0.0
25,none,0.0
26,none,0.0
27,none,0.0
28,none,0.0
29,car,0.53
30,car,0.6
31,car,0.64
32,none,0.0
33,car,0.51
34,none,0.0
35,none,0.0
36,car,0.52
37,car,0.64
38,car,0.57
39,car,0.62
40,car,0.53
41,none,0.0
42,none,0.0
43,none,0.0
44,none,0.0
45,none,0.0
46,car,0.66
47,none,0.0
48,car,0.52
49,car,0.71
50,car,0.64
51,car,0.54
52,car,0.59
53,none,0.0
54,none,0.0
55,none,0.0
56,none,0.0
57,car,0.61
58,none,0.0
59,none,0.0
60,none,0.0
61,car,0.52
62,none,0.0
63,none,0.0
64,none,0.0
65,none,0.0
66,none,0.0
67,none,0.0
68,none,0.0
69,none,0.0
70,none,0.0
71,bus,0.68
72,bus,0.94
73,bus,0.9
74,none,0.0
75,bus,0.86
76,bus,0.82
77,bus,0.7
78,bus,0.62
79,none,0.0
80,bus,0.67
81,none,0.0
82,none,0.0
83,tvmonitor,0.51
84,tvmonitor,0.64
85,none,0.0
86,none,0.0
87,none,0.0
88,none,0.0
89,tvmonitor,0.62
90,none,0.0
91,none,0.0
92,bus,0.71
93,none,0.0
94,none,0.0
95,none,0.0
96,bus,0.77
97,bus,0.81
98,bus,0.68
99,car,0.55
100,car,0.52
101,bus,0.87
102,bus,0.82
103,bus,0.91
104,bus,0.76
105,bus,0.52
106,none,0.0
107,none,0.0
108,none,0.0
109,none,0.0
110,none,0.0
111,none,0.0
112,none,0.0
113,none,0.0
114,none,0.0
115,car,0.54
116,car,0.66
117,car,0.58
118,none,0.0
119,none,0.0
120,none,0.0
121,car,0.54
122,none,0.0
123,car,0.58
124,car,0.58
125,car,0.6
126,none,0.0
127,none,0.0
128,car,0.62
129,none,0.0
130,none,0.0
131,car,0.58
132,none,0.0
133,car,0.51
134,none,0.0
135,car,0.64
136,none,0.0
137,none,0.0
138,none,0.0
139,none,0.0
140,none,0.0
141,none,0.0
142,bus,0.68
143,car,0.5
144,none,0.0
145,car,0.62
146,car,0.59
147,car,0.51
148,none,0.0
149,none,0.0
150,none,0.0
151,none,0.0
152,none,0.0
153,none,0.0
154,none,0.0
155,none,0.0
156,bus,0.56
157,none,0.0
158,bus,0.91
159,bus,0.7
160,car,0.54
161,bus,0.73
162,bus,0.81
163,bus,0.77
164,none,0.0
165,none,0.0
166,none,0.0
167,none,0.0
168,none,0.0
