,category,score
0,none,0.0
1,none,0.0
2,none,0.0
3,none,0.0
4,none,0.0
5,none,0.0
6,truck,0.73
7,bus,0.53
8,bus,0.56
9,none,0.0
10,none,0.0
11,none,0.0
12,none,0.0
13,none,0.0
14,bus,0.65
15,none,0.0
16,bus,0.9
17,bus,0.83
18,truck,0.64
19,bus,0.86
20,truck,0.65
21,bus,0.94
22,bus,0.87
23,bus,0.82
24,bus,0.55
25,bus,0.5
26,none,0.0
27,none,0.0
28,none,0.0
29,none,0.0
30,none,0.0
31,none,0.0
32,none,0.0
33,none,0.0
34,bus,0.56
35,bus,0.6
36,bus,0.87
37,bus,0.92
38,bus,0.95
39,bus,0.91
40,bus,0.97
41,bus,0.94
42,bus,0.88
43,bus,0.53
44,none,0.0
45,bus,0.82
46,bus,0.54
47,none,0.0
48,none,0.0
49,bus,0.87
50,bus,0.78
51,bus,0.81
52,bus,0.9
53,bus,0.92
54,bus,0.95
55,bus,0.9
56,bus,0.93
57,bus,0.97
58,bus,0.81
59,bus,0.84
60,bus,0.64
61,none,0.0
62,none,0.0
63,none,0.0
64,none,0.0
65,none,0.0
66,bus,0.61
67,none,0.0
68,bus,0.61
69,none,0.0
70,bus,0.69
71,bus,0.8
72,bus,0.86
73,bus,0.9
74,truck,0.58
75,bus,0.83
76,truck,0.66
77,bus,0.92
78,none,0.0
79,none,0.0
80,none,0.0
81,none,0.0
82,truck,0.6
83,none,0.0
84,bus,0.85
85,truck,0.72
86,none,0.0
87,none,0.0
88,none,0.0
89,none,0.0
90,none,0.0
91,none,0.0
92,none,0.0
93,none,0.0
94,none,0.0
95,none,0.0
96,truck,0.77
97,none,0.0
98,none,0.0
99,none,0.0
100,none,0.0
101,none,0.0
102,none,0.0
103,none,0.0
104,bus,0.55
105,bus,0.89
106,truck,0.77
107,bus,0.75
108,bus,0.91
109,bus,0.93
110,bus,0.79
111,bus,0.85
112,bus,0.65
113,bus,0.54
114,none,0.0
115,none,0.0
116,bus,0.6
117,none,0.0
118,none,0.0
119,none,0.0
120,none,0.0
121,none,0.0
122,bus,0.8
123,bus,0.86
124,bus,0.97
125,bus,0.83
126,bus,0.97
127,bus,0.94
128,bus,0.91
129,bus,0.62
130,bus,0.55
131,bus,0.86
132,bus,0.53
133,none,0.0
134,bus,0.53
135,bus,0.88
136,bus,0.63
137,none,0.0
138,bus,0.87
139,bus,0.91
140,bus,0.97
141,bus,0.93
142,bus,0.91
143,bus,0.98
144,bus,0.92
145,bus,0.81
146,bus,0.72
147,bus,0.66
148,bus,0.51
149,none,0.0
150,none,0.0
151,none,0.0
152,none,0.0
153,none,0.0
154,bus,0.53
155,none,0.0
156,none,0.0
157,bus,0.73
158,bus,0.74
159,bus,0.89
160,truck,0.55
161,bus,0.83
162,truck,0.61
163,bus,0.83
164,none,0.0
165,none,0.0
166,none,0.0
167,none,0.0
168,none,0.0
169,none,0.0
170,truck,0.61
171,truck,0.61
172,bus,0.51
173,none,0.0
