,category,score
0,none,0.0
1,none,0.0
2,none,0.0
3,none,0.0
4,none,0.0
5,none,0.0
6,none,0.0
7,none,0.0
8,none,0.0
9,none,0.0
10,car,0.52
11,car,0.84
12,car,0.94
13,car,0.83
14,car,0.82
15,car,0.8
16,car,0.92
17,car,0.87
18,car,0.97
19,car,0.92
20,car,0.96
21,car,0.96
22,car,0.82
23,car,0.83
24,car,0.91
25,car,0.93
26,car,0.91
27,car,0.97
28,car,0.97
29,car,0.98
30,car,0.98
31,car,0.97
32,car,0.96
33,car,0.98
34,car,0.95
35,car,0.99
36,car,0.99
37,car,0.93
38,car,0.97
39,car,0.98
40,car,0.99
41,car,0.99
42,car,0.99
43,car,0.99
44,car,0.99
45,car,0.97
46,car,0.99
47,car,0.99
48,car,0.99
49,car,0.96
50,car,0.98
51,car,0.97
52,car,0.95
53,car,0.99
54,car,0.98
55,car,0.91
56,car,0.98
57,car,0.94
58,car,0.96
59,car,0.98
60,car,0.97
61,car,0.98
62,car,0.96
63,car,0.97
64,car,0.9
65,car,0.91
66,car,0.93
67,car,0.94
68,car,0.66
69,car,0.97
70,car,0.96
71,car,0.9
72,car,0.97
73,car,0.93
74,car,0.85
75,car,0.7
76,car,0.92
77,car,0.91
78,none,0.0
79,none,0.0
80,none,0.0
81,none,0.0
82,none,0.0
83,none,0.0
84,none,0.0
85,none,0.0
86,none,0.0
87,none,0.0
88,none,0.0
89,none,0.0
90,none,0.0
91,none,0.0
92,none,0.0
93,none,0.0
94,none,0.0
95,none,0.0
96,none,0.0
97,none,0.0
98,none,0.0
99,car,0.52
100,car,0.94
101,car,0.93
102,car,0.86
103,car,0.75
104,car,0.91
105,car,0.92
106,car,0.97
107,car,0.95
108,car,0.97
109,car,0.98
110,car,0.94
111,car,0.95
112,car,0.71
113,car,0.93
114,car,0.93
115,car,0.91
116,car,0.95
117,car,0.94
118,car,0.95
119,car,0.98
120,car,0.99
121,car,0.97
122,car,0.84
123,car,0.84
124,car,0.99
125,car,0.98
126,car,0.98
127,car,0.97
128,car,0.99
129,car,0.99
130,car,0.99
131,car,0.99
132,car,0.98
133,car,0.98
134,car,0.95
135,car,0.98
136,car,0.95
137,car,1.0
138,car,0.99
139,car,0.94
140,car,0.91
141,car,0.87
142,car,0.97
143,car,0.94
144,car,0.97
145,car,0.97
146,car,0.99
147,car,0.96
148,car,0.94
149,car,0.94
150,car,0.96
151,car,0.91
152,car,0.68
153,car,0.93
154,car,0.85
155,car,0.96
156,car,0.98
157,car,0.96
158,car,0.89
159,car,0.86
160,car,0.95
161,car,0.97
162,car,0.78
163,none,0.0
164,none,0.0
165,none,0.0
166,none,0.0
167,none,0.0
