,category,score
0,none,0.0
1,none,0.0
2,none,0.0
3,none,0.0
4,car,0.93
5,car,0.92
6,car,0.99
7,car,0.99
8,car,1.0
9,car,1.0
10,car,0.99
11,car,0.99
12,car,0.98
13,car,1.0
14,car,1.0
15,car,1.0
16,car,1.0
17,car,1.0
18,car,1.0
19,car,1.0
20,car,1.0
21,car,1.0
22,car,1.0
23,car,1.0
24,car,1.0
25,car,1.0
26,car,1.0
27,car,1.0
28,car,1.0
29,car,1.0
30,car,1.0
31,car,1.0
32,car,1.0
33,car,0.99
34,car,0.99
35,car,1.0
36,car,0.99
37,car,0.99
38,car,0.98
39,car,0.98
40,car,0.98
41,car,0.91
42,car,0.94
43,car,0.88
44,car,0.98
45,car,0.99
46,car,0.97
47,car,0.98
48,car,1.0
49,car,1.0
50,car,1.0
51,car,0.99
52,car,0.99
53,car,1.0
54,car,1.0
55,car,1.0
56,car,1.0
57,car,1.0
58,car,1.0
59,car,1.0
60,car,1.0
61,car,1.0
62,car,1.0
63,car,1.0
64,car,1.0
65,car,1.0
66,car,1.0
67,car,1.0
68,car,1.0
69,car,1.0
70,car,1.0
71,car,1.0
72,car,1.0
73,car,0.99
74,car,0.98
75,car,0.99
76,car,1.0
77,car,1.0
78,car,1.0
79,car,0.98
80,car,0.93
81,car,0.95
82,none,0.0
83,none,0.0
84,none,0.0
85,none,0.0
86,none,0.0
87,none,0.0
88,none,0.0
89,none,0.0
90,none,0.0
91,car,0.73
92,car,0.89
93,car,0.97
94,car,0.88
95,car,0.99
96,car,0.99
97,car,1.0
98,car,1.0
99,car,1.0
100,car,0.99
101,car,0.98
102,car,0.98
103,car,1.0
104,car,1.0
105,car,1.0
106,car,1.0
107,car,1.0
108,car,1.0
109,car,1.0
110,car,1.0
111,car,1.0
112,car,1.0
113,car,1.0
114,car,1.0
115,car,1.0
116,car,1.0
117,car,1.0
118,car,1.0
119,car,1.0
120,car,1.0
121,car,1.0
122,car,1.0
123,car,0.99
124,car,1.0
125,car,1.0
126,car,0.99
127,car,0.98
128,car,0.99
129,car,0.97
130,car,0.91
131,car,0.97
132,car,0.86
133,car,0.98
134,car,0.99
135,car,0.98
136,car,0.98
137,car,0.99
138,car,1.0
139,car,1.0
140,car,0.99
141,car,0.99
142,car,1.0
143,car,1.0
144,car,1.0
145,car,1.0
146,car,1.0
147,car,1.0
148,car,1.0
149,car,1.0
150,car,1.0
151,car,1.0
152,car,1.0
153,car,1.0
154,car,1.0
155,car,1.0
156,car,1.0
157,car,1.0
158,car,1.0
159,car,1.0
160,car,1.0
161,car,0.98
162,car,0.99
163,car,1.0
164,car,1.0
165,car,1.0
166,car,0.99
167,car,0.9
168,car,0.96
169,car,0.9
