,category,score
0,none,0.0
1,none,0.0
2,none,0.0
3,none,0.0
4,car,0.69
5,car,0.85
6,car,0.87
7,car,0.96
8,car,0.97
9,car,0.98
10,car,0.94
11,car,0.88
12,car,0.83
13,car,0.86
14,car,0.75
15,car,0.89
16,car,0.86
17,car,0.96
18,car,0.94
19,car,0.97
20,car,0.96
21,car,0.91
22,car,0.96
23,car,0.96
24,car,0.93
25,car,0.96
26,car,0.97
27,car,0.93
28,car,0.96
29,car,0.96
30,car,0.94
31,car,0.96
32,car,0.95
33,car,0.96
34,car,0.98
35,car,0.97
36,car,0.99
37,car,0.92
38,car,0.86
39,car,0.95
40,car,0.81
41,car,0.92
42,car,0.83
43,car,0.53
44,none,0.0
45,none,0.0
46,none,0.0
47,none,0.0
48,none,0.0
49,none,0.0
50,none,0.0
51,none,0.0
52,none,0.0
53,none,0.0
54,none,0.0
55,truck,0.52
56,car,0.76
57,car,0.78
58,car,0.88
59,car,0.9
60,car,0.97
61,car,0.89
62,car,0.96
63,car,0.9
64,car,0.96
65,car,0.98
66,car,0.96
67,car,0.97
68,car,0.96
69,car,0.97
70,car,0.89
71,car,0.95
72,car,0.96
73,car,0.94
74,car,0.95
75,car,0.91
76,car,0.96
77,car,0.96
78,car,0.93
79,car,0.94
80,car,0.95
81,car,0.95
82,car,0.95
83,car,0.95
84,car,0.73
85,aeroplane,0.53
86,car,0.61
87,car,0.66
88,car,0.83
89,car,0.83
90,car,0.98
91,car,0.97
92,car,0.95
93,car,0.88
94,car,0.82
95,none,0.0
96,none,0.0
97,none,0.0
98,none,0.0
99,none,0.0
100,none,0.0
101,car,0.76
102,car,0.76
103,car,0.91
104,car,0.97
105,car,0.98
106,car,0.98
107,car,0.87
108,car,0.88
109,car,0.77
110,car,0.73
111,car,0.68
112,car,0.94
113,car,0.83
114,car,0.8
115,car,0.76
116,car,0.85
117,car,0.94
118,car,0.95
119,car,0.88
120,car,0.96
121,car,0.96
122,car,0.95
123,car,0.97
124,car,0.97
125,car,0.94
126,car,0.94
127,car,0.92
128,car,0.97
129,car,0.91
130,car,0.96
131,car,0.97
132,car,0.96
133,car,0.95
134,car,0.98
135,car,0.95
136,car,0.74
137,car,0.57
138,car,0.82
139,none,0.0
140,none,0.0
141,none,0.0
142,none,0.0
143,none,0.0
144,none,0.0
145,none,0.0
146,none,0.0
147,none,0.0
148,none,0.0
149,none,0.0
150,none,0.0
151,car,0.82
152,car,0.87
153,car,0.86
154,car,0.87
155,car,0.95
156,car,0.96
157,car,0.97
158,car,0.97
159,car,0.98
160,car,0.96
161,car,0.98
162,car,0.96
163,car,0.95
164,car,0.98
165,car,0.91
166,car,0.97
167,car,0.94
168,car,0.96
169,car,0.94
170,car,0.96
171,car,0.94
172,car,0.96
173,car,0.94
174,car,0.91
175,car,0.94
176,car,0.97
177,car,0.94
178,car,0.89
179,car,0.77
180,car,0.69
181,car,0.75
182,car,0.93
183,car,0.84
184,car,0.96
185,car,0.98
186,car,0.91
187,car,0.78
