,category,score
0,none,0.0
1,none,0.0
2,none,0.0
3,none,0.0
4,none,0.0
5,none,0.0
6,none,0.0
7,none,0.0
8,none,0.0
9,none,0.0
10,none,0.0
11,bench,0.81
12,bench,0.53
13,none,0.0
14,chair,0.93
15,chair,0.88
16,chair,0.92
17,chair,0.96
18,none,0.0
19,bench,0.7
20,chair,0.84
21,chair,0.84
22,chair,0.82
23,chair,0.73
24,chair,0.51
25,chair,0.71
26,none,0.0
27,chair,0.65
28,chair,0.72
29,bench,0.62
30,chair,0.74
31,chair,0.67
32,chair,0.92
33,bench,0.57
34,chair,0.68
35,chair,0.94
36,chair,0.93
37,chair,0.92
38,chair,0.95
39,chair,0.92
40,bench,0.58
41,none,0.0
42,none,0.0
43,none,0.0
44,none,0.0
45,none,0.0
46,none,0.0
47,none,0.0
48,none,0.0
49,none,0.0
50,none,0.0
51,none,0.0
52,none,0.0
53,none,0.0
54,none,0.0
55,none,0.0
56,none,0.0
57,bench,0.56
58,chair,0.94
59,chair,0.9
60,chair,0.97
61,chair,0.99
62,chair,0.84
63,chair,0.96
64,none,0.0
65,none,0.0
66,chair,0.63
67,none,0.0
68,chair,0.65
69,chair,0.82
70,bench,0.59
71,chair,0.64
72,chair,0.62
73,chair,0.58
74,chair,0.54
75,none,0.0
76,chair,0.65
77,chair,0.92
78,chair,0.86
79,bench,0.7
80,chair,0.88
81,chair,0.94
82,chair,0.9
83,chair,0.89
84,chair,0.89
85,none,0.0
86,none,0.0
87,chair,0.55
88,none,0.0
89,none,0.0
90,none,0.0
91,none,0.0
92,none,0.0
93,none,0.0
94,none,0.0
95,none,0.0
96,none,0.0
97,none,0.0
98,none,0.0
99,none,0.0
100,none,0.0
101,none,0.0
102,none,0.0
103,none,0.0
104,none,0.0
105,none,0.0
106,none,0.0
107,none,0.0
108,none,0.0
109,bench,0.7
110,none,0.0
111,chair,0.91
112,chair,0.93
113,chair,0.86
114,none,0.0
115,chair,0.72
116,none,0.0
117,none,0.0
118,none,0.0
119,chair,0.94
120,chair,0.84
121,chair,0.63
122,none,0.0
123,chair,0.9
124,chair,0.77
125,chair,0.73
126,bench,0.56
127,chair,0.51
128,none,0.0
129,chair,0.82
130,none,0.0
131,none,0.0
132,none,0.0
133,chair,0.79
134,chair,0.98
135,chair,0.96
136,chair,0.93
137,chair,0.71
138,bench,0.75
139,none,0.0
140,none,0.0
141,none,0.0
142,none,0.0
143,none,0.0
144,none,0.0
145,none,0.0
146,none,0.0
147,none,0.0
148,none,0.0
149,none,0.0
150,none,0.0
151,chair,0.95
152,chair,0.73
153,chair,0.97
154,chair,0.9
155,chair,0.98
156,chair,0.87
157,chair,0.96
158,bench,0.6
159,none,0.0
160,none,0.0
161,chair,0.7
162,none,0.0
163,chair,0.65
164,chair,0.78
165,chair,0.68
166,chair,0.55
167,bench,0.54
168,chair,0.7
169,none,0.0
170,chair,0.75
171,chair,0.89
172,chair,0.73
173,chair,0.65
174,none,0.0
175,bench,0.6
176,bench,0.55
177,chair,0.55
178,chair,0.87
179,chair,0.95
180,none,0.0
181,bench,0.75
182,none,0.0
183,none,0.0
184,none,0.0
185,none,0.0
186,none,0.0
187,none,0.0
