,category,score
0,none,0.0
1,none,0.0
2,none,0.0
3,none,0.0
4,none,0.0
5,none,0.0
6,none,0.0
7,none,0.0
8,none,0.0
9,none,0.0
10,none,0.0
11,chair,0.77
12,none,0.0
13,none,0.0
14,chair,0.66
15,chair,0.67
16,chair,0.82
17,chair,0.82
18,bench,0.81
19,chair,0.69
20,none,0.0
21,chair,0.84
22,chair,0.85
23,bench,0.59
24,chair,0.56
25,chair,0.66
26,none,0.0
27,chair,0.71
28,chair,0.85
29,bench,0.56
30,chair,0.51
31,chair,0.63
32,chair,0.72
33,none,0.0
34,none,0.0
35,chair,0.66
36,chair,0.88
37,chair,0.81
38,none,0.0
39,none,0.0
40,none,0.0
41,chair,0.61
42,chair,0.59
43,aeroplane,0.51
44,none,0.0
45,none,0.0
46,none,0.0
47,none,0.0
48,none,0.0
49,none,0.0
50,none,0.0
51,none,0.0
52,none,0.0
53,none,0.0
54,none,0.0
55,chair,0.6
56,none,0.0
57,none,0.0
58,chair,0.8
59,none,0.0
60,chair,0.87
61,none,0.0
62,none,0.0
63,chair,0.68
64,chair,0.8
65,chair,0.61
66,chair,0.63
67,chair,0.7
68,none,0.0
69,chair,0.68
70,none,0.0
71,chair,0.56
72,none,0.0
73,chair,0.81
74,chair,0.62
75,chair,0.74
76,chair,0.75
77,chair,0.73
78,none,0.0
79,chair,0.63
80,chair,0.62
81,chair,0.79
82,chair,0.76
83,none,0.0
84,bench,0.87
85,none,0.0
86,none,0.0
87,none,0.0
88,none,0.0
89,none,0.0
90,none,0.0
91,none,0.0
92,none,0.0
93,none,0.0
94,none,0.0
95,none,0.0
96,none,0.0
97,none,0.0
98,none,0.0
99,none,0.0
100,none,0.0
101,none,0.0
102,none,0.0
103,none,0.0
104,none,0.0
105,none,0.0
106,chair,0.72
107,none,0.0
108,none,0.0
109,chair,0.8
110,none,0.0
111,chair,0.86
112,chair,0.61
113,chair,0.79
114,chair,0.6
115,chair,0.7
116,chair,0.68
117,none,0.0
118,chair,0.61
119,chair,0.5
120,chair,0.72
121,chair,0.92
122,chair,0.6
123,chair,0.75
124,none,0.0
125,chair,0.68
126,chair,0.58
127,chair,0.62
128,chair,0.64
129,none,0.0
130,none,0.0
131,chair,0.88
132,chair,0.69
133,none,0.0
134,none,0.0
135,none,0.0
136,bench,0.65
137,none,0.0
138,skis,0.57
139,none,0.0
140,none,0.0
141,none,0.0
142,none,0.0
143,none,0.0
144,none,0.0
145,none,0.0
146,chair,0.51
147,chair,0.62
148,none,0.0
149,chair,0.77
150,none,0.0
151,chair,0.77
152,none,0.0
153,chair,0.88
154,chair,0.78
155,chair,0.79
156,chair,0.78
157,chair,0.61
158,chair,0.68
159,chair,0.68
160,chair,0.71
161,chair,0.53
162,chair,0.6
163,chair,0.75
164,none,0.0
165,chair,0.78
166,chair,0.58
167,chair,0.93
168,chair,0.66
169,none,0.0
170,none,0.0
171,chair,0.52
172,chair,0.63
173,chair,0.83
174,none,0.0
175,chair,0.62
176,none,0.0
177,none,0.0
178,none,0.0
179,none,0.0
180,none,0.0
181,none,0.0
182,none,0.0
