,category,score
0,none,0.0
1,none,0.0
2,none,0.0
3,none,0.0
4,none,0.0
5,none,0.0
6,none,0.0
7,none,0.0
8,none,0.0
9,none,0.0
10,none,0.0
11,none,0.0
12,none,0.0
13,none,0.0
14,none,0.0
15,chair,0.55
16,chair,0.55
17,chair,0.86
18,chair,0.78
19,chair,0.69
20,chair,0.74
21,chair,0.81
22,chair,0.5
23,none,0.0
24,chair,0.5
25,none,0.0
26,none,0.0
27,none,0.0
28,none,0.0
29,none,0.0
30,chair,0.64
31,chair,0.59
32,chair,0.8
33,chair,0.56
34,none,0.0
35,chair,0.62
36,chair,0.7
37,none,0.0
38,chair,0.62
39,chair,0.7
40,none,0.0
41,none,0.0
42,none,0.0
43,none,0.0
44,none,0.0
45,none,0.0
46,none,0.0
47,none,0.0
48,none,0.0
49,none,0.0
50,none,0.0
51,none,0.0
52,none,0.0
53,none,0.0
54,chair,0.56
55,bench,0.55
56,chair,0.79
57,chair,0.74
58,none,0.0
59,chair,0.83
60,chair,0.75
61,none,0.0
62,chair,0.58
63,chair,0.92
64,chair,0.9
65,chair,0.81
66,none,0.0
67,none,0.0
68,chair,0.64
69,none,0.0
70,none,0.0
71,none,0.0
72,none,0.0
73,none,0.0
74,none,0.0
75,chair,0.72
76,none,0.0
77,chair,0.94
78,chair,0.7
79,chair,0.82
80,chair,0.69
81,chair,0.62
82,none,0.0
83,none,0.0
84,none,0.0
85,none,0.0
86,none,0.0
87,none,0.0
88,none,0.0
89,none,0.0
90,none,0.0
91,none,0.0
92,none,0.0
93,none,0.0
94,none,0.0
95,none,0.0
96,none,0.0
97,none,0.0
98,none,0.0
99,none,0.0
100,none,0.0
101,none,0.0
102,none,0.0
103,none,0.0
104,none,0.0
105,none,0.0
106,chair,0.56
107,none,0.0
108,chair,0.94
109,none,0.0
110,chair,0.88
111,chair,0.84
112,chair,0.62
113,none,0.0
114,none,0.0
115,none,0.0
116,none,0.0
117,none,0.0
118,chair,0.52
119,none,0.0
120,none,0.0
121,none,0.0
122,chair,0.74
123,chair,0.57
124,chair,0.83
125,none,0.0
126,chair,0.91
127,chair,0.56
128,chair,0.81
129,none,0.0
130,chair,0.68
131,none,0.0
132,none,0.0
133,none,0.0
134,none,0.0
135,none,0.0
136,none,0.0
137,none,0.0
138,none,0.0
139,none,0.0
140,none,0.0
141,none,0.0
142,none,0.0
143,none,0.0
144,none,0.0
145,none,0.0
146,chair,0.68
147,none,0.0
148,none,0.0
149,chair,0.69
150,chair,0.66
151,chair,0.6
152,chair,0.52
153,chair,0.68
154,chair,0.87
155,chair,0.92
156,none,0.0
157,none,0.0
158,none,0.0
159,none,0.0
160,none,0.0
161,chair,0.61
162,none,0.0
163,none,0.0
164,none,0.0
165,chair,0.73
166,chair,0.79
167,chair,0.74
168,chair,0.76
169,chair,0.9
170,none,0.0
171,chair,0.6
172,none,0.0
173,none,0.0
174,none,0.0
175,none,0.0
176,none,0.0
177,none,0.0
