,category,score
0,none,0.0
1,none,0.0
2,none,0.0
3,none,0.0
4,none,0.0
5,none,0.0
6,none,0.0
7,none,0.0
8,none,0.0
9,none,0.0
10,none,0.0
11,none,0.0
12,none,0.0
13,none,0.0
14,bird,0.77
15,none,0.0
16,bird,0.58
17,bird,0.55
18,none,0.0
19,bird,0.82
20,bird,0.86
21,none,0.0
22,bird,0.85
23,bird,0.75
24,bird,0.92
25,bird,0.84
26,bird,0.81
27,bird,0.52
28,bird,0.64
29,bird,0.9
30,none,0.0
31,bird,0.64
32,none,0.0
33,bird,0.55
34,none,0.0
35,none,0.0
36,none,0.0
37,none,0.0
38,none,0.0
39,none,0.0
40,none,0.0
41,none,0.0
42,none,0.0
43,none,0.0
44,none,0.0
45,none,0.0
46,none,0.0
47,none,0.0
48,none,0.0
49,none,0.0
50,none,0.0
51,none,0.0
52,none,0.0
53,none,0.0
54,none,0.0
55,bird,0.74
56,bird,0.68
57,none,0.0
58,none,0.0
59,bird,0.82
60,bird,0.72
61,bird,0.78
62,bird,0.88
63,bird,0.69
64,bird,0.91
65,bird,0.63
66,bird,0.91
67,bird,0.87
68,bird,0.62
69,none,0.0
70,bird,0.84
71,bird,0.75
72,bird,0.68
73,none,0.0
74,bird,0.6
75,none,0.0
76,none,0.0
77,none,0.0
78,none,0.0
79,none,0.0
80,none,0.0
81,none,0.0
82,none,0.0
83,none,0.0
84,none,0.0
85,none,0.0
86,none,0.0
87,none,0.0
88,none,0.0
89,none,0.0
90,none,0.0
91,none,0.0
92,none,0.0
93,none,0.0
94,none,0.0
95,none,0.0
96,none,0.0
97,none,0.0
98,none,0.0
99,bird,0.58
100,bird,0.69
101,none,0.0
102,bird,0.7
103,bird,0.72
104,bird,0.62
105,none,0.0
106,bird,0.83
107,bird,0.55
108,bird,0.74
109,bird,0.87
110,bird,0.68
111,bird,0.73
112,none,0.0
113,bird,0.64
114,bird,0.59
115,bird,0.91
116,none,0.0
117,none,0.0
118,none,0.0
119,none,0.0
120,none,0.0
121,none,0.0
122,none,0.0
123,none,0.0
124,none,0.0
125,none,0.0
126,none,0.0
127,none,0.0
128,none,0.0
129,none,0.0
130,none,0.0
131,none,0.0
132,none,0.0
133,none,0.0
134,none,0.0
135,none,0.0
136,none,0.0
137,none,0.0
138,none,0.0
139,none,0.0
140,bird,0.67
141,none,0.0
142,none,0.0
143,bird,0.74
144,bird,0.83
145,none,0.0
146,bird,0.71
147,bird,0.81
148,bird,0.8
149,none,0.0
150,none,0.0
151,bird,0.76
152,bird,0.74
153,bird,0.81
154,bird,0.74
155,none,0.0
156,none,0.0
157,bird,0.73
158,none,0.0
159,none,0.0
160,bird,0.65
161,none,0.0
162,none,0.0
163,none,0.0
164,none,0.0
165,none,0.0
