,category,score
0,none,0.0
1,none,0.0
2,none,0.0
3,none,0.0
4,none,0.0
5,none,0.0
6,none,0.0
7,none,0.0
8,none,0.0
9,none,0.0
10,none,0.0
11,none,0.0
12,none,0.0
13,none,0.0
14,none,0.0
15,none,0.0
16,bird,0.69
17,none,0.0
18,none,0.0
19,none,0.0
20,bird,0.73
21,bird,0.77
22,bird,0.75
23,bird,0.78
24,none,0.0
25,bird,0.88
26,bird,0.55
27,bird,0.8
28,bird,0.87
29,bird,0.84
30,none,0.0
31,bird,0.75
32,bird,0.84
33,bird,0.82
34,bird,0.77
35,bird,0.7
36,none,0.0
37,bird,0.65
38,none,0.0
39,none,0.0
40,none,0.0
41,none,0.0
42,none,0.0
43,none,0.0
44,none,0.0
45,none,0.0
46,none,0.0
47,none,0.0
48,none,0.0
49,none,0.0
50,none,0.0
51,none,0.0
52,none,0.0
53,none,0.0
54,none,0.0
55,none,0.0
56,none,0.0
57,none,0.0
58,none,0.0
59,none,0.0
60,bird,0.63
61,bird,0.74
62,bird,0.68
63,bird,0.76
64,bird,0.73
65,bird,0.81
66,bird,0.88
67,bird,0.69
68,none,0.0
69,bird,0.85
70,bird,0.51
71,bird,0.82
72,bird,0.77
73,bird,0.77
74,bird,0.85
75,bird,0.88
76,bird,0.91
77,bird,0.8
78,none,0.0
79,none,0.0
80,bird,0.71
81,none,0.0
82,none,0.0
83,none,0.0
84,none,0.0
85,none,0.0
86,none,0.0
87,none,0.0
88,none,0.0
89,none,0.0
90,none,0.0
91,none,0.0
92,none,0.0
93,none,0.0
94,none,0.0
95,none,0.0
96,none,0.0
97,none,0.0
98,none,0.0
99,none,0.0
100,none,0.0
101,none,0.0
102,none,0.0
103,none,0.0
104,none,0.0
105,none,0.0
106,none,0.0
107,none,0.0
108,bird,0.52
109,none,0.0
110,bird,0.57
111,none,0.0
112,bird,0.68
113,none,0.0
114,none,0.0
115,bird,0.52
116,bird,0.89
117,bird,0.62
118,bird,0.86
119,bird,0.72
120,bird,0.7
121,none,0.0
122,bird,0.67
123,none,0.0
124,bird,0.91
125,bird,0.86
126,bird,0.81
127,bird,0.64
128,bird,0.69
129,bird,0.57
130,none,0.0
131,none,0.0
132,none,0.0
133,none,0.0
134,none,0.0
135,none,0.0
136,none,0.0
137,none,0.0
138,none,0.0
139,none,0.0
140,none,0.0
141,none,0.0
142,none,0.0
143,none,0.0
144,none,0.0
145,none,0.0
146,none,0.0
147,none,0.0
148,none,0.0
149,none,0.0
150,none,0.0
151,none,0.0
152,none,0.0
153,bird,0.56
154,none,0.0
155,none,0.0
156,none,0.0
157,none,0.0
158,none,0.0
159,none,0.0
160,bird,0.72
161,bird,0.81
162,bird,0.51
163,bird,0.81
164,bird,0.9
165,bird,0.9
166,bird,0.85
167,bird,0.71
168,none,0.0
169,bird,0.79
170,bird,0.63
171,bird,0.7
172,none,0.0
173,bird,0.73
174,none,0.0
175,none,0.0
176,none,0.0
177,bird,0.52
178,none,0.0
179,none,0.0
180,none,0.0
181,none,0.0
182,none,0.0
183,none,0.0
184,none,0.0
185,none,0.0
