,category,score
0,none,0.0
1,none,0.0
2,none,0.0
3,none,0.0
4,none,0.0
5,none,0.0
6,none,0.0
7,none,0.0
8,none,0.0
9,none,0.0
10,none,0.0
11,none,0.0
12,none,0.0
13,none,0.0
14,suitcase,0.66
15,none,0.0
16,none,0.0
17,suitcase,0.64
18,suitcase,0.55
19,none,0.0
20,none,0.0
21,none,0.0
22,none,0.0
23,suitcase,0.6
24,none,0.0
25,none,0.0
26,none,0.0
27,none,0.0
28,none,0.0
29,none,0.0
30,none,0.0
31,none,0.0
32,none,0.0
33,none,0.0
34,none,0.0
35,suitcase,0.53
36,none,0.0
37,none,0.0
38,none,0.0
39,none,0.0
40,none,0.0
41,none,0.0
42,none,0.0
43,none,0.0
44,none,0.0
45,none,0.0
46,none,0.0
47,none,0.0
48,none,0.0
49,none,0.0
50,none,0.0
51,none,0.0
52,none,0.0
53,none,0.0
54,none,0.0
55,none,0.0
56,none,0.0
57,none,0.0
58,none,0.0
59,none,0.0
60,none,0.0
61,none,0.0
62,none,0.0
63,none,0.0
64,none,0.0
65,suitcase,0.52
66,suitcase,0.69
67,none,0.0
68,none,0.0
69,none,0.0
70,none,0.0
71,none,0.0
72,none,0.0
73,none,0.0
74,none,0.0
75,none,0.0
76,none,0.0
77,none,0.0
78,none,0.0
79,none,0.0
80,suitcase,0.63
81,none,0.0
82,none,0.0
83,none,0.0
84,suitcase,0.6
85,none,0.0
86,suitcase,0.67
87,none,0.0
88,none,0.0
89,none,0.0
90,none,0.0
91,none,0.0
92,none,0.0
93,none,0.0
94,none,0.0
95,none,0.0
96,none,0.0
97,none,0.0
98,none,0.0
99,none,0.0
100,none,0.0
101,none,0.0
102,none,0.0
103,none,0.0
104,none,0.0
105,none,0.0
106,none,0.0
107,none,0.0
108,none,0.0
109,suitcase,0.66
110,suitcase,0.57
111,suitcase,0.52
112,none,0.0
113,none,0.0
114,suitcase,0.61
115,none,0.0
116,none,0.0
117,none,0.0
118,suitcase,0.65
119,none,0.0
120,none,0.0
121,none,0.0
122,none,0.0
123,suitcase,0.51
124,none,0.0
125,none,0.0
126,none,0.0
127,none,0.0
128,suitcase,0.53
129,none,0.0
130,none,0.0
131,suitcase,0.51
132,none,0.0
133,none,0.0
134,none,0.0
135,none,0.0
136,none,0.0
137,none,0.0
138,none,0.0
139,none,0.0
140,none,0.0
141,none,0.0
142,none,0.0
143,none,0.0
144,none,0.0
145,none,0.0
146,none,0.0
147,none,0.0
148,none,0.0
149,none,0.0
150,none,0.0
151,none,0.0
152,none,0.0
153,none,0.0
154,none,0.0
155,none,0.0
156,none,0.0
157,none,0.0
158,none,0.0
159,none,0.0
160,none,0.0
161,none,0.0
162,none,0.0
163,none,0.0
164,none,0.0
165,none,0.0
166,none,0.0
167,none,0.0
168,none,0.0
169,none,0.0
170,none,0.0
171,none,0.0
172,none,0.0
173,suitcase,0.57
174,none,0.0
175,suitcase,0.55
176,none,0.0
177,suitcase,0.79
178,suitcase,0.55
179,none,0.0
180,none,0.0
181,none,0.0
182,none,0.0
