,category,score
0,none,0.0
1,none,0.0
2,none,0.0
3,none,0.0
4,none,0.0
5,none,0.0
6,none,0.0
7,none,0.0
8,none,0.0
9,none,0.0
10,none,0.0
11,none,0.0
12,none,0.0
13,suitcase,0.51
14,suitcase,0.75
15,suitcase,0.52
16,none,0.0
17,suitcase,0.66
18,none,0.0
19,suitcase,0.58
20,suitcase,0.79
21,suitcase,0.57
22,suitcase,0.59
23,suitcase,0.52
24,suitcase,0.65
25,suitcase,0.7
26,none,0.0
27,suitcase,0.86
28,suitcase,0.78
29,none,0.0
30,suitcase,0.59
31,suitcase,0.5
32,suitcase,0.59
33,suitcase,0.66
34,suitcase,0.86
35,none,0.0
36,suitcase,0.71
37,none,0.0
38,suitcase,0.59
39,suitcase,0.58
40,none,0.0
41,none,0.0
42,none,0.0
43,none,0.0
44,none,0.0
45,none,0.0
46,none,0.0
47,none,0.0
48,none,0.0
49,none,0.0
50,none,0.0
51,none,0.0
52,none,0.0
53,none,0.0
54,none,0.0
55,none,0.0
56,none,0.0
57,none,0.0
58,none,0.0
59,none,0.0
60,none,0.0
61,none,0.0
62,none,0.0
63,none,0.0
64,none,0.0
65,none,0.0
66,suitcase,0.6
67,suitcase,0.74
68,suitcase,0.6
69,suitcase,0.72
70,suitcase,0.61
71,suitcase,0.58
72,suitcase,0.82
73,none,0.0
74,suitcase,0.79
75,suitcase,0.54
76,suitcase,0.81
77,none,0.0
78,suitcase,0.51
79,suitcase,0.62
80,suitcase,0.73
81,suitcase,0.72
82,none,0.0
83,none,0.0
84,suitcase,0.53
85,none,0.0
86,suitcase,0.6
87,suitcase,0.57
88,suitcase,0.55
89,none,0.0
90,none,0.0
91,none,0.0
92,none,0.0
93,none,0.0
94,none,0.0
95,none,0.0
96,none,0.0
97,none,0.0
98,none,0.0
99,none,0.0
100,none,0.0
101,none,0.0
102,none,0.0
103,none,0.0
104,none,0.0
105,none,0.0
106,none,0.0
107,none,0.0
108,none,0.0
109,none,0.0
110,suitcase,0.7
111,suitcase,0.6
112,suitcase,0.55
113,none,0.0
114,none,0.0
115,none,0.0
116,suitcase,0.52
117,suitcase,0.72
118,suitcase,0.56
119,suitcase,0.74
120,suitcase,0.65
121,suitcase,0.72
122,suitcase,0.53
123,suitcase,0.63
124,suitcase,0.62
125,suitcase,0.79
126,suitcase,0.56
127,none,0.0
128,suitcase,0.77
129,none,0.0
130,suitcase,0.84
131,suitcase,0.71
132,none,0.0
133,suitcase,0.69
134,none,0.0
135,suitcase,0.57
136,suitcase,0.64
137,none,0.0
138,none,0.0
139,none,0.0
140,none,0.0
141,none,0.0
142,none,0.0
143,none,0.0
144,none,0.0
145,none,0.0
146,none,0.0
147,none,0.0
148,none,0.0
149,none,0.0
150,none,0.0
151,none,0.0
152,none,0.0
153,none,0.0
154,none,0.0
155,none,0.0
156,none,0.0
157,none,0.0
158,suitcase,0.69
159,none,0.0
160,suitcase,0.51
161,none,0.0
162,suitcase,0.58
163,suitcase,0.81
164,suitcase,0.6
165,suitcase,0.59
166,none,0.0
167,suitcase,0.88
168,none,0.0
169,none,0.0
170,suitcase,0.64
171,suitcase,0.66
172,suitcase,0.62
173,none,0.0
174,suitcase,0.85
175,none,0.0
176,suitcase,0.58
177,suitcase,0.61
178,suitcase,0.57
179,none,0.0
180,suitcase,0.54
181,suitcase,0.68
182,none,0.0
183,none,0.0
184,none,0.0
185,none,0.0
186,none,0.0
187,none,0.0
188,none,0.0
189,none,0.0
