,category,score
0,none,0.0
1,none,0.0
2,none,0.0
3,none,0.0
4,none,0.0
5,none,0.0
6,none,0.0
7,none,0.0
8,none,0.0
9,none,0.0
10,none,0.0
11,none,0.0
12,person,1.0
13,person,0.99
14,person,1.0
15,person,1.0
16,person,1.0
17,person,0.99
18,person,1.0
19,person,1.0
20,person,1.0
21,person,1.0
22,person,1.0
23,person,1.0
24,person,1.0
25,person,1.0
26,person,1.0
27,person,1.0
28,person,1.0
29,person,1.0
30,person,1.0
31,person,1.0
32,person,1.0
33,person,1.0
34,person,1.0
35,person,1.0
36,person,1.0
37,person,0.99
38,person,1.0
39,person,1.0
40,person,1.0
41,none,0.0
42,none,0.0
43,none,0.0
44,none,0.0
45,none,0.0
46,none,0.0
47,none,0.0
48,none,0.0
49,none,0.0
50,none,0.0
51,none,0.0
52,none,0.0
53,none,0.0
54,none,0.0
55,none,0.0
56,person,1.0
57,person,1.0
58,person,1.0
59,person,1.0
60,person,1.0
61,person,1.0
62,person,1.0
63,person,1.0
64,person,1.0
65,person,1.0
66,person,1.0
67,person,0.99
68,person,1.0
69,person,1.0
70,person,1.0
71,person,1.0
72,person,1.0
73,person,1.0
74,person,1.0
75,person,1.0
76,person,1.0
77,person,1.0
78,person,1.0
79,person,1.0
80,person,1.0
81,person,1.0
82,person,1.0
83,person,1.0
84,person,0.99
85,none,0.0
86,none,0.0
87,none,0.0
88,none,0.0
89,none,0.0
90,none,0.0
91,none,0.0
92,none,0.0
93,none,0.0
94,none,0.0
95,none,0.0
96,none,0.0
97,none,0.0
98,none,0.0
99,none,0.0
100,none,0.0
101,none,0.0
102,none,0.0
103,none,0.0
104,none,0.0
105,person,0.7
106,person,1.0
107,person,0.99
108,person,1.0
109,person,1.0
110,person,1.0
111,person,1.0
112,person,1.0
113,person,1.0
114,person,1.0
115,person,1.0
116,person,1.0
117,person,1.0
118,person,1.0
119,person,1.0
120,person,1.0
121,person,1.0
122,person,1.0
123,person,1.0
124,person,1.0
125,person,1.0
126,person,1.0
127,person,1.0
128,person,1.0
129,person,1.0
130,person,1.0
131,person,1.0
132,person,1.0
133,person,0.98
134,person,0.99
135,person,0.94
136,none,0.0
137,none,0.0
138,none,0.0
139,none,0.0
140,none,0.0
141,none,0.0
142,none,0.0
143,none,0.0
144,none,0.0
145,person,0.99
146,person,1.0
147,person,1.0
148,person,1.0
149,person,1.0
150,person,1.0
151,person,1.0
152,person,1.0
153,person,1.0
154,person,1.0
155,person,1.0
156,person,1.0
157,person,1.0
158,person,1.0
159,person,1.0
160,person,1.0
161,person,1.0
162,person,1.0
163,person,1.0
164,person,1.0
165,person,1.0
166,person,1.0
167,person,1.0
168,person,1.0
169,person,1.0
170,person,1.0
171,person,1.0
172,person,0.99
173,person,1.0
174,person,0.99
175,none,0.0
176,none,0.0
177,none,0.0
178,none,0.0
179,none,0.0
180,none,0.0
