,category,score
0,none,0.0
1,none,0.0
2,none,0.0
3,none,0.0
4,none,0.0
5,none,0.0
6,none,0.0
7,none,0.0
8,none,0.0
9,none,0.0
10,none,0.0
11,person,0.95
12,person,0.95
13,person,0.95
14,person,0.97
15,person,0.88
16,person,0.96
17,person,0.97
18,person,0.97
19,person,0.93
20,person,0.95
21,person,0.96
22,person,0.95
23,person,0.97
24,person,0.95
25,person,0.97
26,person,0.91
27,person,0.97
28,person,0.98
29,person,0.97
30,person,0.98
31,person,0.96
32,person,0.97
33,person,0.96
34,person,0.92
35,person,0.97
36,person,0.98
37,person,0.98
38,person,0.97
39,person,0.98
40,person,0.97
41,person,0.89
42,none,0.0
43,none,0.0
44,none,0.0
45,none,0.0
46,none,0.0
47,none,0.0
48,none,0.0
49,none,0.0
50,none,0.0
51,none,0.0
52,none,0.0
53,none,0.0
54,none,0.0
55,none,0.0
56,none,0.0
57,person,0.95
58,person,0.98
59,person,0.99
60,person,0.96
61,person,0.98
62,person,0.93
63,person,0.97
64,person,0.97
65,person,0.93
66,person,0.98
67,person,0.97
68,person,0.97
69,person,0.97
70,person,0.92
71,person,0.94
72,person,0.93
73,person,0.96
74,person,0.96
75,person,0.98
76,person,0.94
77,person,0.96
78,person,0.95
79,person,0.92
80,person,0.96
81,person,0.98
82,person,0.94
83,person,0.94
84,person,0.95
85,person,0.91
86,person,0.91
87,person,0.87
88,none,0.0
89,none,0.0
90,none,0.0
91,none,0.0
92,none,0.0
93,none,0.0
94,none,0.0
95,none,0.0
96,none,0.0
97,none,0.0
98,none,0.0
99,none,0.0
100,none,0.0
101,none,0.0
102,none,0.0
103,none,0.0
104,none,0.0
105,none,0.0
106,none,0.0
107,none,0.0
108,person,0.99
109,person,0.97
110,person,0.94
111,person,0.94
112,person,0.8
113,person,0.95
114,person,0.82
115,person,0.97
116,person,0.93
117,person,0.96
118,person,0.91
119,person,0.96
120,person,0.99
121,person,0.95
122,person,0.98
123,person,0.98
124,person,0.98
125,person,0.94
126,person,0.96
127,person,0.98
128,person,0.95
129,person,0.91
130,person,0.98
131,person,0.93
132,person,0.93
133,person,0.95
134,person,0.99
135,person,0.95
136,person,0.94
137,person,0.96
138,none,0.0
139,none,0.0
140,none,0.0
141,none,0.0
142,none,0.0
143,none,0.0
144,none,0.0
145,none,0.0
146,none,0.0
147,none,0.0
148,none,0.0
149,none,0.0
150,none,0.0
151,person,0.77
152,person,0.99
153,person,0.97
154,person,0.94
155,person,0.96
156,person,0.97
157,person,0.99
158,person,0.95
159,person,0.97
160,person,0.91
161,person,0.96
162,person,0.95
163,person,0.92
164,person,0.98
165,person,0.95
166,person,0.99
167,person,0.96
168,person,0.97
169,person,0.97
170,person,0.96
171,person,0.98
172,person,0.96
173,person,0.92
174,person,0.92
175,person,0.94
176,person,0.94
177,person,0.96
178,person,0.99
179,person,0.96
180,person,0.96
181,none,0.0
182,none,0.0
183,none,0.0
184,none,0.0
185,none,0.0
186,none,0.0
